ladder,book,rungs,rho,flips,up,down,span
committed-TRUE,LIVE,8,-0.11904761904761905,2,3,4,0.22785592641257413
committed-TRUNC,LIVE,8,-0.938590635448906,0,0,4,0.007707897676580977
committed-TRUE,CAND20,8,0.023809523809523815,4,4,3,0.1333738722778567
committed-TRUNC,CAND20,8,-0.5580809183750252,2,1,3,0.0024667210121798178
long-U56,LIVE,355,0.5222350672306549,178,198,156,0.29238390794568947
long-U56,CAND20,355,0.704457366940167,183,204,150,0.20216377367644756
long-B136,LIVE,355,0.22018582644218004,175,206,148,0.3066804199429576
long-B136,CAND20,355,0.15623556612959033,193,194,160,0.33960515347650955
