file,SEP_n,JC_n,d_OOS_Sharpe
2026-09-06_is-the-soft-200d-tilt-inside-the-score-doing-the-gate-s-job_cloud.grid.csv,16,90,-0.10575217878082266
2026-09-06_vol20-gate-in-isolation_cloud.grid.csv,5,20,-0.09074677891595395
2026-09-06_does-the-12-1-plus-scaler-book-survive-a-second-panel_cloud.grid.csv,8,170,-0.06451459617350275
2026-09-06_does-any-dial-argmax-move-with-cost_C.grid.csv,12,141,-0.051744603827187374
2026-09-07_book-size-floor-for-any-quoted-price_B.grid.csv,50,70,-0.04128098486052045
2026-09-07_is-the-priceability-floor-the-real-selector_B.grid.csv,50,70,-0.04128098486052045
2026-09-07_book-size-floor-for-any-quoted-price_cloud.grid.csv,50,70,-0.04128098486052045
2026-09-07_is-the-vol-scaler-the-records-general-instability-source_cloud.grid.csv,61,79,-0.03453939218179425
2026-09-07_back-fill-the-mean-name-count-column-over-every-quoted-price_B.grid.csv,126,200,-0.03387118602546635
2026-09-07_is-DDCTRL-retirable-as-a-family_C.grid.csv,66,89,-0.030770902531000788
2026-09-07_position-count-cost-and-liquidity_cloud.grid.csv,9,10,-0.02148638746771736
2026-09-06_is-cadence-the-only-cost-chooser-on-other-books_cloud.grid.csv,49,232,-0.019894943849193325
2026-09-08_does-any-selector-beat-doing-nothing_B.grid.csv,198,360,-0.017930579424340287
2026-09-07_does-the-NUMERAIRE-clause-screen-the-queues-open-overlay-ideas_C.grid.csv,51,76,-0.015131649447025053
2026-09-07_does-any-overlay-move-MaxDD-without-moving-CAGR-more_C.grid.csv,51,76,-0.015131649447025053
2026-09-05_back-fill-the-swapped-coefficient-audit_B.grid.csv,47,54,-0.013230880118715316
2026-09-05_the-sign-is-the-parameter-not-the-share_cloud.grid.csv,47,54,-0.013230880118715316
2026-09-08_pre-register-K_CAGR-as-the-rule-8-default_cloud.grid.csv,99,158,-0.009137995223650996
2026-09-07_split-the-band-lexicon-in-the-LEADERBOARD_C.grid.csv,28,28,-0.008992910463690107
2026-09-07_does-the-MAB-DD-damage-SCALE-survive-a-fourth-panel_cloud.grid.csv,28,28,-0.008992910463690107
2026-09-06_momentum-no-vol-scaler_cloud.grid.csv,11,72,-0.007525720202736341
2026-09-08_selector-comparison-needs-more-cells_B.grid.csv,88,166,-0.0044968747285119015
2026-09-05_is-the-defensive-class-one-book_cloud.grid.csv,88,166,-0.004496016393533697
2026-09-05_price-the-broad-POS-near-miss_cloud.grid.csv,13,63,-0.0035016680142057055
2026-09-05_does-book-share-price-a-tilt_C.grid.csv,25,23,-0.0033351984021812164
2026-09-06_is-the-reversal-share-a-function-of-n-over-n_elig_C.grid.csv,20,15,-0.0015197808960230041
2026-09-06_what-actually-moves-H2_cloud.grid.csv,10,10,0.0
2026-09-07_broad-25bps-is-the-wall_cloud.grid.csv,562,502,0.0011551061255987705
2026-09-05_four-way-gate-spread-is-a-weighting-convention_cloud.grid.csv,95,181,0.0014808700894914928
2026-09-07_fraction-rule-cost-and-lag_cloud.grid.csv,52,46,0.002080063688867373
2026-09-04_vol-cap-as-a-satellite-clause_B.grid.csv,25,13,0.00229077096641217
2026-09-07_price-the-MAB-half-width-PAST-the-grid-edge_cloud.grid.csv,15,23,0.00303043310234008
2026-09-07_is-the-4b-defensive-class-empty-under-BOTH-conventions_cloud.grid.csv,144,238,0.0036980809702664708
2026-09-07_is-a-class-member-just-its-own-ladder-point_B2.grid.csv,144,238,0.0036980809702664708
2026-09-05_defensive-class-census_B.grid.csv,144,238,0.0036980809702664708
2026-09-05_the-share-at-which-ranking-stops-paying_cloud.grid.csv,90,40,0.0041169726849243915
2026-09-05_fixed-gross-S4-blend_cloud.grid.csv,103,229,0.004397920868542515
2026-09-07_is-a-class-member-just-its-own-ladder-point_cloud.grid.csv,59,80,0.005462437453483515
2026-09-07_is-a-class-member-just-its-own-ladder-point_B.grid.csv,59,80,0.005462437453483737
2026-09-04_gross-matched-turnover-constraints_B.grid.csv,112,88,0.005812489095308848
2026-09-06_time-varying-share-vs-fixed-n_B.grid.csv,41,27,0.00628868114883252
2026-09-05_publish-the-failing-bar-not-the-required-gross_cloud.grid.csv,55,31,0.0064326130052596575
2026-09-06_risk-budget-as-an-explicit-rule_cloud.grid.csv,61,97,0.00807239342856314
2026-09-05_sleeve-G-is-2013_cloud.grid.csv,38,62,0.0081613965100642
2026-09-04_turnover-budget_B.grid.csv,40,46,0.008564171847296631
2026-09-06_does-the-buffer-beat-the-cadence-dial-at-matched-realised-turnover_cloud.grid.csv,316,288,0.009524080483230168
2026-09-07_does-a-levered-f-060-book-clear-the-CAGR-floor_C.grid.csv,199,601,0.009643981199539464
2026-09-04_drawdown-control_C.grid.csv,52,48,0.012235088215461598
2026-09-06_does-the-sharpe-cagr-reversal-sit-under-every-EWall-claim_C.grid.csv,17,11,0.013771923751331405
2026-09-05_stop-as-negative-insurance_cloud.grid.csv,9,11,0.014411621193523239
2026-09-05_sleeve-f-that-clears-the-floor_cloud.grid.csv,272,267,0.015896011192754855
2026-09-06_back-fill-the-zero-bps-rung-under-every-gross-matched-arm-difference_cloud.grid.csv,29,22,0.01857252194810277
2026-09-06_do-the-18-majority-reversing-files-have-reversing-HEADLINES_cloud.grid.csv,48,47,0.019726653427246
2026-09-07_does-the-IS-SPREAD-screen-retire-the-rho-based-chooser-verdicts_B.grid.csv,18,81,0.019757955078825162
2026-09-06_does-every-regime-conditional-dial-lose-its-own-regime_C.grid.csv,99,86,0.020665686326966082
2026-09-04_which-4b-bar-binds_B.grid.csv,146,220,0.0219589131008624
2026-09-07_is-every-4b-KEEP-a-10bps-artefact_C.grid.csv,80,70,0.02342569100757208
2026-09-07_is-CONCENTRATION-in-narrow-markets-a-general-clause-or-one-2022_C.grid.csv,7,7,0.02406740665385909
2026-09-06_is-the-null-key-result-one-draw-or-a-distribution_cloud.grid.csv,43,31,0.024631653736459702
2026-09-08_price-the-levered-sleeve-against-its-own-TURNOVER_C.grid.csv,320,223,0.025443698573404783
2026-09-07_is-the-LOSS-SHARE-statistic-a-usable-PRE-SCREEN-for-gate-ideas_cloud.grid.csv,128,203,0.025790777926915753
2026-09-06_is-the-sharpe-cagr-reversal-a-PANEL-property_C.grid.csv,20,19,0.026010260145322928
2026-09-06_is-ETF36-a-third-cluster-or-just-a-small-sample_C.grid.csv,20,19,0.026010260145322928
2026-09-04_crypto-sleeve_C.grid.csv,19,17,0.027241654879262667
2026-09-07_is-the-CAGR-floor-only-ever-closable-by-the-GROSS-dial_C.grid.csv,50,228,0.028104032800395418
2026-09-07_does-WIDENING-into-narrow-markets-beat-the-broad-leg_cloud.grid.csv,23,18,0.030954703621325574
2026-09-05_does-share-price-any-key-or-only-vol_B.grid.csv,93,63,0.032414702245551874
2026-09-07_is-DBC-a-drag-or-a-contango-artefact_cloud.grid.csv,113,233,0.03293937962869631
2026-09-05_threshold-plateaus-are-the-general-case_cloud.grid.csv,44,49,0.033986849490164506
2026-09-07_census-adopted-constants-for-CROSSINGS-not-plateaus_cloud.grid.csv,75,87,0.034176033596096556
2026-09-06_ew-all-broad-as-the-simple-book_B.grid.csv,66,42,0.03496345469613793
2026-09-05_which-asset-carries-S4_C.grid.csv,39,78,0.03499357786050883
2026-09-07_does-a-DRAWDOWN-SPEED-signal-beat-a-breadth-LEVEL-signal_C.grid.csv,128,249,0.03579882064737894
2026-09-07_the-IS-chooser-prefers-SPY-where-OOS-prefers-QQQ_B.grid.csv,7,36,0.03661725975012842
2026-09-07_does-the-T-6.2x-ex-ante-screen-generalise_cloud.grid.csv,92,153,0.0376549357792928
2026-09-05_execution-lag-sensitivity-of-the-price-list_C.grid.csv,68,51,0.038154383159883176
2026-09-07_is-the-BINDING-DRAWDOWN-EPISODE-a-HIGH-BREADTH-event_C.grid.csv,52,94,0.04088492850310366
2026-09-07_is-it-WIDTH-or-GROSS-that-carries-the-0.14-OOS-Sharpe_C.grid.csv,8,9,0.04175320540300631
2026-09-07_is-it-gold-or-any-real-asset_cloud.grid.csv,89,151,0.041892416382900866
2026-09-07_cadence-as-a-pre-registered-rule-parameter_cloud.grid.csv,73,73,0.0435324581546912
2026-09-06_locate-the-band-width-ceiling_cloud.grid.csv,12,15,0.04634834842192337
2026-09-07_sleeve-f-plateau-width_B.grid.csv,57,63,0.04648367365663075
2026-09-07_price-the-H2-for-DD-exchange-rate-as-a-record-wide-constant_cloud.grid.csv,8,14,0.04813986587491681
2026-09-07_the-SCORED-vs-PRICED-denominator_B.grid.csv,10,26,0.05009891009426126
2026-09-06_where-selectivity-and-cost-cross_B.grid.csv,47,31,0.05144870339938867
2026-09-05_band-width-at-g085_cloud.grid.csv,44,53,0.052193698061081095
2026-09-05_defensive-overlays-are-rule-8-invisible_B.grid.csv,74,45,0.0523820646337243
2026-09-05_crisis-beta-as-the-pre-registrable-selector_C.grid.csv,74,45,0.0523820646337243
2026-09-05_2011-the-opposite-outlier_C.grid.csv,74,45,0.0523820646337243
2026-09-05_2013-as-the-IS-windows-single-point-of-failure_C.grid.csv,74,45,0.0523820646337243
2026-09-05_cagr-floor-constrained-selector_cloud.grid.csv,74,45,0.0523820646337243
2026-09-05_IS-Sharpe-margin-as-the-reportable-selector-statistic_cloud.grid.csv,74,45,0.0523820646337243
2026-09-07_re-price-the-fixed-ABSOLUTE-breadth-threshold-as-a-quantile_C.grid.csv,485,356,0.052671837144822486
2026-09-07_breadth-gate-on-v2_B.grid.csv,105,77,0.05280209609635178
2026-09-05_de-gross-vs-reweight-across-gates_cloud.grid.csv,110,61,0.05535407847762652
2026-09-07_sleeve-moves-the-frontier_cloud.grid.csv,59,36,0.05832493976827613
