panel,book,is_sharpe,is_beta,is_dd_all,is_quiet_dd_q040
U56,"('MOM', 5, 0.25)",1.2620907423675283,0.20463424912747347,-0.05766647346812137,-0.023371287801770113
U56,"('MOM', 5, 0.5)",1.265117668320494,0.41093031591230955,-0.11347489310774717,-0.0465631022770866
U56,"('MOM', 5, 0.75)",1.2679375817993925,0.6191508048300909,-0.16749814389020545,-0.06957597485407585
U56,"('MOM', 5, 1.0)",1.2705905376874649,0.8295759482623198,-0.2198053473452951,-0.09241043120108428
U56,"('MOM', 10, 0.25)",1.1569715986572657,0.19010697620690223,-0.0452149547856916,-0.011093334844264002
U56,"('MOM', 10, 0.5)",1.1615740043557996,0.3813718330970206,-0.0892350627813685,-0.02205944723290454
U56,"('MOM', 10, 0.75)",1.166046614939156,0.5739377671158068,-0.13209341830817234,-0.03290065992023694
U56,"('MOM', 10, 1.0)",1.1704104074702952,0.7679538699046901,-0.17382190987957946,-0.04361924895359337
U56,"('MOM', 20, 0.25)",1.0873466201251705,0.16940120776133502,-0.04109108325441524,-0.006340059333212911
U56,"('MOM', 20, 0.5)",1.0910618819639077,0.33980149492673456,-0.08069761547948473,-0.01263690102073034
U56,"('MOM', 20, 0.75)",1.094659835113538,0.5113054921421711,-0.11889266083518346,-0.018890965457631803
U56,"('MOM', 20, 1.0)",1.0981314094939483,0.6840246108290877,-0.15574540737439457,-0.025102687075651442
U56,"('MOM', 40, 0.25)",1.0588606344876987,0.13497399713584812,-0.03348758716816502,-0.003895459278306146
U56,"('MOM', 40, 0.5)",1.0618153365470602,0.2706096654696457,-0.06646946122562514,-0.007755031723832184
U56,"('MOM', 40, 0.75)",1.064648108288691,0.40696571779049706,-0.09895309237285255,-0.011579210972756604
U56,"('MOM', 40, 1.0)",1.0673487273521687,0.5441036651313733,-0.1309456946472225,-0.015368481649057797
U56,"('MOM', 'ALL', 0.25)",1.0357915938407807,0.15558488919527727,-0.03429495464349219,-0.0062430674107044615
U56,"('MOM', 'ALL', 0.5)",1.039249241300072,0.3120056693944898,-0.06808543016943547,-0.01246404692074754
U56,"('MOM', 'ALL', 0.75)",1.042676766563341,0.46933691110682346,-0.10137653584932804,-0.01866298560242563
U56,"('MOM', 'ALL', 1.0)",1.0460770936861614,0.6276577647789127,-0.13417269152800437,-0.024839930341178706
U56,"('MOMVS', 5, 0.25)",1.012270661346239,0.10688346244673481,-0.03404151645982467,-0.007444677918120757
U56,"('MOMVS', 5, 0.5)",1.012128200831618,0.2143796457937264,-0.06756327294853115,-0.014663360114686275
U56,"('MOMVS', 5, 0.75)",1.0119006784010116,0.3225455166068664,-0.1005830998377153,-0.021666183449424614
U56,"('MOMVS', 5, 1.0)",1.0116131229704368,0.4314405816389341,-0.13311802722321975,-0.028462687471571435
U56,"('MOMVS', 10, 0.25)",1.0417814793474554,0.1319850862085245,-0.033428044070216045,-0.0063114732540968665
U56,"('MOMVS', 10, 0.5)",1.045535796928859,0.264443113593553,-0.06601954674640309,-0.012580844141312109
U56,"('MOMVS', 10, 0.75)",1.0491696021970356,0.39742903222911985,-0.09783444828402077,-0.01880853254379211
U56,"('MOMVS', 10, 1.0)",1.0526818929059312,0.5309995670283792,-0.1289244635319896,-0.0249949527789306
U56,"('MOMVS', 20, 0.25)",1.099645203188,0.1518044359007761,-0.038412634462745676,-0.00575159107825296
U56,"('MOMVS', 20, 0.5)",1.1023913407758148,0.3043823128774504,-0.07556696251223671,-0.011424112882493898
U56,"('MOMVS', 20, 0.75)",1.1050234221306667,0.45780721205662556,-0.1115236796966157,-0.017019184774070606
U56,"('MOMVS', 20, 1.0)",1.1075223745993528,0.6121570469896389,-0.14633753968501084,-0.022538382194183693
U56,"('MOMVS', 40, 0.25)",1.0852132928865614,0.13353926196067836,-0.03233371712086908,-0.003895459278306035
U56,"('MOMVS', 40, 0.5)",1.0881506051721679,0.26771885582414084,-0.06422748372559917,-0.007755031723832184
U56,"('MOMVS', 40, 0.75)",1.0909675544370951,0.4025949007486399,-0.09568820076713858,-0.011579210972756715
U56,"('MOMVS', 40, 1.0)",1.0936548872432557,0.5382261426783912,-0.12672167572264736,-0.015368481649057797
U56,"('MOMVS', 'ALL', 0.25)",1.0357915938407807,0.15558488919527727,-0.03429495464349219,-0.0062430674107044615
U56,"('MOMVS', 'ALL', 0.5)",1.039249241300072,0.3120056693944898,-0.06808543016943547,-0.01246404692074754
U56,"('MOMVS', 'ALL', 0.75)",1.042676766563341,0.46933691110682346,-0.10137653584932804,-0.01866298560242563
U56,"('MOMVS', 'ALL', 1.0)",1.0460770936861614,0.6276577647789127,-0.13417269152800437,-0.024839930341178706
U56,"('MADIST', 5, 0.25)",1.1877044294685668,0.19344071571549679,-0.05595067370982798,-0.02456106642056144
U56,"('MADIST', 5, 0.5)",1.1922227341503033,0.38804381328356713,-0.10980707829731373,-0.048726187688106215
U56,"('MADIST', 5, 0.75)",1.1963766438198007,0.5840334647223874,-0.16162276961495736,-0.07250520841584951
U56,"('MADIST', 5, 1.0)",1.2002193804450516,0.7816431016028613,-0.21144937209269332,-0.09590783688935112
U56,"('MADIST', 10, 0.25)",1.0738382022767217,0.18501032145565313,-0.044390008279561854,-0.010733109090756088
U56,"('MADIST', 10, 0.5)",1.0792398398487597,0.37104235939224123,-0.0873952994604672,-0.021293655541300027
U56,"('MADIST', 10, 0.75)",1.0844274370393432,0.5582386010883292,-0.12905085669089023,-0.031685767754017324
U56,"('MADIST', 10, 1.0)",1.0894311468360747,0.746749048088557,-0.16938729294292598,-0.04191344348221171
U56,"('MADIST', 20, 0.25)",1.0091861020037984,0.1687949423981481,-0.03894121724039401,-0.0063687158261724885
U56,"('MADIST', 20, 0.5)",1.0140967552008635,0.33842113810560964,-0.0765606335579313,-0.0126455044606969
U56,"('MADIST', 20, 0.75)",1.0188898729655622,0.5089683165768614,-0.11292226975649067,-0.018832341982503276
U56,"('MADIST', 20, 1.0)",1.0235475712594035,0.6805322039172256,-0.1480872651442221,-0.024931148236061573
U56,"('MADIST', 40, 0.25)",1.0466481700404606,0.13605436924356273,-0.032402631323007136,-0.003895459278306146
U56,"('MADIST', 40, 0.5)",1.0501151827930253,0.2727317978598773,-0.06436279351279905,-0.007755031723832184
U56,"('MADIST', 40, 0.75)",1.0534649820171373,0.4100888518160291,-0.09588674743316605,-0.011579210972756715
U56,"('MADIST', 40, 1.0)",1.0566870221060394,0.5481845666855554,-0.1269805089438717,-0.015368481649057686
U56,"('MADIST', 'ALL', 0.25)",1.033254131980424,0.1561258431769194,-0.033818968087936385,-0.0062430674107044615
U56,"('MADIST', 'ALL', 0.5)",1.0368226729664765,0.31308391682087044,-0.06716402792679754,-0.01246404692074754
U56,"('MADIST', 'ALL', 0.75)",1.0403627266763875,0.47094881025924673,-0.10003892754088006,-0.01866298560242563
U56,"('MADIST', 'ALL', 1.0)",1.0438766153267804,0.6297997335330128,-0.1324472516577465,-0.024839930341178706
U56,"('LOWVOL', 5, 0.25)",1.0459609313185572,0.012707992811829088,-0.01802554129104128,-0.007302577949180877
U56,"('LOWVOL', 5, 0.5)",1.045142553472057,0.0254973445411975,-0.03589793952513343,-0.014570999864673029
U56,"('LOWVOL', 5, 0.75)",1.0442356810364113,0.03837152428500416,-0.0536177541319236,-0.021805511187446003
U56,"('LOWVOL', 5, 1.0)",1.0432732557605606,0.05133377628918377,-0.07118554197538296,-0.029006355027624053
U56,"('LOWVOL', 10, 0.25)",0.9326837963019247,0.06895182941052236,-0.02552630411310075,-0.005214571056065487
U56,"('LOWVOL', 10, 0.5)",0.9340473823857961,0.13808221772546242,-0.0509266457494052,-0.010413895513229576
U56,"('LOWVOL', 10, 0.75)",0.9353362026083236,0.2074025411460851,-0.0761870626891945,-0.01559800117069643
