basis,k,n,n_moved,mean_OOS_Sharpe,mean_OOS_CAGR,mean_OOS_MaxDD,n_4b_full,n_4b_oos,n_4a
SE_JOINT,0.0,72,59,0.7995575457617328,0.10995246483819039,-0.24546687683514692,6,7,0
SE_JOINT,0.25,72,47,0.7894706707062342,0.10822848441934181,-0.2426734343030342,10,10,0
SE_JOINT,0.5,72,41,0.7828547582649805,0.10708904100861759,-0.24211374007080774,11,11,0
SE_JOINT,1.0,72,28,0.7870014984551358,0.10749693117791612,-0.23602094000574317,17,17,0
SE_JOINT,1.5,72,19,0.79415254354145,0.10789939408553384,-0.23215870167164848,19,19,0
SE_JOINT,2.0,72,9,0.7899168721565083,0.10632603451015926,-0.2289813645926271,20,20,0
SE_JOINT,3.0,72,8,0.7898707415343836,0.10572143429684422,-0.22810291435652352,21,21,0
SE_MARGINAL,0.0,72,59,0.7995575457617328,0.10995246483819039,-0.24546687683514692,6,7,0
SE_MARGINAL,0.25,72,29,0.7828036841523868,0.10575411624829391,-0.23470261271351311,15,15,0
SE_MARGINAL,0.5,72,18,0.7897047572205544,0.10652281814006057,-0.2310105348285072,19,19,0
SE_MARGINAL,1.0,72,6,0.7897028787454877,0.10465322135883601,-0.22626837312573983,22,22,0
SE_MARGINAL,1.5,72,5,0.7897620680590527,0.1054033122747503,-0.22743496816865438,23,23,0
SE_MARGINAL,2.0,72,1,0.7900509825957991,0.10811832826135731,-0.23476069419763024,23,23,0
SE_MARGINAL,3.0,72,0,0.7900802510800281,0.10953872661274473,-0.23630753118034883,24,24,0
SE_IID,0.0,72,59,0.7995575457617328,0.10995246483819039,-0.24546687683514692,6,7,0
SE_IID,0.25,72,47,0.7894706707062342,0.10822848441934181,-0.2426734343030342,10,10,0
SE_IID,0.5,72,39,0.78363862325348,0.10712525331508607,-0.24087016945476625,12,12,0
SE_IID,1.0,72,24,0.7897086570284159,0.10787607131350714,-0.2331915571397485,18,18,0
SE_IID,1.5,72,13,0.7914434216072611,0.10645975752048271,-0.22950921109617856,21,21,0
SE_IID,2.0,72,8,0.7898707415343836,0.10572143429684422,-0.22810291435652352,21,21,0
SE_IID,3.0,72,2,0.7900076020418209,0.10874585209555843,-0.23192797496369424,24,24,0
