CENSUSSET,WIDTHBAR,sites,measured,unmeasured,survive,survive_rate,files,files_survive
COMMITTED,0.05,30,18,12,12,0.6666666666666666,18,9
COMMITTED,0.1,30,18,12,9,0.5,18,6
COMMITTED,0.25,30,18,12,8,0.4444444444444444,18,5
COMMITTED,0.5,30,18,12,8,0.4444444444444444,18,5
COMMITTED,1.0,30,18,12,0,0.0,18,0
ALL,0.05,42,30,12,24,0.8,18,9
ALL,0.1,42,30,12,14,0.4666666666666667,18,6
ALL,0.25,42,30,12,13,0.43333333333333335,18,5
ALL,0.5,42,30,12,13,0.43333333333333335,18,5
ALL,1.0,42,30,12,0,0.0,18,0
