book,panel,set,seq_REC_FULL,seq_WIN,n_REC_FULL,n_WIN,ddslack_WIN_range,OOS_MaxDD_range
B136-band0.03-g0.50,B136,GRID,DDDDDDDDDDDDDDDD,DDDDDDDDDDDDDDDD,16,16,0.05415788992312831,0.03560733756298884
B136-band0.03-g0.75,B136,GRID,DDDDDDDDDDDDDDDD,DDDDDDDDDDDDDDDD,16,16,0.036953334240739266,0.05281189324537783
B136-band0.03-g1.00,B136,GRID,DDDDDDDDDDDDDDDD,DDDDDDDDDDDDDDDD,16,16,0.02016139380376035,0.0696038336823569
B136-band0.08-g0.50,B136,GRID,DDDDDDDDDDDDDDDD,DDDDDDDDDDDDDDDD,16,16,0.043095907369454,0.04666932011666347
B136-band0.08-g0.75,B136,GRID,DDDDDDDDDDDDDDDD,DDDDDDDDDDDDDDDD,16,16,0.030719391246828334,0.06888623883603706
B136-band0.08-g1.00,B136,GRID,DDDDDDDDDDDDDDDD,DDDDDDDDDDDDDDDD,16,16,0.029897068097824636,0.09034359591751895
B136-qroll-q0.12-w1008-d0.50,B136,GRID,DDDDDDDDDDDDDDDD,DDDDDDDDDDDD....,16,12,0.050269261349662975,0.03949596613645412
B136-qroll-q0.12-w1008-d1.00,B136,GRID,DDDDDDDDDDDDDDDD,DDDDDDDDDDDD....,16,12,0.08335489430682569,0.006410333179291516
B136-qroll-q0.12-w252-d0.50,B136,GRID,DDDDDDDDDDDDDDDD,DDDD.........DDD,16,7,0.05150690933340252,0.07939066548499096
B136-qroll-q0.12-w252-d1.00,B136,GRID,DDDDDDDDDDDDDDDD,DDDDDDDDDDDDDDDD,16,16,0.054240840165720505,0.05622874467195926
B136-qroll-q0.12-w504-d0.50,B136,GRID,....DDDDDDDDDDDD,............DDDD,12,4,0.039735573348699496,0.12950080083481563
B136-qroll-q0.12-w504-d1.00,B136,GRID,....DDDDDDDDDDDD,....DDDDDDDDDDDD,12,12,0.08258350815784513,0.141708729479887
