D,target,stat,base_K,base_rate,n_top,top_k,top_rate,lift,hyper_p,rho_oos_sharpe,rho_oos_cagr
24,4b OOS,IS_SHARPE,6,0.25,3,2,0.6666666666666666,0.41666666666666663,0.1432806324110672,0.5165217391304348,0.737391304347826
24,4b OOS,IS_LEGS,6,0.25,3,2,0.6666666666666666,0.41666666666666663,0.1432806324110672,0.4294045030972557,0.5777089928802808
24,4b OOS,IS_CAGRSLACK,6,0.25,3,2,0.6666666666666666,0.41666666666666663,0.1432806324110672,0.35478260869565215,0.6895652173913043
24,4b OOS,IS_MINMARG,6,0.25,3,2,0.6666666666666666,0.41666666666666663,0.1432806324110672,0.35478260869565215,0.6895652173913043
24,4b BOTH,IS_SHARPE,2,0.08333333333333333,3,1,0.3333333333333333,0.25,0.2391304347826087,0.5165217391304348,0.737391304347826
24,4b BOTH,IS_LEGS,2,0.08333333333333333,3,1,0.3333333333333333,0.25,0.2391304347826087,0.4294045030972557,0.5777089928802808
24,4b BOTH,IS_CAGRSLACK,2,0.08333333333333333,3,1,0.3333333333333333,0.25,0.2391304347826087,0.35478260869565215,0.6895652173913043
24,4b BOTH,IS_MINMARG,2,0.08333333333333333,3,1,0.3333333333333333,0.25,0.2391304347826087,0.35478260869565215,0.6895652173913043
96,4b OOS,IS_SHARPE,26,0.2708333333333333,10,7,0.7,0.42916666666666664,0.003546556488087218,0.49675800325556163,0.5655046120455779
96,4b OOS,IS_LEGS,26,0.2708333333333333,10,7,0.7,0.42916666666666664,0.003546556488087218,0.39453478346483367,0.4577017697938491
96,4b OOS,IS_CAGRSLACK,26,0.2708333333333333,10,8,0.8,0.5291666666666668,0.0003543395761806156,0.5022788931090614,0.6923629951166576
96,4b OOS,IS_MINMARG,26,0.2708333333333333,10,8,0.8,0.5291666666666668,0.0003543395761806156,0.5022788931090614,0.6923629951166576
96,4b BOTH,IS_SHARPE,11,0.11458333333333333,10,7,0.7,0.5854166666666666,2.9422032251297787e-06,0.49675800325556163,0.5655046120455779
96,4b BOTH,IS_LEGS,11,0.11458333333333333,10,6,0.6,0.48541666666666666,8.587276785199525e-05,0.39453478346483367,0.4577017697938491
96,4b BOTH,IS_CAGRSLACK,11,0.11458333333333333,10,6,0.6,0.48541666666666666,8.587276785199525e-05,0.5022788931090614,0.6923629951166576
96,4b BOTH,IS_MINMARG,11,0.11458333333333333,10,6,0.6,0.48541666666666666,8.587276785199525e-05,0.5022788931090614,0.6923629951166576
240,4b OOS,IS_SHARPE,57,0.2375,24,11,0.4583333333333333,0.22083333333333333,0.01041764030247217,0.4375527352905431,0.5068838000659732
240,4b OOS,IS_LEGS,57,0.2375,24,14,0.5833333333333334,0.3458333333333334,0.0001264421529782922,0.34929344812823604,0.4095799821224911
240,4b OOS,IS_CAGRSLACK,57,0.2375,24,16,0.6666666666666666,0.42916666666666664,2.647490542776614e-06,0.40755047830691493,0.6353704057362106
240,4b OOS,IS_MINMARG,57,0.2375,24,16,0.6666666666666666,0.42916666666666664,2.647490542776614e-06,0.4077058629490094,0.6353808225837252
240,4b BOTH,IS_SHARPE,22,0.09166666666666666,24,9,0.375,0.2833333333333333,4.6767982984507195e-05,0.4375527352905431,0.5068838000659732
240,4b BOTH,IS_LEGS,22,0.09166666666666666,24,11,0.4583333333333333,0.36666666666666664,3.201863203959493e-07,0.34929344812823604,0.4095799821224911
240,4b BOTH,IS_CAGRSLACK,22,0.09166666666666666,24,12,0.5,0.4083333333333333,1.8271149293941972e-08,0.40755047830691493,0.6353704057362106
240,4b BOTH,IS_MINMARG,22,0.09166666666666666,24,12,0.5,0.4083333333333333,1.8271149293941972e-08,0.4077058629490094,0.6353808225837252
480,4b OOS,IS_SHARPE,107,0.22291666666666668,48,20,0.4166666666666667,0.19375,0.0011751116674486419,0.3774915472723406,0.433272171320188
480,4b OOS,IS_LEGS,107,0.22291666666666668,48,24,0.5,0.27708333333333335,7.231143766242219e-06,0.27307608800355027,0.3270737935451401
480,4b OOS,IS_CAGRSLACK,107,0.22291666666666668,48,30,0.625,0.40208333333333335,2.0620957549994227e-10,0.35712351182079777,0.5897061185161393
480,4b OOS,IS_MINMARG,107,0.22291666666666668,48,30,0.625,0.40208333333333335,2.0620957549994227e-10,0.3571882907477896,0.5897205500023871
480,4b BOTH,IS_SHARPE,43,0.08958333333333333,48,17,0.3541666666666667,0.26458333333333334,3.902208148355719e-08,0.3774915472723406,0.433272171320188
480,4b BOTH,IS_LEGS,43,0.08958333333333333,48,17,0.3541666666666667,0.26458333333333334,3.902208148355719e-08,0.27307608800355027,0.3270737935451401
480,4b BOTH,IS_CAGRSLACK,43,0.08958333333333333,48,25,0.5208333333333334,0.43125,2.0612695961679e-17,0.35712351182079777,0.5897061185161393
480,4b BOTH,IS_MINMARG,43,0.08958333333333333,48,25,0.5208333333333334,0.43125,2.0612695961679e-17,0.3571882907477896,0.5897205500023871
