arm,dates_changed,pct_dates,mean_names_gated_out,max_names_gated_out,med_vol20_of_gated_out,med_vol20_of_kept
g200-dg,66/817,8.078335373317014,0.09424724602203183,4,0.09512654280603809,0.1734744817311804
g200-rw,66/817,8.078335373317014,0.09424724602203183,4,0.09512654280603809,0.1734744817311804
band3-dg,162/817,19.828641370869033,0.22643818849449204,4,0.04236294794800387,0.17591668323272935
band3-rw,162/817,19.828641370869033,0.22643818849449204,4,0.04236294794800387,0.17591668323272935
abs12-dg,81/817,9.914320685434516,0.11138310893512852,2,0.12872891073246953,0.1735661924747378
abs12-rw,81/817,9.914320685434516,0.11138310893512852,2,0.12872891073246953,0.1735661924747378
vol60-dg,6/817,0.7343941248470013,0.01346389228886169,3,0.6598369605498581,0.1726298975009713
vol60-rw,6/817,0.7343941248470013,0.01346389228886169,3,0.6598369605498581,0.1726298975009713
v1gate-dg,68/817,8.32313341493268,0.10526315789473684,4,0.12012982351856062,0.173394863468072
v1gate-rw,68/817,8.32313341493268,0.10526315789473684,4,0.12012982351856062,0.173394863468072
