panel,dial,res,pts,step,IS_w_pts,IS_w_frac,IS_w_units,IS_w_units_cover,lo,hi
B136,band,x1,13,0.01,0,0.0,0.0,0.0,,
B136,band,x2,25,0.005,0,0.0,0.0,0.0,,
B136,band,x4,49,0.0025,0,0.0,0.0,0.0,,
B136,gross,x1,15,0.05,1,0.06666666666666667,0.0,0.05,1.0,1.0
B136,gross,x2,29,0.025,2,0.06896551724137931,0.025000000000000022,0.05,0.975,1.0
B136,gross,x4,57,0.0125,3,0.05263157894736842,0.025000000000000022,0.037500000000000006,0.975,1.0
B136,n,x1,10,4.0,0,0.0,0.0,0.0,,
B136,n,x2,19,2.0,0,0.0,0.0,0.0,,
B136,n,x4,37,1.0,0,0.0,0.0,0.0,,
SMALL439,band,x1,13,0.01,0,0.0,0.0,0.0,,
SMALL439,band,x2,25,0.005,0,0.0,0.0,0.0,,
SMALL439,band,x4,49,0.0025,0,0.0,0.0,0.0,,
SMALL439,gross,x1,15,0.05,0,0.0,0.0,0.0,,
SMALL439,gross,x2,29,0.025,0,0.0,0.0,0.0,,
SMALL439,gross,x4,57,0.0125,0,0.0,0.0,0.0,,
SMALL439,n,x1,10,4.0,0,0.0,0.0,0.0,,
SMALL439,n,x2,19,2.0,0,0.0,0.0,0.0,,
SMALL439,n,x4,37,1.0,0,0.0,0.0,0.0,,
U56,band,x1,13,0.01,0,0.0,0.0,0.0,,
U56,band,x2,25,0.005,0,0.0,0.0,0.0,,
U56,band,x4,49,0.0025,0,0.0,0.0,0.0,,
U56,gross,x1,15,0.05,0,0.0,0.0,0.0,,
U56,gross,x2,29,0.025,0,0.0,0.0,0.0,,
U56,gross,x4,57,0.0125,0,0.0,0.0,0.0,,
U56,n,x1,10,4.0,0,0.0,0.0,0.0,,
U56,n,x2,19,2.0,0,0.0,0.0,0.0,,
U56,n,x4,37,1.0,0,0.0,0.0,0.0,,
