panel,family,thr,depth,bps,draw,dSharpe,IS_dSharpe
U56,DDCTL,0.06,0.5,10,-1,-0.05574099708906699,-0.07929746407837157
U56,DDCTL,0.06,0.5,25,-1,-0.06532167602642003,-0.08620241749054425
U56,DDCTL,0.06,0.5,10,0,-0.06755503589408818,-0.07232395239217593
U56,DDCTL,0.06,0.5,25,0,-0.07224819577558805,-0.0763037576476413
U56,DDCTL,0.06,0.5,10,1,-0.1422171507747234,-0.14454056840366136
U56,DDCTL,0.06,0.5,25,1,-0.14929839881994134,-0.1499696570797403
U56,DDCTL,0.06,0.5,10,2,-0.1367979516135962,-0.06879749330010321
U56,DDCTL,0.06,0.5,25,2,-0.14666804367927688,-0.07688160513964026
U56,DDCTL,0.06,0.5,10,3,-0.0062278126516301935,0.0038138970394610006
U56,DDCTL,0.06,0.5,25,3,-0.018307689616210432,-0.0039817968013518
U56,DDCTL,0.06,0.5,10,4,-0.026994272428232158,0.0023150012596975245
U56,DDCTL,0.06,0.5,25,4,-0.03494380506861239,-0.005302754775193375
U56,DDCTL,0.06,0.5,10,5,-0.09411079933472744,-0.13274229027973472
U56,DDCTL,0.06,0.5,25,5,-0.10315553070802874,-0.14672826566751396
U56,DDCTL,0.06,0.5,10,6,-0.04175401474816054,0.06576752200504221
U56,DDCTL,0.06,0.5,25,6,-0.05221189308545937,0.05351534093857191
U56,DDCTL,0.06,0.5,10,7,-0.0011027316215828087,-0.011173687382990627
U56,DDCTL,0.06,0.5,25,7,-0.012684200362650166,-0.028530541604730564
U56,DDCTL,0.06,0.5,10,8,-0.08121986413777527,-0.199431020894564
U56,DDCTL,0.06,0.5,25,8,-0.08930214105893097,-0.21113029337356992
U56,DDCTL,0.06,0.5,10,9,-0.07048731185479062,-0.159499987096007
U56,DDCTL,0.06,0.5,25,9,-0.08044603805007011,-0.1737886547013633
U56,DDCTL,0.06,0.5,10,10,-0.034049164104759555,0.04203851238895351
U56,DDCTL,0.06,0.5,25,10,-0.041069017760289483,0.029154322318007186
U56,DDCTL,0.06,0.5,10,11,-0.03502043256958909,0.03818635599027753
U56,DDCTL,0.06,0.5,25,11,-0.04578676375455182,0.021051150278681985
U56,DDCTL,0.06,0.5,10,12,-0.016849165543639577,-0.02510539880752627
U56,DDCTL,0.06,0.5,25,12,-0.025057678300328012,-0.034149718827639064
U56,DDCTL,0.06,0.5,10,13,-0.05275810204398845,-0.11423587609155972
U56,DDCTL,0.06,0.5,25,13,-0.059885043472093114,-0.12343123640748155
U56,DDCTL,0.06,0.5,10,14,-0.04193547809600373,-0.0027121061655104306
U56,DDCTL,0.06,0.5,25,14,-0.05014263631405269,-0.01084319658506916
U56,DDCTL,0.06,0.5,10,15,0.04780680142713578,0.009545708717823453
U56,DDCTL,0.06,0.5,25,15,0.0358318092642157,-0.0008532303195128987
U56,DDCTL,0.06,0.5,10,16,-0.047697625438643865,-0.06725725905212354
U56,DDCTL,0.06,0.5,25,16,-0.05712469353718996,-0.07448669933773366
U56,DDCTL,0.06,0.5,10,17,0.0033161242544672564,-0.036881862133692156
U56,DDCTL,0.06,0.5,25,17,-0.008756632247685858,-0.046630738008750616
U56,DDCTL,0.06,0.5,10,18,-0.0695980598258763,-0.021343051470747776
U56,DDCTL,0.06,0.5,25,18,-0.07964102821390417,-0.03129178784262909
U56,DDCTL,0.06,0.5,10,19,-0.036547577398927444,0.047272024850534944
U56,DDCTL,0.06,0.5,25,19,-0.04430730789518311,0.03781475625129782
U56,DDCTL,0.06,1.0,10,-1,-0.18992666280044856,-0.2097318639073642
