panel,sleeve,gross,max_abs_daily_resid,dCAGR,dSharpe,dMaxDD,turnover_direct,turnover_recon
U56,CASH,0.4,1.3877787807814457e-17,0.0,-2.220446049250313e-16,5.551115123125783e-16,1.6728038380152834,1.6728038380152834
U56,CASH,0.5,1.3877787807814457e-17,0.0,-2.220446049250313e-16,-1.1102230246251565e-16,2.0699986528644065,2.0699986528644065
U56,CASH,0.6,1.3877787807814457e-17,-2.220446049250313e-16,-2.220446049250313e-16,-1.1102230246251565e-16,2.4630433479658516,2.463043347965851
U56,CASH,0.75,4.163336342344337e-17,2.220446049250313e-16,0.0,3.3306690738754696e-16,3.0509430496985224,3.0509430496985224
U56,CASH,0.9,4.163336342344337e-17,2.220446049250313e-16,2.220446049250313e-16,3.3306690738754696e-16,3.645926719171513,3.645926719171513
U56,SHY,0.4,1.0408340855860843e-17,0.0,0.0,0.0,1.9199779583018037,1.9199779583018033
U56,SHY,0.5,1.3877787807814457e-17,0.0,-2.220446049250313e-16,0.0,2.3272665660621352,2.3272665660621352
U56,SHY,0.6,2.7755575615628914e-17,0.0,0.0,0.0,2.7098753351286287,2.7098753351286287
U56,SHY,0.75,2.7755575615628914e-17,0.0,0.0,-3.3306690738754696e-16,3.243552367393775,3.243552367393775
U56,SHY,0.9,4.163336342344337e-17,2.220446049250313e-16,2.220446049250313e-16,5.551115123125783e-16,3.7381925977501735,3.7381925977501735
U56,IEF,0.4,1.3877787807814457e-17,-2.220446049250313e-16,0.0,1.1102230246251565e-16,1.951823068154877,1.951823068154877
U56,IEF,0.5,1.3877787807814457e-17,0.0,0.0,0.0,2.3588095735598897,2.3588095735598897
U56,IEF,0.6,2.7755575615628914e-17,0.0,0.0,0.0,2.7383512759292357,2.7383512759292357
U56,IEF,0.75,4.163336342344337e-17,0.0,0.0,1.1102230246251565e-16,3.263296318325644,3.2632963183256436
U56,IEF,0.9,5.551115123125783e-17,0.0,0.0,0.0,3.7461518317352853,3.7461518317352853
U56,TLT,0.4,1.3877787807814457e-17,2.220446049250313e-16,0.0,2.220446049250313e-16,2.0484224469285643,2.0484224469285643
U56,TLT,0.5,1.3877787807814457e-17,0.0,0.0,-3.3306690738754696e-16,2.4554216808550855,2.455421680855086
U56,TLT,0.6,2.7755575615628914e-17,0.0,0.0,-4.440892098500626e-16,2.8261899821982412,2.8261899821982412
U56,TLT,0.75,2.7755575615628914e-17,0.0,0.0,-2.220446049250313e-16,3.3246299539066912,3.3246299539066912
U56,TLT,0.9,4.163336342344337e-17,0.0,2.220446049250313e-16,-1.1102230246251565e-16,3.771541338619308,3.771541338619309
B136,CASH,0.4,1.0408340855860843e-17,0.0,-2.220446049250313e-16,0.0,1.7964966368320225,1.7964966368320225
B136,CASH,0.5,1.3877787807814457e-17,0.0,0.0,0.0,2.223415236219555,2.223415236219555
B136,CASH,0.6,1.3877787807814457e-17,0.0,0.0,1.1102230246251565e-16,2.6461090252500337,2.6461090252500337
B136,CASH,0.75,2.0816681711721685e-17,-2.220446049250313e-16,0.0,-1.1102230246251565e-16,3.2782131640831613,3.2782131640831618
B136,CASH,0.9,5.551115123125783e-17,-6.661338147750939e-16,0.0,-2.220446049250313e-16,3.917825672755879,3.917825672755879
B136,SHY,0.4,1.3877787807814457e-17,0.0,2.220446049250313e-16,2.220446049250313e-16,2.055001367619683,2.055001367619683
B136,SHY,0.5,1.3877787807814457e-17,0.0,0.0,-1.1102230246251565e-16,2.492429721457039,2.4924297214570386
B136,SHY,0.6,2.0816681711721685e-17,0.0,0.0,6.661338147750939e-16,2.9042041595101065,2.9042041595101065
B136,SHY,0.75,2.0816681711721685e-17,-2.220446049250313e-16,0.0,1.1102230246251565e-16,3.4795369332503423,3.4795369332503427
B136,SHY,0.9,5.551115123125783e-17,0.0,0.0,-1.1102230246251565e-16,4.014348012542133,4.014348012542133
B136,IEF,0.4,1.3877787807814457e-17,-2.220446049250313e-16,0.0,-2.220446049250313e-16,2.090557015001448,2.090557015001448
