uni,form,bps,pick_conv,pick_gross,IS_Sharpe,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,v2_OOS_Sharpe,v2_OOS_CAGR,v2_OOS_MaxDD,SPY_OOS_Sharpe,SPY_OOS_CAGR,SPY_OOS_MaxDD,alt_OOS_Sharpe
universe.json(56),ungated,0.0,SCORED,1.0,1.12102022768505,0.18406337364378222,1.1329079003435143,-0.29162981477563443,1.3095985770043688,0.097307362439361,-0.12029812615148383,0.8820107671822842,0.15450717694493266,-0.33717235283398284,1.1423534478887303
universe.json(56),ungated,10.0,SCORED,1.0,1.1140895040726955,0.18273254099171643,1.1258901473777019,-0.2917899958087592,1.285072363206482,0.09534722887472857,-0.12054942313126815,0.8820107671822842,0.15450717694493266,-0.33717235283398284,1.1353082993784909
universe.json(56),ungated,25.0,SCORED,1.0,1.1036925829837565,0.18073903507133227,1.1153620095656696,-0.29203021520287875,1.2482435320727505,0.0924133776660172,-0.12092631068492765,0.8820107671822842,0.15450717694493266,-0.33717235283398284,1.1247389950805877
universe.json(56),band3-dg(live form),0.0,SCORED,1.0,1.1362491721019565,0.130901064395758,1.3099398112228287,-0.15878993795520124,1.3095985770043688,0.097307362439361,-0.12029812615148383,0.8820107671822842,0.15450717694493266,-0.33717235283398284,1.3087566123983263
universe.json(56),band3-dg(live form),10.0,SCORED,1.0,1.1106721818102092,0.12821719681159127,1.2855643780108748,-0.15910987238283603,1.285072363206482,0.09534722887472857,-0.12054942313126815,0.8820107671822842,0.15450717694493266,-0.33717235283398284,1.2843631153390742
universe.json(56),band3-dg(live form),25.0,SCORED,1.0,1.0722677130840979,0.1242029404908993,1.2489620224707403,-0.1595896753635534,1.2482435320727505,0.0924133776660172,-0.12092631068492765,0.8820107671822842,0.15450717694493266,-0.33717235283398284,1.2477338123887933
universe_broad.json,ungated,0.0,PRICED,1.0,1.154579539868798,0.18734017699354166,1.107706499450584,-0.32706330839494424,1.1481353293632495,0.08210528304142972,-0.12211398589281575,0.8820239235972316,0.1545044425578177,-0.3371595330739301,1.105227283982909
universe_broad.json,ungated,10.0,PRICED,1.0,1.1480524682716666,0.1859250895188882,1.100579361004539,-0.32721478414341376,1.1185082795688426,0.07983337481604336,-0.12240793860208021,0.8820239235972316,0.1545044425578177,-0.3371595330739301,1.0981178568028351
universe_broad.json,ungated,25.0,PRICED,1.0,1.1382615688686235,0.18380555262326337,1.0898873739634305,-0.32744194874295707,1.0740236940215924,0.07643420182382155,-0.12284879701089035,0.8820239235972316,0.1545044425578177,-0.3371595330739301,1.0874524056412371
universe_broad.json,band3-dg(live form),0.0,SCORED,1.0,1.122614665432901,0.1098841534738686,1.1459607836336518,-0.16236526499384196,1.1481353293632495,0.08210528304142972,-0.12211398589281575,0.8820239235972316,0.1545044425578177,-0.3371595330739301,1.146866305918909
universe_broad.json,band3-dg(live form),10.0,SCORED,1.0,1.0970355042828717,0.10678814386426971,1.1165372670399625,-0.16274269263685281,1.1185082795688426,0.07983337481604336,-0.12240793860208021,0.8820239235972316,0.1545044425578177,-0.3371595330739301,1.1174115114630112
universe_broad.json,band3-dg(live form),25.0,SCORED,1.0,1.0586333982949216,0.10215985742608025,1.072358331173247,-0.16330871220799403,1.0740236940215924,0.07643420182382155,-0.12284879701089035,0.8820239235972316,0.1545044425578177,-0.3371595330739301,1.0731857152180366
