split,famset,rung,matching,scope,leg,ABS,QEXP,QROLL,adv,order,n_ABS,n_QEXP,n_QROLL,headline
2012-12-31,FULL,0.0,FULLMATCH,POOLED,PRE,0.2777777777777778,0.2777777777777778,0.4351851851851852,0.15740740740740738,TIED,108,108,432,False
2012-12-31,FULL,0.0,FULLMATCH,U56,PRE,0.3333333333333333,0.0,0.2361111111111111,-0.09722222222222221,ABS > QROLL > QEXP,36,36,144,False
2012-12-31,FULL,0.0,FULLMATCH,B136,PRE,0.0,0.0,0.3611111111111111,0.3611111111111111,TIED,36,36,144,False
2012-12-31,FULL,0.0,FULLMATCH,SMALL663,PRE,0.5,0.8333333333333334,0.7083333333333334,-0.125,QEXP > QROLL > ABS,36,36,144,False
2012-12-31,FULL,0.0,FULLMATCH,POOLED,POST,0.7777777777777778,0.6666666666666666,0.9814814814814815,0.20370370370370372,QROLL > ABS > QEXP,108,108,432,False
2012-12-31,FULL,0.0,FULLMATCH,U56,POST,1.0,0.6666666666666666,1.0,0.0,TIED,36,36,144,False
2012-12-31,FULL,0.0,FULLMATCH,B136,POST,0.7777777777777778,0.6666666666666666,0.9861111111111112,0.20833333333333337,QROLL > ABS > QEXP,36,36,144,False
2012-12-31,FULL,0.0,FULLMATCH,SMALL663,POST,0.5555555555555556,0.6666666666666666,0.9583333333333334,0.29166666666666674,QROLL > QEXP > ABS,36,36,144,False
2012-12-31,FULL,0.0,WINMATCH,POOLED,PRE,0.2962962962962963,0.0,0.19907407407407407,-0.09722222222222221,ABS > QROLL > QEXP,108,108,432,False
2012-12-31,FULL,0.0,WINMATCH,U56,PRE,0.3333333333333333,0.0,0.2361111111111111,-0.09722222222222221,ABS > QROLL > QEXP,36,36,144,False
2012-12-31,FULL,0.0,WINMATCH,B136,PRE,0.0,0.0,0.3611111111111111,0.3611111111111111,TIED,36,36,144,False
2012-12-31,FULL,0.0,WINMATCH,SMALL663,PRE,0.5555555555555556,0.0,0.0,-0.5555555555555556,TIED,36,36,144,False
2012-12-31,FULL,0.0,WINMATCH,POOLED,POST,0.7777777777777778,0.6666666666666666,0.9814814814814815,0.20370370370370372,QROLL > ABS > QEXP,108,108,432,False
2012-12-31,FULL,0.0,WINMATCH,U56,POST,1.0,0.6666666666666666,1.0,0.0,TIED,36,36,144,False
2012-12-31,FULL,0.0,WINMATCH,B136,POST,0.7777777777777778,0.6666666666666666,0.9861111111111112,0.20833333333333337,QROLL > ABS > QEXP,36,36,144,False
2012-12-31,FULL,0.0,WINMATCH,SMALL663,POST,0.5555555555555556,0.6666666666666666,0.9583333333333334,0.29166666666666674,QROLL > QEXP > ABS,36,36,144,False
2012-12-31,FULL,10.0,FULLMATCH,POOLED,PRE,0.25925925925925924,0.5,0.5925925925925926,0.09259259259259256,QROLL > QEXP > ABS,108,108,432,False
2012-12-31,FULL,10.0,FULLMATCH,U56,PRE,0.2777777777777778,0.0,0.20833333333333334,-0.06944444444444445,ABS > QROLL > QEXP,36,36,144,False
2012-12-31,FULL,10.0,FULLMATCH,B136,PRE,0.0,0.6666666666666666,0.8611111111111112,0.19444444444444453,QROLL > QEXP > ABS,36,36,144,False
2012-12-31,FULL,10.0,FULLMATCH,SMALL663,PRE,0.5,0.8333333333333334,0.7083333333333334,-0.125,QEXP > QROLL > ABS,36,36,144,False
2012-12-31,FULL,10.0,FULLMATCH,POOLED,POST,0.75,0.6666666666666666,0.9583333333333334,0.20833333333333337,QROLL > ABS > QEXP,108,108,432,False
2012-12-31,FULL,10.0,FULLMATCH,U56,POST,1.0,0.6666666666666666,1.0,0.0,TIED,36,36,144,False
