panel,claim_set,book,M,W,ratio_M_over_W
B136,CORE,BAND03,1.3913444365713235,2.0109291095246453,0.6918913401677383
B136,CORE,EWELIG,3.766140051466548,8.264038337378773,0.4557263528694024
B136,CORE,TOP10,7.784505760403344,17.494082723387898,0.4449793615069747
B136,CORE,TOP20,6.299782732017368,13.760188102045218,0.45782678879811334
B136,CORE,TOP5,9.457798083928715,21.31471061770888,0.4437216274506163
B136,EXT,BAND03,1.84926871673456,2.666067752269463,0.693631553496864
B136,EXT,EWELIG,4.97148713568891,10.909586687911386,0.45569894423201923
B136,EXT,TOP10,10.351554328019851,23.307832574396997,0.4441234205273443
B136,EXT,TOP20,8.375765768184793,18.33205129959578,0.4568919010372548
B136,EXT,TOP5,12.568548187309375,28.402539269429457,0.44251494797992574
SMALL439,CORE,BAND03,1.6066624260008362,2.5822129149910955,0.6222036984918328
SMALL439,CORE,EWELIG,5.451375994574081,11.847186098841803,0.4601409945866399
SMALL439,CORE,TOP10,11.565591378233428,25.85394734923977,0.4473433484644855
SMALL439,CORE,TOP20,10.13469976981985,21.269212114008567,0.47649624798018825
SMALL439,CORE,TOP5,13.192456465205959,31.32841212657737,0.4211019828232589
SMALL439,EXT,BAND03,2.1383425936351173,3.433049347644776,0.62286975137777
SMALL439,EXT,EWELIG,7.218371839736516,15.66622934394999,0.46076000046074383
SMALL439,EXT,TOP10,15.41109751759128,34.48571708233733,0.4468834874680462
SMALL439,EXT,TOP20,13.501990984444886,28.36119434911855,0.47607272169990683
SMALL439,EXT,TOP5,17.589853741421003,41.81667207935521,0.42064212350616664
U56,CORE,BAND03,1.2349706988245692,1.7751520489439372,0.6956985456875486
U56,CORE,EWELIG,3.6392903237231984,8.206240210019166,0.44347840552850437
U56,CORE,TOP10,6.101370735082856,13.898235357782895,0.4390032675382879
U56,CORE,TOP20,4.325825386050146,9.642695002546747,0.44861165731236397
U56,CORE,TOP5,7.713835722898465,17.680869292618343,0.43628147435708636
U56,EXT,BAND03,1.6421264032421914,2.354065000825081,0.6975705440022425
U56,EXT,EWELIG,4.809220115010574,10.85606562915869,0.4429984378588611
U56,EXT,TOP10,8.117440237637432,18.52067369235712,0.4382907648217589
U56,EXT,TOP20,5.754626868646569,12.848240939104782,0.4478921975328033
U56,EXT,TOP5,10.259007821561731,23.559581373975767,0.43544949541819833
