panel,cost,rows,arms,distinct_n,rho_OOS_Sharpe,rho_OOS_absMaxDD,rho_IS_Sharpe,rho_OOS_CAGR,kind,arm,rho
broad,10.0,66,6.0,11.0,0.5145863207621238,-0.43410361174752,0.16096541802920789,-0.00553318624475402,cell,,
broad,25.0,66,6.0,11.0,0.4217796969296587,-0.5467794043679655,0.1604624010978666,0.029174982017793928,cell,,
small,10.0,66,6.0,11.0,0.2957739556286695,-0.7303805843075307,0.32670949690615786,-0.13028138521739013,cell,,
small,25.0,66,6.0,11.0,0.08450684446533414,-0.6820909588987684,0.3692144276044955,-0.029929507414805837,cell,,
u56,10.0,60,6.0,10.0,0.6774895897964063,-0.5360946308972553,0.07404807089268338,-0.07404807089268338,cell,,
u56,25.0,60,6.0,10.0,0.6235450675623699,-0.6738039392089877,0.19198888969007952,-0.03216567785383532,cell,,
broad,10.0,11,,,,,,,arm,COMP,0.8727272727272729
broad,10.0,11,,,,,,,arm,INVVOL,0.9090909090909091
broad,10.0,11,,,,,,,arm,MOM,0.6545454545454547
broad,10.0,11,,,,,,,arm,NOVOL,0.9454545454545454
broad,10.0,11,,,,,,,arm,R6,0.881818181818182
broad,10.0,11,,,,,,,arm,RND,1.0
broad,25.0,11,,,,,,,arm,COMP,0.9727272727272729
broad,25.0,11,,,,,,,arm,INVVOL,0.9454545454545454
broad,25.0,11,,,,,,,arm,MOM,0.6000000000000001
broad,25.0,11,,,,,,,arm,NOVOL,0.9454545454545454
broad,25.0,11,,,,,,,arm,R6,0.8727272727272729
broad,25.0,11,,,,,,,arm,RND,0.9636363636363637
small,10.0,11,,,,,,,arm,COMP,0.3545454545454546
small,10.0,11,,,,,,,arm,INVVOL,0.28181818181818186
small,10.0,11,,,,,,,arm,MOM,0.7454545454545456
small,10.0,11,,,,,,,arm,NOVOL,0.6636363636363638
small,10.0,11,,,,,,,arm,R6,0.0
small,10.0,11,,,,,,,arm,RND,0.3272727272727273
small,25.0,11,,,,,,,arm,COMP,-0.5545454545454546
small,25.0,11,,,,,,,arm,INVVOL,-0.6545454545454547
small,25.0,11,,,,,,,arm,MOM,0.7454545454545456
small,25.0,11,,,,,,,arm,NOVOL,0.7181818181818183
small,25.0,11,,,,,,,arm,R6,-0.06363636363636364
small,25.0,11,,,,,,,arm,RND,-0.20000000000000004
u56,10.0,10,,,,,,,arm,COMP,0.9878787878787878
u56,10.0,10,,,,,,,arm,INVVOL,0.9878787878787878
u56,10.0,10,,,,,,,arm,MOM,0.6
u56,10.0,10,,,,,,,arm,NOVOL,0.8787878787878788
u56,10.0,10,,,,,,,arm,R6,0.8666666666666665
u56,10.0,10,,,,,,,arm,RND,0.8909090909090909
u56,25.0,10,,,,,,,arm,COMP,0.9999999999999999
u56,25.0,10,,,,,,,arm,INVVOL,0.9878787878787878
u56,25.0,10,,,,,,,arm,MOM,0.6
u56,25.0,10,,,,,,,arm,NOVOL,0.8787878787878788
u56,25.0,10,,,,,,,arm,R6,0.8666666666666665
u56,25.0,10,,,,,,,arm,RND,0.8424242424242423
