cell,cap,rows,breadth_IS,panel_vol,rho,OOS_S_mean,OOS_S_sd
BSTK-BLO,LARGE,96,0.6572527154558404,0.2901072708701531,0.7283536265315607,0.9563802269530348,0.18238101010816607
BSTK-BHI,LARGE,96,0.8277043269230769,0.22470341400245752,0.6058790541732955,0.6661179550909965,0.14499400666362305
SMALL-BLO,SMALL,96,0.43713051994302,0.5124368874410848,0.07497972681339038,0.336989380550174,0.1724103804564214
SMALL-BHI,SMALL,96,0.7250166933760683,0.3168339057091714,0.48785516815202484,0.0754608813363811,0.17447413718844781
