[U56] done  t=5s
[B136] done  t=13s
[SMALL] done  t=46s

================================================================================================================
FULL GRID (10 bps) -- ALL 180 books, every (d, g, N) rung published
================================================================================================================
panel  d      g  N  mean_gross  turn_yr  FULL_CAGR  FULL_Sharpe  FULL_MaxDD  H1_Sharpe  H2_Sharpe  OOS_CAGR  OOS_Sharpe  OOS_MaxDD  keep4a_FULL  keep4a_OOS  keep4b_FULL  keep4b_OOS
  U56  0 0.5000  5      0.5002  15.6093     0.0446       0.6703     -0.0931     0.6459     0.6950    0.0535      0.7565    -0.0931        False       False        False       False
  U56  1 0.5000  5      0.5001  15.6250     0.0428       0.6391     -0.0797     0.6137     0.6646    0.0511      0.7178    -0.0797        False       False        False       False
  U56  2 0.5000  5      0.5001  15.6365     0.0449       0.6598     -0.0922     0.6696     0.6567    0.0518      0.7146    -0.0922        False       False        False       False
  U56  3 0.5000  5      0.5001  15.6625     0.0472       0.6866     -0.0934     0.6849     0.6935    0.0555      0.7566    -0.0862        False       False        False       False
  U56  0 0.5000 10      0.4972  10.8387     0.0617       0.9064     -0.0965     0.9849     0.8473    0.0640      0.8915    -0.0965        False       False        False       False
  U56  1 0.5000 10      0.4971  10.8567     0.0596       0.8703     -0.0836     0.9275     0.8288    0.0626      0.8643    -0.0836        False       False        False       False
  U56  2 0.5000 10      0.4970  10.8632     0.0618       0.8936     -0.0964     0.9762     0.8319    0.0644      0.8807    -0.0964        False       False        False       False
  U56  3 0.5000 10      0.4969  10.8859     0.0647       0.9292     -0.0809     0.9771     0.8969    0.0696      0.9416    -0.0740        False       False        False       False
  U56  0 0.5000 20      0.4833   6.7512     0.0700       1.0150     -0.1228     0.9988     1.0351    0.0801      1.1005    -0.1228        False       False        False       False
  U56  1 0.5000 20      0.4831   6.7698     0.0702       1.0041     -0.1271     0.9972     1.0173    0.0795      1.0712    -0.1271        False       False        False       False
  U56  2 0.5000 20      0.4831   6.7770     0.0740       1.0499     -0.1294     1.0459     1.0613    0.0832      1.1122    -0.1294        False       False        False       False
  U56  3 0.5000 20      0.4829   6.7955     0.0733       1.0355     -0.1239     1.0549     1.0274    0.0801      1.0690    -0.1239        False       False        False       False
  U56  0 0.5000 40      0.4404   2.3374     0.0739       1.2174     -0.1043     1.2628     1.1848    0.0812      1.2755    -0.1043         True       False        False       False
  U56  1 0.5000 40      0.4402   2.3509     0.0712       1.1528     -0.1188     1.2088     1.1125    0.0781      1.2008    -0.1188        False       False        False       False
  U56  2 0.5000 40      0.4401   2.3511     0.0746       1.1976     -0.1196     1.2620     1.1501    0.0812      1.2398    -0.1196        False       False        False       False
  U56  3 0.5000 40      0.4400   2.3643     0.0751       1.1924     -0.1173     1.2482     1.1530    0.0822      1.2384    -0.1173        False       False        False       False
  U56  0 0.5000 80      0.3429   1.1536     0.0554       1.2067     -0.0798     1.2412     1.1861    0.0621      1.2786    -0.0798         True        True        False       False
  U56  1 0.5000 80      0.3428   1.1629     0.0544       1.1643     -0.0889     1.2067     1.1381    0.0609      1.2298    -0.0889        False       False        False       False
  U56  2 0.5000 80      0.3427   1.1615     0.0566       1.2026     -0.0902     1.2542     1.1684    0.0626      1.2572    -0.0902        False       False        False       False
  U56  3 0.5000 80      0.3426   1.1724     0.0577       1.2134     -0.0873     1.2383     1.2021    0.0649      1.2862    -0.0873         True        True        False       False
  U56  0 0.7500  5      0.7500  23.3909     0.0657       0.6695     -0.1383     0.6470     0.6928    0.0790      0.7546    -0.1383        False       False        False       False
  U56  1 0.7500  5      0.7500  23.4147     0.0630       0.6398     -0.1180     0.6146     0.6652    0.0755      0.7185    -0.1180        False       False        False       False
  U56  2 0.7500  5      0.7500  23.4299     0.0664       0.6624     -0.1360     0.6719     0.6596    0.0769      0.7174    -0.1360        False       False        False       False
  U56  3 0.7500  5      0.7500  23.4591     0.0698       0.6881     -0.1381     0.6866     0.6950    0.0824      0.7579    -0.1278        False       False        False       False
  U56  0 0.7500 10      0.7455  16.2256     0.0920       0.9060     -0.1428     0.9858     0.8458    0.0953      0.8903    -0.1428        False       False        False       False
  U56  1 0.7500 10      0.7454  16.2528     0.0889       0.8704     -0.1246     0.9275     0.8290    0.0932      0.8647    -0.1246        False       False        False       False
  U56  2 0.7500 10      0.7453  16.2633     0.0924       0.8957     -0.1420     0.9775     0.8348    0.0964      0.8836    -0.1420        False       False        False       False
  U56  3 0.7500 10      0.7452  16.2918     0.0968       0.9294     -0.1194     0.9774     0.8971    0.1041      0.9417    -0.1098        False       False        False       False
  U56  0 0.7500 20      0.7247  10.0932     0.1049       1.0147     -0.1804     0.9995     1.0340    0.1203      1.0995    -0.1804        False       False        False        True
  U56  1 0.7500 20      0.7245  10.1226     0.1052       1.0036     -0.1861     0.9965     1.0170    0.1193      1.0709    -0.1861        False       False        False        True
  U56  2 0.7500 20      0.7244  10.1350     0.1113       1.0513     -0.1899     1.0469     1.0632    0.1255      1.1141    -0.1899        False       False         True        True
  U56  3 0.7500 20      0.7242  10.1571     0.1100       1.0351     -0.1819     1.0550     1.0266    0.1204      1.0681    -0.1819        False       False         True        True
  U56  0 0.7500 40      0.6603   3.4809     0.1114       1.2172     -0.1545     1.2634     1.1842    0.1227      1.2749    -0.1545        False       False         True        True
  U56  1 0.7500 40      0.6602   3.5015     0.1071       1.1518     -0.1742     1.2073     1.1121    0.1177      1.2004    -0.1742        False       False         True        True
  U56  2 0.7500 40      0.6600   3.5033     0.1126       1.1986     -0.1758     1.2626     1.1515    0.1228      1.2411    -0.1758        False       False         True        True
  U56  3 0.7500 40      0.6598   3.5195     0.1131       1.1916     -0.1725     1.2480     1.1518    0.1241      1.2371    -0.1725        False       False         True        True
  U56  0 0.7500 80      0.5142   1.7125     0.0834       1.2067     -0.1185     1.2418     1.1855    0.0936      1.2781    -0.1185         True        True        False       False
  U56  1 0.7500 80      0.5140   1.7263     0.0818       1.1636     -0.1312     1.2058     1.1375    0.0918      1.2293    -0.1312        False       False        False       False
  U56  2 0.7500 80      0.5139   1.7248     0.0853       1.2034     -0.1333     1.2547     1.1695    0.0946      1.2583    -0.1333        False       False        False       False
  U56  3 0.7500 80      0.5137   1.7383     0.0870       1.2128     -0.1290     1.2383     1.2010    0.0980      1.2851    -0.1290        False       False        False       False
  U56  0 1.0000  5      0.9998  31.1955     0.0858       0.6685     -0.1824     0.6477     0.6903    0.1034      0.7524    -0.1824        False       False        False       False
  U56  1 1.0000  5      0.9998  31.2244     0.0824       0.6403     -0.1552     0.6151     0.6657    0.0991      0.7190    -0.1552        False       False        False       False
  U56  2 1.0000  5      0.9998  31.2400     0.0872       0.6648     -0.1783     0.6739     0.6623    0.1012      0.7200    -0.1783        False       False        False       False
  U56  3 1.0000  5      0.9998  31.2687     0.0917       0.6895     -0.1813     0.6880     0.6963    0.1084      0.7589    -0.1683        False       False        False       False
  U56  0 1.0000 10      0.9938  21.6299     0.1218       0.9053     -0.1878     0.9865     0.8439    0.1259      0.8888    -0.1878        False       False         True        True
  U56  1 1.0000 10      0.9937  21.6644     0.1177       0.8703     -0.1659     0.9273     0.8290    0.1232      0.8647    -0.1659        False       False        False       False
  U56  2 1.0000 10      0.9936  21.6769     0.1228       0.8976     -0.1859     0.9784     0.8376    0.1281      0.8863    -0.1859        False       False         True        True
  U56  3 1.0000 10      0.9934  21.7107     0.1284       0.9294     -0.1565     0.9775     0.8970    0.1381      0.9415    -0.1449        False       False         True        True
  U56  0 1.0000 20      0.9659  13.4507     0.1395       1.0141     -0.2354     0.9998     1.0327    0.1605      1.0983    -0.2354        False       False        False       False
