statistic,rule,agree,n_disagree,n_extra,n_lost
S_PHI,R_STRICT,0.7196969696969697,37,0,37
S_PHI,R_LOOSE,0.8863636363636364,15,15,0
S_PHI,R_TSTAT,0.8787878787878788,16,16,0
S_LSTAR,R_STRICT,0.8333333333333334,22,0,22
S_LSTAR,R_LOOSE,0.9242424242424242,10,10,0
S_LSTAR,R_TSTAT,0.9318181818181818,9,9,0
S_BAND,R_STRICT,1.0,0,0,0
S_BAND,R_LOOSE,1.0,0,0,0
S_BAND,R_TSTAT,1.0,0,0,0
