class1,class2,n,lam,move,restates,med_share1,med_share2
CELL,BOOK,127,1.0,0.0,0,0.25205761316872427,0.022222222222222223
BOOK,CELL,104,1.0,0.0,0,0.16666666666666666,0.15925925925925927
NAME,BOOK,60,1.0,0.0,0,0.6666666666666666,0.041666666666666664
CELL,NAME,49,1.0,0.0,0,0.75,0.5
NAME,CELL,41,1.0,0.0,0,0.7272727272727273,0.5
BOOK,NAME,34,1.0,0.0,0,0.024691358024691357,0.5833333333333333
FILE,CELL,15,938.7265275142315,937.7265275142315,15,0.676923076923077,0.6670043048873132
CELL,FILE,14,0.0010652729742793377,0.9989347270257206,14,0.6773106824071408,0.24926686217008798
CELL,CLAIM,13,1.0,0.0,0,0.95,0.1111111111111111
BOOK,FILE,12,0.0010652729742793377,0.9989347270257206,12,0.2302158273381295,0.2573754298778014
CLAIM,NUM,11,9.999002160624244,8.999002160624244,11,0.6,0.8
BOOK,CLAIM,11,1.0,0.0,0,0.7619047619047619,0.4423076923076923
CLAIM,CELL,11,1.0,0.0,0,0.1267361111111111,0.5
CELL,NUM,10,9.999002160624244,8.999002160624244,10,0.275,0.8083333333333333
FILE,BOOK,10,938.7265275142315,937.7265275142315,10,0.3844444444444445,0.604294254884806
CLAIM,BOOK,10,1.0,0.0,0,0.3333333333333333,0.40543735224586286
FILE,CLAIM,8,938.7265275142315,937.7265275142315,8,0.2085029568761213,0.01507537688442211
NAME,FILE,5,0.0010652729742793377,0.9989347270257206,5,1.0,0.35
NUM,CELL,5,0.10000997938954034,0.8999900206104596,5,0.2916666666666667,0.9166666666666666
NAME,CLAIM,5,1.0,0.0,0,0.1111111111111111,0.23863636363636365
NUM,FILE,4,0.00010653792820191091,0.9998934620717981,4,0.036504253673627224,0.13443830570902393
FILE,NUM,4,9386.328576850095,9385.328576850095,4,0.7142857142857143,0.9722222222222222
NUM,CLAIM,3,0.10000997938954034,0.8999900206104596,3,0.3157894736842105,0.425531914893617
NUM,BOOK,3,0.10000997938954034,0.8999900206104596,3,0.0,0.015555555555555555
CLAIM,NAME,3,1.0,0.0,0,0.0,0.5
FILE,NAME,3,938.7265275142315,937.7265275142315,3,0.009345794392523364,0.8571428571428571
CLAIM,FILE,2,0.0010652729742793377,0.9989347270257206,2,0.0,0.7857142857142857
BOOK,NUM,2,9.999002160624244,8.999002160624244,2,0.3333333333333333,0.8295668549905838
NUM,NAME,2,0.10000997938954034,0.8999900206104596,2,0.0035714285714285713,0.825
NAME,NUM,1,9.999002160624244,8.999002160624244,1,0.38461538461538464,0.6153846153846154
