panel,median_delta,lo,hi,share_within_1_rung,share_exactly_zero,point_delta
U56,0.024999999999999967,0.0,0.04999999999999999,0.898,0.352,0.025000000000000022
B136,0.0,-0.025000000000000022,0.02874999999999944,0.9288577154308617,0.4408817635270541,0.0
