file,rows,unparsed,n_fail,n_pass,null_rows,n_fail_real,infail_L1_H1,sole_L1_H1,infail_L2_H2,sole_L2_H2,infail_L3_OOS,sole_L3_OOS,infail_L4_DD,sole_L4_DD,infail_L5_CAGR,sole_L5_CAGR
2026-09-05_audit-every-committed-null-for-a-salted-seed_C.exact.csv,60,0,33,27,0,33,24,4,8,0,7,0,10,4,21,1
2026-09-05_audit-every-committed-null-for-a-salted-seed_C.keep.csv,60,0,33,27,0,33,24,4,8,0,7,0,10,4,21,1
2026-09-05_cagr-floor-calibration_B.grid.csv,306,0,277,29,0,277,181,1,198,2,193,0,179,47,185,27
2026-09-05_cagr-floor-calibration_B.ladder.csv,342,0,332,10,0,332,190,0,209,0,209,0,99,26,290,97
2026-09-05_clause-11b-draw-count-by-enumeration_cloud.exact.csv,180,0,152,28,0,152,103,4,125,2,118,0,115,6,107,1
2026-09-05_de-gross-vs-reweight-across-gates_cloud.grid.csv,924,0,814,110,0,814,549,2,610,4,593,0,513,92,608,100
2026-09-05_defensive-class-census_B.grid.csv,2244,0,2100,144,0,2100,1006,13,1148,4,1126,0,1176,300,1345,531
2026-09-05_do-gross-choice-rules-lose-to-constants-in-general_C.choices.csv,1325,0,1091,234,0,1091,149,10,382,20,201,0,304,143,785,465
2026-09-05_do-gross-choice-rules-lose-to-constants-in-general_C.keep.csv,1908,0,1658,250,0,1658,312,19,689,27,405,0,447,132,1223,685
2026-09-05_do-gross-choice-rules-lose-to-constants-in-general_C.ladder.csv,1908,0,1658,250,0,1658,312,19,689,27,405,0,447,132,1223,685
2026-09-05_does-any-fitted-dial-beat-its-own-modal-pick_B.choices.csv,2120,0,1761,359,0,1761,227,11,597,28,303,0,568,288,1191,725
2026-09-05_does-any-fitted-dial-beat-its-own-modal-pick_B.keep.csv,1908,0,1658,250,0,1658,312,19,689,27,405,0,447,132,1223,685
2026-09-05_does-any-fitted-dial-beat-its-own-modal-pick_B.ladder.csv,1908,0,1658,250,0,1658,312,19,689,27,405,0,447,132,1223,685
2026-09-05_does-any-fitted-dial-beat-its-own-modal-pick_cloud.ladder.csv,6048,0,5542,506,0,5542,3523,89,3203,27,2841,0,1639,181,4932,1295
2026-09-05_does-book-share-price-a-tilt_C.grid.csv,189,0,164,25,0,164,108,5,114,2,106,0,105,12,119,21
2026-09-05_does-book-share-price-a-tilt_C.transfer.csv,12,0,10,2,0,10,6,0,10,1,7,0,6,0,8,0
2026-09-05_does-cadence-skill-survive-a-second-corpus_cloud.choices.csv,575,0,516,59,0,516,434,6,330,0,314,0,195,14,494,60
2026-09-05_does-cadence-skill-survive-a-second-corpus_cloud.keep.csv,805,0,746,59,0,746,624,10,496,0,478,0,304,27,703,86
2026-09-05_does-cadence-skill-survive-a-second-corpus_cloud.ladder.csv,805,0,746,59,0,746,624,10,496,0,478,0,304,27,703,86
2026-09-05_does-share-price-any-key-or-only-vol_B.grid.csv,741,0,648,93,0,648,454,17,460,10,440,0,428,29,466,71
2026-09-05_does-the-modal-constant-result-survive-a-cost-ladder_cloud.ladder.csv,30240,0,28272,1968,0,28272,18931,320,17755,115,16136,0,8508,684,25581,5622
2026-09-05_extend-the-three-degenerate-ladders-past-their-endpoints_C.financing.csv,2385,0,2270,115,0,2270,436,9,1001,33,492,0,1000,358,1294,647
2026-09-05_extend-the-three-degenerate-ladders-past-their-endpoints_C.keep.csv,1802,0,1576,226,0,1576,189,5,495,31,219,0,443,209,1110,744
2026-09-05_extend-the-three-degenerate-ladders-past-their-endpoints_C.ladder.csv,1802,0,1576,226,0,1576,189,5,495,31,219,0,443,209,1110,744
2026-09-05_how-many-draws-does-clause-11b-need_cloud.keep.csv,180,0,152,28,0,152,103,4,125,2,118,0,115,6,107,1
2026-09-05_is-Calmar-immunity-general_C.grid.csv,306,0,277,29,0,277,181,1,198,2,193,0,179,47,185,27
2026-09-05_is-the-book-size-floor-a-corpus-wide-clause_C.corpus.csv,384,0,356,28,0,356,262,6,296,1,290,0,231,15,275,21
2026-09-05_is-the-conditional-sleeve-anything-at-all_B.grid.csv,120,0,89,31,0,89,0,0,28,0,25,0,56,34,35,26
2026-09-05_is-the-conditional-sleeve-anything-at-all_B.keep.csv,120,0,89,31,0,89,0,0,28,0,25,0,56,34,35,26
2026-09-05_is-the-conditional-sleeve-anything-at-all_B.null.csv,10344,0,9076,1268,10344,0,564,1,4028,27,3551,8,6947,4105,2693,712
2026-09-05_is-the-defensive-class-one-book_cloud.census.csv,138,0,138,0,0,138,0,0,0,0,0,0,0,0,138,138
2026-09-05_is-the-defensive-class-one-book_cloud.grid.csv,816,0,728,88,0,728,338,5,437,2,422,0,419,124,435,138
2026-09-05_is-the-defensive-class-one-book_cloud.ladder.csv,240,0,227,13,0,227,80,0,115,0,110,0,71,23,178,88
2026-09-05_is-the-inert-cell-a-leaderboard-defect_C.cells.csv,180,0,152,28,0,152,103,4,125,2,118,0,115,6,107,1
2026-09-05_is-the-ladder-even-a-candidate_C.corpus.csv,306,0,277,29,0,277,181,1,198,2,193,0,179,47,185,27
2026-09-05_post-trigger-short-term-reversal_cloud.grid.csv,168,0,168,0,0,168,142,0,147,0,151,0,148,13,126,0
2026-09-05_price-the-broad-POS-near-miss_cloud.grid.csv,450,0,437,13,0,437,250,4,300,3,275,0,265,49,290,38
2026-09-05_price-the-broad-POS-near-miss_cloud.transfer.csv,36,0,28,8,0,28,12,0,20,2,16,0,11,0,26,8
2026-09-05_quote-the-lift-not-the-rate_cloud.grid.csv,306,0,277,29,0,277,181,1,198,2,193,0,179,47,185,27
