bar_pair,scope,n,n_free_admit,n_paid_admit,agree,n_disagree,n_extra,n_lost,verdict,minority,z_star_published,z_star_matched,agree_matched,n_disagree_matched,n_extra_matched,n_lost_matched,verdict_matched,n_undefined
B_MEANP,ALL,132,124,125,0.9772727272727273,3,1,2,TWO-SIDED,1,1.959963984540054,1.9345964093536736,0.9848484848484849,2,1,1,TWO-SIDED,0
B_MEANP,NOGROSS,87,79,80,0.9655172413793104,3,1,2,TWO-SIDED,1,1.959963984540054,1.9345964093536736,0.9770114942528736,2,1,1,TWO-SIDED,0
B_SHARPE,ALL,132,124,126,0.9848484848484849,2,0,2,ONE-SIDED -,2,1.959963984540054,1.8130080411154512,1.0,0,0,0,IDENTICAL,0
B_SHARPE,NOGROSS,87,79,81,0.9770114942528736,2,0,2,ONE-SIDED -,2,1.959963984540054,1.8130080411154512,1.0,0,0,0,IDENTICAL,0
B_PERMT,ALL,132,31,48,0.8712121212121212,17,0,17,ONE-SIDED -,17,1.959963984540054,1.3667577016210009,0.9696969696969697,4,2,2,TWO-SIDED,0
B_PERMT,NOGROSS,87,11,20,0.896551724137931,9,0,9,ONE-SIDED -,9,1.959963984540054,1.3886540582619913,0.9540229885057472,4,2,2,TWO-SIDED,0
B_TSTAT,ALL,132,123,107,0.8787878787878788,16,16,0,ONE-SIDED +,16,2.0,6.53164913767243,0.9848484848484849,2,1,1,TWO-SIDED,0
B_TSTAT,NOGROSS,87,78,62,0.8160919540229885,16,16,0,ONE-SIDED +,16,2.0,6.53164913767243,0.9770114942528736,2,1,1,TWO-SIDED,0
