block,k,q,seed,book,keep4a,keep4b,fails,ewall_keep4b,D
A,20,0.25,0,CAND10,False,False,DD,False,-0.06255775259603658
A,20,0.25,0,CAND20,False,False,DD,False,-0.002768789934884719
A,20,0.25,0,EWall,False,False,DD,False,0.0
A,20,0.25,1,CAND10,False,False,"H1,DD",False,-0.005198151029920606
A,20,0.25,1,CAND20,False,False,DD,False,-0.026103972289627575
A,20,0.25,1,EWall,False,False,DD,False,0.0
A,20,0.25,2,CAND10,False,False,"H2,OOS,DD",False,-0.01643149674299116
A,20,0.25,2,CAND20,False,False,"H2,OOS",False,0.0029439085598669257
A,20,0.25,2,EWall,False,False,"H2,OOS",False,0.0
A,20,0.25,3,CAND10,False,False,"H1,H2,OOS,DD,CAGR",False,0.048061157917736574
A,20,0.25,3,CAND20,False,False,"H1,H2,OOS,DD,CAGR",False,0.004362354033525695
A,20,0.25,3,EWall,False,False,"H1,H2,OOS,DD,CAGR",False,0.0
A,20,0.25,4,CAND10,False,False,"H2,OOS,DD",False,-0.009927218689030903
A,20,0.25,4,CAND20,False,False,"H2,OOS,DD",False,0.0
A,20,0.25,4,EWall,False,False,"H2,OOS,DD",False,0.0
A,20,0.25,5,CAND10,False,False,"H2,OOS,DD",False,0.01894594292214591
A,20,0.25,5,CAND20,False,False,"H2,OOS,DD",False,-0.02650113503096896
A,20,0.25,5,EWall,False,False,"H2,OOS,DD",False,0.0
A,20,0.25,6,CAND10,False,False,DD,False,-0.045167890822386814
A,20,0.25,6,CAND20,False,False,DD,False,-0.05918530429660762
A,20,0.25,6,EWall,False,False,DD,False,0.0
A,20,0.25,7,CAND10,False,False,"H2,OOS,DD,CAGR",False,-0.09372745802129079
A,20,0.25,7,CAND20,False,False,"H2,OOS,DD",False,0.014610147973933674
A,20,0.25,7,EWall,False,False,"H2,OOS,DD,CAGR",False,0.0
A,20,0.25,8,CAND10,False,False,DD,False,-0.01726062328896838
A,20,0.25,8,CAND20,False,False,"H1,DD",False,0.004126959845662026
A,20,0.25,8,EWall,False,False,"H1,DD",False,0.0
A,20,0.25,9,CAND10,False,False,"H1,H2,OOS,DD",False,0.01944169411617991
A,20,0.25,9,CAND20,False,False,"H1,H2,OOS,DD",False,0.0031224044588501476
A,20,0.25,9,EWall,False,False,"H1,H2,OOS,DD",False,0.0
A,20,0.25,10,CAND10,False,False,"H2,DD",False,0.017227400668093806
A,20,0.25,10,CAND20,False,False,"H2,DD",False,0.007603572116993251
A,20,0.25,10,EWall,False,False,"H2,DD",False,0.0
A,20,0.25,11,CAND10,False,False,"H1,H2,DD",False,-0.008806279992357502
A,20,0.25,11,CAND20,False,False,"H2,DD",False,0.0
A,20,0.25,11,EWall,False,False,"H2,DD",False,0.0
A,20,0.25,12,CAND10,False,False,"H1,H2,OOS,DD,CAGR",False,-0.004480677270796152
A,20,0.25,12,CAND20,False,False,"H1,H2,OOS,DD,CAGR",False,0.0
A,20,0.25,12,EWall,False,False,"H1,H2,OOS,DD,CAGR",False,0.0
A,20,0.25,13,CAND10,False,False,"H2,OOS,DD",False,-0.08654960397104039
A,20,0.25,13,CAND20,False,False,"H2,OOS,DD",False,-0.005547142140745032
A,20,0.25,13,EWall,False,False,"H2,OOS,DD",False,0.0
A,20,0.25,14,CAND10,False,False,"H2,OOS,DD",False,-0.016863494756761077
A,20,0.25,14,CAND20,False,False,"H2,OOS,DD",False,0.00033412937230348216
A,20,0.25,14,EWall,False,False,"H2,OOS,DD",False,0.0
A,20,0.25,15,CAND10,False,False,"H1,H2,OOS,DD",False,0.02041177116058457
A,20,0.25,15,CAND20,False,False,"H1,H2,OOS,DD,CAGR",False,0.004387928473742919
A,20,0.25,15,EWall,False,False,"H1,H2,OOS,DD,CAGR",False,0.0
A,20,0.25,16,CAND10,False,False,"H1,OOS,DD,CAGR",False,-0.011532419561283924
A,20,0.25,16,CAND20,False,False,"H1,H2,DD,CAGR",False,0.0
A,20,0.25,16,EWall,False,False,"H1,H2,DD,CAGR",False,0.0
A,20,0.25,17,CAND10,False,False,"H2,OOS,DD",False,-0.027338313982721463
A,20,0.25,17,CAND20,False,False,"H2,OOS,DD",False,0.0
A,20,0.25,17,EWall,False,False,"H2,OOS,DD",False,0.0
A,20,0.25,18,CAND10,False,False,"H1,H2,OOS,CAGR",False,-0.04659658541686795
A,20,0.25,18,CAND20,False,False,"H1,H2,OOS,CAGR",False,0.009860258493967877
A,20,0.25,18,EWall,False,False,"H1,H2,OOS,CAGR",False,0.0
A,20,0.25,19,CAND10,False,False,"H2,OOS,DD",True,-0.09067993020567167
A,20,0.25,19,CAND20,False,True,-,True,-0.0012085137581868688
A,20,0.25,19,EWall,False,True,-,True,0.0
A,20,0.25,20,CAND10,False,False,"H1,H2,OOS,DD,CAGR",False,-0.10954021895690741
A,20,0.25,20,CAND20,False,False,"H1,H2,OOS,DD,CAGR",False,0.0
A,20,0.25,20,EWall,False,False,"H1,H2,OOS,DD,CAGR",False,0.0
A,20,0.25,21,CAND10,False,False,"H2,OOS,DD",False,0.11518038523538665
A,20,0.25,21,CAND20,False,False,"H2,OOS,DD",False,0.0
A,20,0.25,21,EWall,False,False,"H2,OOS,DD",False,0.0
A,20,0.25,22,CAND10,False,False,"H2,DD",False,-0.07569569040588775
A,20,0.25,22,CAND20,False,False,DD,False,-0.0007579606735339528
A,20,0.25,22,EWall,False,False,DD,False,0.0
A,20,0.25,23,CAND10,False,False,"H1,H2,OOS,DD,CAGR",False,0.010878876741873711
A,20,0.25,23,CAND20,False,False,"H2,OOS,DD,CAGR",False,0.0010567265574469298
A,20,0.25,23,EWall,False,False,"H2,OOS,DD,CAGR",False,0.0
A,20,0.25,24,CAND10,False,False,"H1,DD",False,-0.008796327872667709
A,20,0.25,24,CAND20,False,False,DD,False,-0.005488599363744573
A,20,0.25,24,EWall,False,False,DD,False,0.0
A,20,0.25,25,CAND10,False,False,"H1,H2,OOS,DD,CAGR",False,-0.008144214739785105
A,20,0.25,25,CAND20,False,False,"H1,H2,OOS,DD,CAGR",False,-0.013524692995367404
A,20,0.25,25,EWall,False,False,"H1,H2,OOS,DD,CAGR",False,0.0
A,20,0.25,26,CAND10,False,False,"H2,DD",False,0.0035233285529544522
A,20,0.25,26,CAND20,False,False,"H2,DD",False,0.0
A,20,0.25,26,EWall,False,False,"H2,DD",False,0.0
A,20,0.25,27,CAND10,False,False,"H1,OOS",False,-0.058924835271789266
A,20,0.25,27,CAND20,False,False,H1,False,0.004819490346773425
A,20,0.25,27,EWall,False,False,H1,False,0.0
A,20,0.25,28,CAND10,False,True,-,True,-0.03284595539878121
A,20,0.25,28,CAND20,False,True,-,True,-0.0021576066737638566
A,20,0.25,28,EWall,False,True,-,True,0.0
A,20,0.25,29,CAND10,False,False,"H2,OOS,DD",False,0.07895175586038106
