panel,cadence,cost_bps,chooser,arm,cap,gross,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,live_OOS_Sharpe,spy_OOS_Sharpe,ewbh_OOS_Sharpe,beats_live,beats_spy,beats_ewbh,pass4b_spy,pass4b_ewbh,spy_OOS_CAGR,ewbh_OOS_CAGR
U56,W,0.0,C_ISSHARPE,CAND,0.020,0.75,0.13168913356431755,1.3693466954314064,-0.14765004422980454,1.3084634507178121,0.8831406547160487,1.1216505977478437,True,True,True,True,False,0.15454794790057602,0.3035355215537636
U56,W,0.0,C_ISSHARPE,BLEND_BH,0.020,0.75,0.20296449532324545,1.1438420487189844,-0.2983925649230871,1.3084634507178121,0.8831406547160487,1.1216505977478437,False,True,True,False,False,0.15454794790057602,0.3035355215537636
U56,W,0.0,C_ISSHARPE,BLEND_RB,0.020,0.75,0.11245486137353256,1.1674753573403667,-0.20111994923395482,1.3084634507178121,0.8831406547160487,1.1216505977478437,False,True,True,False,False,0.15454794790057602,0.3035355215537636
U56,W,0.0,C_ISSHARPE,BLEND_CONST,0.015,0.75,0.17632048171771264,1.1672313165144605,-0.2839099778600186,1.3084634507178121,0.8831406547160487,1.1216505977478437,False,True,True,False,False,0.15454794790057602,0.3035355215537636
U56,W,0.0,C_ISCALMAR,CAND,INF,0.75,0.14353853330986377,1.2803390722324455,-0.17274816551070737,1.3084634507178121,0.8831406547160487,1.1216505977478437,False,True,True,True,False,0.15454794790057602,0.3035355215537636
U56,W,0.0,C_ISCALMAR,BLEND_BH,INF,0.75,0.23209532613208594,1.139344546395122,-0.3576854838090592,1.3084634507178121,0.8831406547160487,1.1216505977478437,False,True,True,False,False,0.15454794790057602,0.3035355215537636
U56,W,0.0,C_ISCALMAR,BLEND_RB,INF,0.75,0.13218022317078493,1.1365119695447037,-0.21460866483891627,1.3084634507178121,0.8831406547160487,1.1216505977478437,False,True,True,False,False,0.15454794790057602,0.3035355215537636
U56,W,0.0,C_ISCALMAR,BLEND_CONST,0.015,0.75,0.17632048171771264,1.1672313165144605,-0.2839099778600186,1.3084634507178121,0.8831406547160487,1.1216505977478437,False,True,True,False,False,0.15454794790057602,0.3035355215537636
U56,W,10.0,C_ISSHARPE,CAND,0.020,0.75,0.12773946456006335,1.3318413815124672,-0.14809080759214632,1.2839355379722956,0.8831406547160487,1.1216505977478437,True,True,True,True,False,0.15454794790057602,0.3035355215537636
U56,W,10.0,C_ISSHARPE,BLEND_BH,0.020,0.75,0.20105973199246052,1.1348185286547345,-0.30110619646959524,1.2839355379722956,0.8831406547160487,1.1216505977478437,False,True,True,False,False,0.15454794790057602,0.3035355215537636
