pair,tol,cells,reproduced,reproduced_at_10
0-10,0.0,33,0,31
0-10,0.001,33,33,33
0-10,0.005,33,33,33
0-10,0.01,33,33,33
0-10,0.02,33,33,33
0-10,0.05,33,33,33
0-20,0.0,33,0,0
0-20,0.001,33,33,33
0-20,0.005,33,33,33
0-20,0.01,33,33,33
0-20,0.02,33,33,33
0-20,0.05,33,33,33
0-30,0.0,33,0,0
0-30,0.001,33,29,31
0-30,0.005,33,33,33
0-30,0.01,33,33,33
0-30,0.02,33,33,33
0-30,0.05,33,33,33
10-30,0.0,33,0,33
10-30,0.001,33,32,33
10-30,0.005,33,33,33
10-30,0.01,33,33,33
10-30,0.02,33,33,33
10-30,0.05,33,33,33
5-25,0.0,33,0,0
5-25,0.001,33,33,33
5-25,0.005,33,33,33
5-25,0.01,33,33,33
5-25,0.02,33,33,33
5-25,0.05,33,33,33
