scope,n,corr,b_age_uni,t_age_uni,R2_age,b_turn_uni,t_turn_uni,R2_turn,b_age_joint,t_age_joint,b_turn_joint,t_turn_joint,R2_joint
panel B136,44,-0.27460261971191813,-0.45356599964070565,-1.0328914080236193,0.024772285356097656,1.3129719634421981,3.3170063508005003,0.20758501332710222,-0.10060688162567999,-0.24164079025571578,1.2853450501867396,3.0871823940830474,0.2087119285792277
panel SMALL,44,-0.3791694375236214,-0.48757836545021144,-0.7581579083353696,0.01350102332552039,2.432104075725535,4.609322612906724,0.33592485968762376,0.507574946036558,0.8878780789055264,2.6245609825153,4.5910267662388655,0.34845248918174343
panel U56,44,-0.3145160989366297,-0.6676684004695395,-1.5041883013861679,0.05111727154162238,1.3518053759982493,3.336743773756161,0.20954357953275582,-0.26912588051260045,-0.6260062784112783,1.26716095393654,2.947508100711106,0.2170273440973286
family F1_MINHOLD (3 panels),33,-0.5999320233773003,-0.5710870390923537,-1.1419163032012245,0.04036571135795941,0.9403378788886038,1.9518083569258393,0.10943994451552763,-0.010855230187954867,-0.01773339944441541,0.9338254786777178,1.5255227146762416,0.10944927966761553
family F2_CAP (3 panels),42,-0.5638829032580861,-0.8128555839723082,-2.397797381843285,0.1256722105016851,1.7711414856724599,7.6921538409953065,0.5966490844771764,0.2725087819246872,0.976855573354873,1.9248045287874773,6.899799772634081,0.6062825116006778
family F3_CADxH (3 panels),36,-0.6288088257254029,0.8062075756696288,1.5075228141525037,0.06265399962052587,1.2250794932190778,2.398086442019063,0.14467170207654112,2.6075914315606052,5.3373860513015075,2.8647559992703253,5.863767047944591,0.5409514669448028
family F4_HYST (3 panels),21,-0.9034848335816652,0.09062407700728821,0.371990560755431,0.007230340245430789,-0.16966295818661167,-0.702867628816543,0.02534227573652781,-0.34109234139389777,-0.5952834634831392,-0.47783471548685763,-0.8339299066202542,0.04415971241094352
POOLED (panel fixed effects),132,-0.3227627187240566,-0.5362709218534857,-1.8224033747559798,0.024910930930130415,1.698960471721994,6.583290955257759,0.2500276327387021,0.013496150957287512,0.049306976846225176,1.7033165260972787,6.222914131582208,0.25004176670716716
POOLED @ 0 bps (panel FE),132,,-0.6035273124806981,-1.986945900398425,,1.8853035990019593,7.244614642000203,,0.0055573432835838155,0.02013429745628817,1.8870973022290523,6.8369680390764405,0.2876127381885666
POOLED @ 5 bps (panel FE),132,,-0.5700023744058533,-1.9084846466185112,,1.791931074517471,6.922760969837235,,0.009339076479088382,0.034017194745502945,1.7949453802322335,6.538013335003857,0.2693600566590828
POOLED @ 10 bps (panel FE),132,,-0.5362709218534857,-1.8224033747559798,,1.698960471721994,6.583290955257759,,0.013496150957287512,0.049306976846225176,1.7033165260972787,6.222914131582208,0.25004176670716716
POOLED @ 25 bps (panel FE),132,,-0.4175213909753389,-1.4874928058036798,,1.390644423453795,5.4440709468871304,,0.03496978866927125,0.1290812944063452,1.4019313675178948,5.1748415553647265,0.1857622524171958
POOLED @ 50 bps (panel FE),132,,-0.07459086855803657,-0.2767535707874552,,0.4452075445402198,1.6689591688121033,,0.07714183966050125,0.2727300174915653,0.47010605443641856,1.662029749531411,0.021541067340520526
