axis,cost,n,mean_dSharpe,sd,min,max,frac_pos,mean_dOOS,mean_dCAGR,mean_dMaxDD
key: V1KEY->COMP,0.0,96,0.06791485137817277,0.0518408415743401,-0.05096464505928955,0.1451867358478962,0.8333333333333334,0.07305431185054707,0.05352086766002584,-0.049303292892580265
key: V1KEY->COMP,10.0,96,0.1354297513148631,0.07199887929733433,-0.008990398842400271,0.24470054967098798,0.9583333333333334,0.13853703064167266,0.05820839013447907,-0.04516150266429534
key: V1KEY->COMP,25.0,96,0.23682298747377115,0.11830969834409417,0.0538499646448381,0.45571130871632215,1.0,0.23684150134930815,0.06482037832063275,-0.029167514262390993
channel: NORM->RAW,0.0,96,0.002455581910927304,0.010667627307304974,-0.013490329215361196,0.02623216477984358,0.4895833333333333,0.004600442983830208,-0.001319063866412037,0.007432111056791366
channel: NORM->RAW,10.0,96,0.003869597730956679,0.0111451165690381,-0.013955064726270838,0.03134438756075775,0.5,0.006493106807694541,-0.0008571900846815333,0.004835485786066747
channel: NORM->RAW,25.0,96,0.005986041952061145,0.012515581749491914,-0.014590968408923377,0.03908481567233291,0.53125,0.009325087330616518,-0.00018972284297807257,0.0022628820841859368
gross: 0.75->1.0,0.0,96,0.0005916377110280294,0.0012785702523796655,-0.001428884522047258,0.003785961440771146,0.5729166666666666,9.38914036073361e-05,0.039192286763328275,-0.06933526227617394
gross: 0.75->1.0,10.0,96,0.00033475349582759033,0.0016470880186456446,-0.002672950664261098,0.003937572402666789,0.5833333333333334,-0.00017791825755856389,0.032108740215771356,-0.07274125717663588
gross: 0.75->1.0,25.0,96,-4.988163082466265e-05,0.002787141130353655,-0.006958756786514753,0.004164415288539058,0.6041666666666666,-0.000584359040903352,0.022008016224007304,-0.07717456740347056
spy: OUT->IN,0.0,96,0.00042481402566939736,0.008121152423433626,-0.01958576640574261,0.02178915889514732,0.3333333333333333,0.0008488772026517705,-5.658190246003031e-05,0.00039551602970299093
spy: OUT->IN,10.0,96,-3.818027839387327e-05,0.008732676996632006,-0.020769189057287418,0.02187371841345709,0.25,0.0004680482938361011,-4.739972436018184e-05,-0.00017080346886420156
spy: OUT->IN,25.0,96,-0.0007419546977938118,0.009939538295845433,-0.022555700495780706,0.0219835280593374,0.25,-0.0001148445559111261,-3.888026346919824e-05,0.0002849617850145166
