verdict_set,stat,b,spread_at_33,implied_S_for_1_cell,sqrtN_like
V_BAND,CAGR,-0.4700091393876658,8,2510.263151925654,True
V_BAND,MaxDD,-0.5063878545658627,7,2680.1420374356235,True
V_BAND,Sharpe,-0.45680471689225477,12,7919.159992409424,True
V_RESOLVE,CAGR,-0.09232041579452142,13,,False
V_RESOLVE,MaxDD,-0.25229060951148513,10,,False
V_RESOLVE,Sharpe,-0.4049274352558139,9,11926.529185356327,True
V_SIGN,CAGR,-0.2610585713061806,9,,False
V_SIGN,MaxDD,-0.4194497231868118,10,7123.401576860838,True
V_SIGN,Sharpe,-0.48427655474140463,10,3844.3615142542453,True
V_TSTAT,CAGR,-0.3207367859671382,8,,False
V_TSTAT,MaxDD,-0.37168846100272324,9,16797.99192322497,True
V_TSTAT,Sharpe,-0.4586109804813766,11,7896.279625070661,True
