panel,band,con,g_CAGR,g_DD,width,wshape,sharpe_legs_frac,n_pass4b_fine,n_pass4a_fine
U56,0.0,DEGROSS,0.9694244445800781,1.0,0.03057555541992185,ONE-SIDED (DD never binds; passage = the single number g*),1.0,4,0
U56,0.0,RESPREAD,0.6881415405273437,0.8197812072753905,0.13163966674804684,TWO-SIDED interval,1.0,13,0
U56,0.01,DEGROSS,0.9464775207519531,1.0,0.05352247924804687,ONE-SIDED (DD never binds; passage = the single number g*),1.0,6,0
U56,0.01,RESPREAD,0.6665982849121095,0.8404090270996094,0.17381074218749992,TWO-SIDED interval,1.0,18,0
U56,0.02,DEGROSS,0.9343937683105468,1.0,0.06560623168945323,ONE-SIDED (DD never binds; passage = the single number g*),1.0,7,0
U56,0.02,RESPREAD,0.6613497863769531,0.8648206481933594,0.20347086181640628,TWO-SIDED interval,1.0,20,0
U56,0.03,DEGROSS,0.9178548950195313,1.0,0.08214510498046868,ONE-SIDED (DD never binds; passage = the single number g*),1.0,9,72
U56,0.03,RESPREAD,0.6492660339355467,0.8686044494628906,0.2193384155273439,TWO-SIDED interval,1.0,22,0
U56,0.05,DEGROSS,0.9529466003417968,1.0,0.04705339965820321,ONE-SIDED (DD never binds; passage = the single number g*),1.0,5,0
U56,0.05,RESPREAD,0.6240610351562499,0.8298510009765625,0.20578996582031261,TWO-SIDED interval,1.0,20,0
U56,0.08,DEGROSS,0.9274974853515625,1.0,0.07250251464843749,ONE-SIDED (DD never binds; passage = the single number g*),1.0,8,0
U56,0.08,RESPREAD,0.602090576171875,0.7733380981445311,0.17124752197265614,TWO-SIDED interval,1.0,17,0
B136,0.0,DEGROSS,,1.0,0.0,EMPTY,1.0,0,0
B136,0.0,RESPREAD,0.6859444946289062,0.7544801208496092,0.06853562622070308,TWO-SIDED interval,1.0,7,0
B136,0.01,DEGROSS,,1.0,0.0,EMPTY,1.0,0,0
B136,0.01,RESPREAD,0.6819165771484375,0.7943320922851562,0.11241551513671877,TWO-SIDED interval,1.0,11,0
B136,0.02,DEGROSS,0.9901132934570313,1.0,0.009886706542968748,ONE-SIDED (DD never binds; passage = the single number g*),1.0,1,0
B136,0.02,RESPREAD,0.6744100036621095,0.8060496704101563,0.13163966674804684,TWO-SIDED interval,1.0,13,0
B136,0.03,DEGROSS,0.9935309204101563,1.0,0.006469079589843663,ONE-SIDED (DD never binds; passage = the single number g*),1.0,1,0
B136,0.03,RESPREAD,0.6802687927246094,0.8254569091796873,0.1451881164550779,TWO-SIDED interval,1.0,14,0
B136,0.05,DEGROSS,0.9935919494628906,1.0,0.0064080505371093555,ONE-SIDED (DD never binds; passage = the single number g*),1.0,1,0
B136,0.05,RESPREAD,0.6651946166992188,0.781760107421875,0.1165654907226562,TWO-SIDED interval,1.0,12,0
B136,0.08,DEGROSS,0.929206298828125,1.0,0.070793701171875,ONE-SIDED (DD never binds; passage = the single number g*),1.0,8,0
B136,0.08,RESPREAD,0.6344970031738281,0.7323876037597656,0.09789060058593757,TWO-SIDED interval,1.0,10,0
SMALL439,0.0,DEGROSS,,1.0,0.0,EMPTY,0.0,0,0
SMALL439,0.0,RESPREAD,,0.36194125366210933,0.0,EMPTY,0.0,0,0
SMALL439,0.01,DEGROSS,,1.0,0.0,EMPTY,0.0,0,0
SMALL439,0.01,RESPREAD,,0.3747573547363281,0.0,EMPTY,0.0,0,0
SMALL439,0.02,DEGROSS,,1.0,0.0,EMPTY,0.0,0,0
SMALL439,0.02,RESPREAD,,0.37561176147460934,0.0,EMPTY,0.0,0,0
SMALL439,0.03,DEGROSS,,1.0,0.0,EMPTY,0.0,0,0
SMALL439,0.03,RESPREAD,,0.37005811767578123,0.0,EMPTY,0.0,0,0
SMALL439,0.05,DEGROSS,,1.0,0.0,EMPTY,0.0,0,0
SMALL439,0.05,RESPREAD,0.9146813842773438,0.3688985656738281,0.0,EMPTY,0.0,0,0
SMALL439,0.08,DEGROSS,,1.0,0.0,EMPTY,0.0,0,0
SMALL439,0.08,RESPREAD,0.8980204528808593,0.3703632629394531,0.0,EMPTY,0.0,0,0
