sample,detector,claims,rederivable,not_rederivable,agree,disagree,disagree_rate,agree_rate,chance_floor,excess
S1,D1,174,89,85,65,24,0.2696629213483146,0.7303370786516854,0.30367828244352857,0.42665879620815683
S1,D2,174,139,35,107,32,0.2302158273381295,0.7697841726618705,0.5310794715850069,0.2387047010768636
S1,D3,174,139,35,118,21,0.1510791366906475,0.8489208633093526,0.6559176289896306,0.193003234319722
S2,D1,1148,557,591,392,165,0.296229802513465,0.703770197486535,0.3441661325375908,0.3596040649489442
S2,D2,1148,942,206,790,152,0.1613588110403397,0.8386411889596603,0.6125582080443692,0.2260829809152911
S2,D3,1148,942,206,849,93,0.09872611464968153,0.9012738853503185,0.7130851721477511,0.18818871320256736
S3,D1,3952,1649,2303,1187,462,0.2801697998787144,0.7198302001212856,0.3696068779410731,0.3502233221802125
S3,D2,3952,3175,777,2680,495,0.15590551181102363,0.8440944881889764,0.5965962506120298,0.24749823757694656
S3,D3,3952,3175,777,2882,293,0.09228346456692914,0.9077165354330708,0.699708081231597,0.20800845420147385
