,40,60,80,100,200,400
40,-0.3693241032685681,-0.4268417914825254,-0.4147328044901133,-0.41776005123821636,-0.8264383622321236,-0.868819816705566
60,-0.12108986992412069,-0.13925335041273879,-0.2542887268406534,-0.2482342333444474,-0.529768180918028,-0.6326945703535306
80,-0.32088815529891984,-0.35721511627615604,-0.3723513500166711,-0.37840584351287715,-0.7810296610105785,-0.8718470634536689
100,-0.41170555774201034,-0.4601415057116587,-0.43289628497873145,-0.4631687524597616,-0.8324928557283298,-0.8657925699574629
200,-0.39959657074959826,-0.4722504927040707,-0.4571142589635556,-0.47830498620027667,-0.8324928557283298,-0.8506563362169478
400,-0.5206864406737189,-0.6024221028725004,-0.5146319471775129,-0.5509589081547491,-0.905146777682802,-0.9414737386600383
