panel,n,bps,seed,d_FWD_RANDH,d_FWD_RANDW,d_RANDH_RANDW
U56,20,0,0,0.13897240685056755,0.05547362575433579,-0.08349878109623177
U56,20,0,1,0.05177791739391546,-0.002667393725962919,-0.05444531111987838
U56,20,0,2,0.12108771990430167,0.029395196593692274,-0.0916925233106094
U56,20,0,3,-0.005897626297965974,0.04457112833715593,0.050468754635121904
U56,20,0,4,0.10628999648846138,0.06481239107414716,-0.04147760541431422
U56,20,0,5,-0.008749495133179686,0.029784132220282533,0.03853362735346222
U56,20,0,6,0.1445436028752889,0.09319844558909263,-0.051345157286196264
U56,20,0,7,-0.057074199929500136,0.0003759953760853474,0.05745019530558548
U56,20,10,0,0.13223810356298593,0.3440937904021436,0.21185568683915768
U56,20,10,1,0.042449775093647446,0.28853336306445565,0.2460835879708082
U56,20,10,2,0.11625693224406197,0.31698590794501236,0.20072897570095038
U56,20,10,3,-0.01609829237505478,0.3353968782588672,0.351495170633922
U56,20,10,4,0.10048588585215934,0.3506762263638977,0.2501903405117384
U56,20,10,5,-0.012065691064035988,0.31570936204531574,0.32777505310935173
U56,20,10,6,0.1337295814223437,0.3836822545245421,0.24995267310219837
U56,20,10,7,-0.0531750349576976,0.2850437034226102,0.3382187383803078
U56,20,30,0,0.11877398942433182,0.9186324777458438,0.799858488321512
U56,20,30,1,0.023746923177690338,0.8683523367017006,0.8446054135240103
U56,20,30,2,0.10652250660210816,0.8896458395476466,0.7831233329455385
U56,20,30,3,-0.036524123865739,0.9144670674219915,0.9509911912877305
U56,20,30,4,0.0887913801203658,0.9198887542024503,0.8310973740820845
U56,20,30,5,-0.018725061378360386,0.8852787766807289,0.9040038380590892
U56,20,30,6,0.11207076221880286,0.9615970122543486,0.8495262500355457
U56,20,30,7,-0.045286199733038934,0.8513939632415557,0.8966801629745946
B136,20,0,0,0.04633075561992206,-0.027232301289490612,-0.07356305690941267
B136,20,0,1,0.0268745768089651,-0.0006087757687494033,-0.027483352577714504
B136,20,0,2,-0.10526522993387322,-0.17140614804296161,-0.0661409181090884
B136,20,0,3,0.024862159892690805,-0.08017244770462284,-0.10503460759731365
B136,20,0,4,-0.07878036428445667,-0.02066789244128686,0.05811247184316981
B136,20,0,5,-0.10479493198450585,-0.02435814556397764,0.0804367864205282
B136,20,0,6,-0.08999255064851441,-0.12520876927014735,-0.03521621862163293
B136,20,0,7,0.09008084735211142,-0.020619301894229114,-0.11070014924634053
B136,20,10,0,0.028356649754801455,0.4277231502271368,0.39936650047233535
B136,20,10,1,0.011002459971177436,0.448914997386239,0.4379125374150616
B136,20,10,2,-0.1271200743718316,0.2822401142713348,0.40936018864316637
B136,20,10,3,0.010093865740316676,0.3671156417497282,0.35702177600941154
B136,20,10,4,-0.0994352919928253,0.4371432990832792,0.5365785910761045
B136,20,10,5,-0.12169150913004845,0.4263434142423015,0.5480349233723499
B136,20,10,6,-0.10913476787456078,0.3359429772462105,0.44507774512077125
B136,20,10,7,0.0723053580989439,0.43690642501482646,0.36460106691588257
B136,20,30,0,-0.007554611142221224,1.3193694629955552,1.3269240741377764
B136,20,30,1,-0.020771843634024956,1.3290788039458161,1.3498506475798413
B136,20,30,2,-0.17069822844455518,1.1731810261330327,1.3438792545775877
B136,20,30,3,-0.01938596101014889,1.2478924330717027,1.2672783940818517
B136,20,30,4,-0.14066358304286997,1.3335376602688407,1.4742012433117107
B136,20,30,5,-0.1553719001910152,1.3123663470181741,1.4677382472091893
B136,20,30,6,-0.14744125494624183,1.242251787180766,1.389693042127008
B136,20,30,7,0.03670738261588924,1.3337074584337971,1.2970000758179077
B136,30,0,0,0.04660089563745773,-0.03402392995503534,-0.08062482559249307
B136,30,0,1,0.011869653708199257,-0.010176002669753936,-0.022045656377953193
B136,30,0,2,-0.09648086320512972,-0.104043178279696,-0.007562315074566284
B136,30,0,3,-0.016747068662687825,-0.036830604410573065,-0.02008353574788524
B136,30,0,4,0.009858925714944844,-0.03481822094478271,-0.04467714665972755
B136,30,0,5,-0.0895587374591027,-0.01787031231829861,0.07168842514080409
B136,30,0,6,-0.07342015332807628,-0.14993861475812098,-0.0765184614300447
B136,30,0,7,0.012548105176277469,0.027148438307584177,0.014600333131306709
B136,30,10,0,0.03503701279518323,0.3618433822857757,0.3268063694905925
B136,30,10,1,-0.0022609280641366913,0.3822942590612144,0.3845551871253511
B136,30,10,2,-0.11204127238837625,0.2891023871809716,0.40114365956934783
B136,30,10,3,-0.0296822972624734,0.3488003614066544,0.3784826586691278
B136,30,10,4,-0.0031488487402223653,0.3589543862554003,0.3621032349956227
B136,30,10,5,-0.09781718113130033,0.37534311168819257,0.4731602928194929
B136,30,10,6,-0.08629928174834711,0.24968007855039365,0.33597936029874076
B136,30,10,7,-0.001808320254354956,0.4221540088587302,0.4239623291130852
B136,30,30,0,0.011859928275753995,1.1422870938913132,1.1304271656155591
B136,30,30,1,-0.030526461901089985,1.1552788169038481,1.185805278804938
B136,30,30,2,-0.14304419175425653,1.064662827231383,1.2077070189856394
B136,30,30,3,-0.05549942219737647,1.1107312193850436,1.1662306415824202
B136,30,30,4,-0.029166575008767515,1.1354118947317478,1.1645784697405153
B136,30,30,5,-0.11424326197661538,1.1514400252684114,1.2656832872450265
B136,30,30,6,-0.11210120225777209,1.0387465118137225,1.1508477140714946
B136,30,30,7,-0.030502014192980154,1.199433538822722,1.2299355530157021
B136,40,0,0,0.04445325563091074,-0.028842064297766035,-0.07329531992867677
B136,40,0,1,0.01220541557459498,-0.019658540384164702,-0.03186395595875968
B136,40,0,2,-0.06383878724701897,-0.0592564889794478,0.004582298267571172
B136,40,0,3,-0.028069124736981088,-0.02065703908570682,0.0074120856512742694
B136,40,0,4,0.04815042335366271,-0.03492228427595778,-0.08307270762962049
B136,40,0,5,-0.07891712845984178,0.014320505672399841,0.09323763413224162
B136,40,0,6,-0.03821706375472611,-0.1124126659251119,-0.07419560217038579
B136,40,0,7,0.00938340664227133,0.0006204322099427895,-0.00876297443232854
B136,40,10,0,0.0351589357422426,0.3088050998433878,0.2736461641011452
B136,40,10,1,0.0021196077057105134,0.3121025404778274,0.30998293277211686
B136,40,10,2,-0.0734883194511392,0.27419792624016226,0.34768624569130147
B136,40,10,3,-0.03533500291042946,0.31000517530770444,0.3453401782181339
B136,40,10,4,0.03758000205407197,0.2969997279125992,0.25941972585852724
B136,40,10,5,-0.08395057131029426,0.3469970458642808,0.4309476171745751
B136,40,10,6,-0.04763718194725708,0.22273430072268907,0.27037148266994615
B136,40,10,7,-0.0005121563712400246,0.3374335908080558,0.3379457471792958
B136,40,30,0,0.016563442722292376,0.9780519539499417,0.9614885112276493
B136,40,30,1,-0.017998711556476255,0.9697262479505113,0.9877249595069876
B136,40,30,2,-0.09264469781991969,0.9348632220943817,1.0275079199143013
B136,40,30,3,-0.04976578462763248,0.9656941210159731,1.0154599056436056
B136,40,30,4,0.016456279904314197,0.9550143798830861,0.9385580999787719
B136,40,30,5,-0.09390343929034495,1.0061007534431274,1.1000041927334725
B136,40,30,6,-0.06645089311576202,0.8878341412497747,0.9542850343655367
B136,40,30,7,-0.020247400681707828,1.004607535979248,1.0248549366609558
B136,60,0,0,0.01604152062186026,-0.038904723600803104,-0.054946244222663365
B136,60,0,1,-0.0068273000262784045,0.008242493867292922,0.015069793893571326
B136,60,0,2,-0.030483890996314322,-0.005582885650170288,0.024901005346144034
B136,60,0,3,0.02407465150391097,-0.018690193260729515,-0.042764844764640486
B136,60,0,4,0.01925059340111579,-0.06632904626199254,-0.08557963966310833
B136,60,0,5,-0.038144282133707685,-0.011311275589001246,0.02683300654470644
B136,60,0,6,-0.004916542021574877,-0.06300862236830351,-0.058092080346728636
B136,60,0,7,0.02517954337088435,0.016664355267592024,-0.008515188103292326
B136,60,10,0,0.014026312841945554,0.17825839743414817,0.16423208459220262
B136,60,10,1,-0.008535280461208772,0.2235452046792582,0.23208048514046697
B136,60,10,2,-0.03368312947875107,0.2099277692076108,0.24361089868636188
B136,60,10,3,0.023345420806700656,0.1963897118074991,0.17304429100079843
B136,60,10,4,0.015521681104063378,0.14844801238450112,0.13292633128043774
B136,60,10,5,-0.03942045116232984,0.2023073753587834,0.24172782652111324
B136,60,10,6,-0.007542293054694782,0.15207041677910615,0.15961270983380094
B136,60,10,7,0.0217016187946929,0.23277225785941957,0.21107063906472667
B136,60,30,0,0.010063872229256532,0.6114641273072171,0.6014002550779606
B136,60,30,1,-0.011860270817205532,0.6528849137167917,0.6647451845339972
B136,60,30,2,-0.039969855007655264,0.6397265905322388,0.6796964455398941
B136,60,30,3,0.021967957681520267,0.625469000599216,0.6035010429176957
B136,60,30,4,0.00813677761317988,0.5772389394580171,0.5691021618448371
B136,60,30,5,-0.041863718902502955,0.6283092378680685,0.6701729567705714
B136,60,30,6,-0.012737853375727415,0.5812670036326428,0.5940048570083702
B136,60,30,7,0.014796230693462586,0.6635171315098696,0.648720900816407
BSTK100,20,0,0,-0.07403826490943155,-0.07877152886813454,-0.0047332639587029934
BSTK100,20,0,1,-0.09141237061037999,-0.06893817521472423,0.02247419539565576
BSTK100,20,0,2,-0.07371218567284821,0.002698670936148728,0.07641085660899694
BSTK100,20,0,3,-0.06745650128024305,-0.037546807224183354,0.0299096940560597
BSTK100,20,0,4,0.10955939718367969,0.04027436428920217,-0.06928503289447752
BSTK100,20,0,5,0.021575994883586302,-0.03474564795041246,-0.056321642833998764
BSTK100,20,0,6,0.03426396153059841,-0.008179031537959514,-0.04244299306855792
BSTK100,20,0,7,-0.024089299344335346,-0.0838287517519809,-0.059739452407645555
BSTK100,20,10,0,-0.09419207671220209,0.26258938972411583,0.3567814664363179
BSTK100,20,10,1,-0.10577841496740181,0.2654054068333609,0.3711838218007627
BSTK100,20,10,2,-0.09089831206209775,0.34531856553803997,0.4362168776001377
BSTK100,20,10,3,-0.08599140306380482,0.30144447912367656,0.3874358821874814
BSTK100,20,10,4,0.09670336489394593,0.37693276428055444,0.2802293993866085
BSTK100,20,10,5,0.0067934374080749205,0.3034274116065546,0.2966339741984797
BSTK100,20,10,6,0.01681626491233912,0.33013373433445803,0.3133174694221189
BSTK100,20,10,7,-0.043308036999144095,0.2531592250749668,0.2964672620741109
BSTK100,20,30,0,-0.1343997545879363,0.9382241386649245,1.072623893252861
BSTK100,20,30,1,-0.13432736531647937,0.9267201654105084,1.0610475307269878
BSTK100,20,30,2,-0.1252205006768058,1.0223726385572074,1.1475931392340133
BSTK100,20,30,3,-0.1229803966486347,0.9723315448457006,1.0953119414943353
BSTK100,20,30,4,0.07097227077332291,1.0414334298674168,0.970461159094094
BSTK100,20,30,5,-0.022741437363083872,0.9717924197498674,0.9945338571129513
BSTK100,20,30,6,-0.01809528527237403,0.9988752777588132,1.0169705630311874
BSTK100,20,30,7,-0.08171704562762194,0.9202240645183042,1.0019411101459261
BSTK100,30,0,0,0.001810248908660661,-0.09877964552211171,-0.10058989443077238
BSTK100,30,0,1,-0.08991765239322302,-0.06448496944720028,0.025432682946022744
BSTK100,30,0,2,-0.03256315358367212,0.012176738650341745,0.04473989223401387
BSTK100,30,0,3,-0.021527538447010608,-0.011337298409188401,0.010190240037822207
BSTK100,30,0,4,0.009900155650269804,0.07944324664739455,0.06954309099712475
BSTK100,30,0,5,-0.09248198478071279,-0.0067742017905969565,0.08570778299011583
BSTK100,30,0,6,-0.05165459846743081,-0.021918735738601036,0.029735862728829776
BSTK100,30,0,7,-0.07144008480867958,-0.09779024000707004,-0.026350155198390457
BSTK100,30,10,0,-0.010007066158359557,0.17263600445726113,0.18264307061562068
BSTK100,30,10,1,-0.09996408920818844,0.20386725461498134,0.3038313438231698
BSTK100,30,10,2,-0.04262053275693922,0.28225005181359775,0.32487058457053697
BSTK100,30,10,3,-0.03459502577885931,0.25755368305196913,0.29214870883082844
BSTK100,30,10,4,-0.00028073990778554325,0.3489801591998142,0.3492608991075997
BSTK100,30,10,5,-0.10101171859796698,0.261256797080171,0.362268515678138
BSTK100,30,10,6,-0.061451406765621,0.24482170768649525,0.30627311445211625
BSTK100,30,10,7,-0.08579818118149396,0.1703781251981722,0.25617630637966615
BSTK100,30,30,0,-0.03359898702158304,0.7124020772305972,0.7460010642521802
BSTK100,30,30,1,-0.11993129489727572,0.7372772804741693,0.857208575371445
BSTK100,30,30,2,-0.06271890882594033,0.8188952138131088,0.8816141226390491
BSTK100,30,30,3,-0.060695395859356904,0.7916779547005699,0.8523733505599268
BSTK100,30,30,4,-0.02063662265570354,0.8836393408808232,0.9042759635365267
BSTK100,30,30,5,-0.11801428951640225,0.7935792173069639,0.9115935068233662
BSTK100,30,30,6,-0.08100033071901869,0.7745012417122302,0.8555015724312489
BSTK100,30,30,7,-0.11445099139080861,0.7033639523460129,0.8178149437368215
BSTK100,40,0,0,0.003236766388560852,-0.0779667287875101,-0.08120349517607095
BSTK100,40,0,1,-0.07718941369111065,-0.003891921845406099,0.07329749184570455
BSTK100,40,0,2,0.010851042691562895,0.03708666988651488,0.026235627194951983
BSTK100,40,0,3,-0.01841260824604518,-0.024142965031108465,-0.005730356785063284
BSTK100,40,0,4,0.00034392872039701317,0.027608752268966974,0.02726482354856996
BSTK100,40,0,5,-0.0735589086507662,0.021192782947340172,0.09475169159810637
BSTK100,40,0,6,-0.01419410690741918,0.01551309138522905,0.02970719829264823
BSTK100,40,0,7,-0.0432375654447652,-0.06925409572733066,-0.026016530282565453
BSTK100,40,10,0,-0.0022881489098264263,0.12692939335654474,0.12921754226637117
BSTK100,40,10,1,-0.08164423909647989,0.19912843771634425,0.28077267681282414
BSTK100,40,10,2,0.006487686536476134,0.24039797079262581,0.23391028425614968
BSTK100,40,10,3,-0.026202359131566877,0.1777840840677044,0.20398644319927128
BSTK100,40,10,4,-0.005377581942840215,0.23055961271221426,0.23593719465505447
BSTK100,40,10,5,-0.07791382219108833,0.2218038501030195,0.29971767229410784
BSTK100,40,10,6,-0.01846258594919281,0.21825848655047697,0.23672107249966978
BSTK100,40,10,7,-0.050771941759101824,0.13508052974019502,0.18585247149929685
BSTK100,40,30,0,-0.013228843199559304,0.535414631384248,0.5486434745838074
BSTK100,40,30,1,-0.09044428673318239,0.6039775929260026,0.694421879659185
BSTK100,40,30,2,-0.0021764462121676154,0.6454993425300296,0.6476757887421972
BSTK100,40,30,3,-0.041688006764810104,0.5803218051235839,0.6220098118883939
BSTK100,40,30,4,-0.016751358750972556,0.6348135043984121,0.6515648631493847
BSTK100,40,30,5,-0.08652982160913048,0.6215050015574207,0.7080348231665512
BSTK100,40,30,6,-0.026920632423569346,0.6221370013851941,0.6490576338087635
BSTK100,40,30,7,-0.06574566933658099,0.5423903398448224,0.6081360091814034
