model,R2,adjR2,n
linear in s,0.004081782831783065,-0.0171079664696685,49
step at s=1 only,0.015930944055944085,-0.005006695432227426,49
step at s>=0.875,0.04110334110334124,0.020701284531071895,49
linear in s + step at s=1,0.016888435638435895,-0.025855545420762516,49
