panel,selector,gross,cad,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,v2_OOS_Sharpe,spy_OOS_Sharpe,spy_OOS_CAGR,H1,H2,MaxDD,CAGR,pass4a,pass4b
U56,IS_Sharpe,1.0,M,0.12855556379687694,1.2324804732353007,-0.1855549063124261,1.2834365112057167,0.872122672456382,0.15237187725667578,1.2280801816035103,1.1416397257974413,-0.1855549063124261,0.11928718159950513,False,True
U56,IS_CAGR,1.0,M,0.12855556379687694,1.2324804732353007,-0.1855549063124261,1.2834365112057167,0.872122672456382,0.15237187725667578,1.2280801816035103,1.1416397257974413,-0.1855549063124261,0.11928718159950513,False,True
U56,IS_MaxDD,0.5,W,0.06284216286869282,1.2840012516468897,-0.08009405329976282,1.2834365112057167,0.872122672456382,0.15237187725667578,1.2393478094170272,1.1812076685592574,-0.08009405329976271,0.05733457831336031,False,False
U56,IS_Calmar,1.0,M,0.12855556379687694,1.2324804732353007,-0.1855549063124261,1.2834365112057167,0.872122672456382,0.15237187725667578,1.2280801816035103,1.1416397257974413,-0.1855549063124261,0.11928718159950513,False,True
B136,IS_Sharpe,1.0,W,0.10659093356047356,1.1195000250557177,-0.1607636272862938,1.12060446918127,0.8820239235972316,0.1545044425578177,1.2322831844435536,0.9849908831555925,-0.16076362728629368,0.10730181668524397,False,True
B136,IS_CAGR,1.0,M,0.11177258409468305,1.0993280948887045,-0.20399781081914248,1.12060446918127,0.8820239235972316,0.1545044425578177,1.2195725751618482,0.9785276378387824,-0.20399781081914237,0.11252114163195515,False,False
B136,IS_MaxDD,0.5,W,0.05312453159527597,1.121563969660283,-0.08199084501569565,1.12060446918127,0.8820239235972316,0.1545044425578177,1.2300792253894937,0.9870391770337545,-0.08199084501569609,0.053445880111218314,False,False
B136,IS_Calmar,1.0,M,0.11177258409468305,1.0993280948887045,-0.20399781081914248,1.12060446918127,0.8820239235972316,0.1545044425578177,1.2195725751618482,0.9785276378387824,-0.20399781081914237,0.11252114163195515,False,False
SMALL439,IS_Sharpe,1.0,M,0.05748337397254688,0.6209492309036695,-0.21874066250907076,0.5664863714962136,0.8820106885412021,0.15450723909089636,0.7231706454063287,0.6164935284065924,-0.21874066250906976,0.061260713630983066,False,False
SMALL439,IS_CAGR,1.0,M,0.05748337397254688,0.6209492309036695,-0.21874066250907076,0.5664863714962136,0.8820106885412021,0.15450723909089636,0.7231706454063287,0.6164935284065924,-0.21874066250906976,0.061260713630983066,False,False
SMALL439,IS_MaxDD,0.5,M,0.029466744711125648,0.6177812918951634,-0.11411437621750842,0.5664863714962136,0.8820106885412021,0.15450723909089636,0.718154844969898,0.6130954608887518,-0.11411437621751053,0.03116147068320929,True,False
SMALL439,IS_Calmar,1.0,M,0.05748337397254688,0.6209492309036695,-0.21874066250907076,0.5664863714962136,0.8820106885412021,0.15450723909089636,0.7231706454063287,0.6164935284065924,-0.21874066250906976,0.061260713630983066,False,False
