panel,family,rung,cadence,pick_level,pick_w,pick_depth,pick_on_share,pick_gap,n_cells,IS_Sharpe,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,nogate_OOS_Sharpe,nogate_OOS_CAGR,nogate_OOS_MaxDD,vs_nogate,grid_mean_OOS,best_OOS,regret,spy_OOS,v2_OOS
U56,ABS,0,D,0.4,0,0.25,0.12339563161450123,0.030848907903625267,9,1.0637181213865465,0.1207587315728218,1.2449684341202871,-0.14973806615594087,1.189612193236939,0.12201801009066426,-0.15769539333233684,0.05535624088334812,1.2755522087403446,1.3362350603804283,-0.09126662626014115,0.8757783801289708,1.3033814514046218
U56,ABS,0,W,0.3,0,1.0,0.07363206485025896,0.07363206485025897,9,1.0919141493431206,0.1197248099305932,1.2553720405641415,-0.15769539333233684,1.189612193236939,0.12201801009066426,-0.15769539333233684,0.06575984732720253,1.2401905003459086,1.2709666916633984,-0.01559465109925684,0.8757783801289708,1.3033814514046218
U56,QEXP,0,D,0.07,0,0.25,0.002251745102454402,0.0005629362756135459,9,1.0530337219209345,0.11978364700950705,1.172241828993839,-0.15769539333233684,1.189612193236939,0.12201801009066426,-0.15769539333233684,-0.01737036424310001,1.2517135646670736,1.4157428351318686,-0.2435010061380296,0.8757783801289708,1.3033814514046218
U56,QEXP,0,W,0.17,0,0.25,0.05179013735645125,0.012947534339112776,9,1.0531298688535962,0.12338647740664044,1.2435313574816989,-0.15769539333233717,1.189612193236939,0.12201801009066426,-0.15769539333233684,0.05391916424475984,1.2357735510034629,1.338189988444329,-0.09465863096263005,0.8757783801289708,1.3033814514046218
U56,QROLL,0,D,0.17,504,1.0,0.17405989641972527,0.1740598964197253,36,1.1846090101259952,0.11344408476104406,1.3780626560643823,-0.12987421865734772,1.189612193236939,0.12201801009066426,-0.15769539333233684,0.18845046282744327,1.3352317027229303,1.5810966804588165,-0.2030340243944342,0.8757783801289708,1.3033814514046218
U56,QROLL,0,W,0.12,504,1.0,0.1416347669443819,0.14163476694438193,36,1.1174046656173673,0.11307218940111818,1.2778078982470802,-0.15769539333233717,1.189612193236939,0.12201801009066426,-0.15769539333233684,0.08819570501014118,1.3321248448191731,1.5499879626851885,-0.27218006443810827,0.8757783801289708,1.3033814514046218
U56,ABS,10,D,0.4,0,0.25,0.12339563161450123,0.030848907903625267,9,0.9705508990483992,0.11073031058981497,1.1504903050399236,-0.15128651339401933,1.1066831562752688,0.11266924280203794,-0.1587470388393195,0.043807148764654746,1.1765645205463402,1.2423144466333467,-0.09182414159342311,0.8757783801289708,1.278836537597142
U56,ABS,10,W,0.3,0,1.0,0.07363206485025896,0.07363206485025897,9,1.0002219788021702,0.11111845740614767,1.172857897734876,-0.15874703883931973,1.1066831562752688,0.11266924280203794,-0.1587470388393195,0.06617474145960722,1.1553512447421896,1.1840520199945987,-0.011194122259722716,0.8757783801289708,1.278836537597142
U56,QEXP,10,D,0.07,0,0.25,0.002251745102454402,0.0005629362756135459,9,0.9696220485116058,0.11030091898089767,1.0877681782544522,-0.1587470388393195,1.1066831562752688,0.11266924280203794,-0.1587470388393195,-0.018914978020816653,1.1590056809727567,1.3126121825385413,-0.22484400428408913,0.8757783801289708,1.278836537597142
U56,QEXP,10,W,0.07,0,0.25,0.002251745102454402,0.0005629362756135459,9,0.9696220485116058,0.11081888142021024,1.0920842274676483,-0.1587470388393195,1.1066831562752688,0.11266924280203794,-0.1587470388393195,-0.014598928807620482,1.1510090452571897,1.2543096550291368,-0.1622254275614885,0.8757783801289708,1.278836537597142
U56,QROLL,10,D,0.17,504,1.0,0.17405989641972527,0.1740598964197253,36,1.0615697528514287,0.10051121777836336,1.2315587485985175,-0.13636923112938437,1.1066831562752688,0.11266924280203794,-0.1587470388393195,0.12487559232324874,1.2270439303654248,1.4477796827419898,-0.2162209341434722,0.8757783801289708,1.278836537597142
U56,QROLL,10,W,0.12,504,0.5,0.1416347669443819,0.07081738347219091,36,1.0251497787955028,0.10901506740883415,1.1880409959645075,-0.15874703883931962,1.1066831562752688,0.11266924280203794,-0.1587470388393195,0.08135783968923871,1.2436712950466022,1.4501993472203334,-0.26215835125582587,0.8757783801289708,1.278836537597142
U56,ABS,25,D,0.4,0,0.25,0.12339563161450123,0.030848907903625267,9,0.8304290424526495,0.09585053899551355,1.0083429653009222,-0.15360541277094486,0.9819093567797008,0.09878650641929743,-0.16113523777780092,0.02643360852122134,1.0274476268028285,1.100574122558067,-0.09223115725714481,0.8757783801289708,1.2419798947110108
U56,ABS,25,W,0.3,0,0.5,0.07363206485025896,0.03681603242512943,9,0.8638974650465444,0.09875864811285817,1.0333152797300929,-0.1603233752514751,0.9819093567797008,0.09878650641929743,-0.16113523777780092,0.051405922950392036,1.0275875303436073,1.05288910824981,-0.019573828519717118,0.8757783801289708,1.2419798947110108
U56,QEXP,25,D,0.07,0,0.25,0.002251745102454402,0.0005629362756135459,9,0.8442461811040094,0.09622168037034973,0.9606814833752634,-0.16569233482520573,0.9819093567797008,0.09878650641929743,-0.16113523777780092,-0.021227873404437436,1.0194446731840545,1.156957117281247,-0.19627563390598357,0.8757783801289708,1.2419798947110108
U56,QEXP,25,W,0.07,0,0.25,0.002251745102454402,0.0005629362756135459,9,0.8442461811040094,0.096860759851773,0.9661831914083422,-0.16113523777780092,0.9819093567797008,0.09878650641929743,-0.16113523777780092,-0.015726165371358625,1.0233605657582656,1.1276950663519105,-0.16151187494356833,0.8757783801289708,1.2419798947110108
U56,QROLL,25,D,0.12,504,0.5,0.14073406890340012,0.07036703445170012,36,0.8943220978688758,0.0933742729453757,1.0558765161460473,-0.14701610351419703,0.9819093567797008,0.09878650641929743,-0.16113523777780092,0.07396715936634646,1.0640794954030939,1.246507523259404,-0.1906310071133568,0.8757783801289708,1.2419798947110108
U56,QROLL,25,W,0.17,1008,1.0,0.12339563161450123,0.12339563161450129,36,0.9005878328140728,0.10817127617983302,1.2728344194522572,-0.10157274729409704,0.9819093567797008,0.09878650641929743,-0.16113523777780092,0.29092506267255636,1.1103270309696165,1.2989920504168861,-0.026157630964628975,0.8757783801289708,1.2419798947110108
B136,ABS,0,D,0.4,0,0.25,0.10903356611849516,0.027258391529623838,9,1.1100324640365073,0.11219350808455242,1.128649183341016,-0.1706098095979549,1.100499453025563,0.1152808427800831,-0.173426895186108,0.02814973031545298,1.1548666227840554,1.2119386299172292,-0.08328944657621329,0.8820239235972316,1.1481353293632495
B136,ABS,0,W,0.3,0,0.25,0.061725613876999326,0.015431403469249871,9,1.1051764259974453,0.11402241198555818,1.1110687132589834,-0.17342689518610788,1.100499453025563,0.1152808427800831,-0.173426895186108,0.010569260233420419,1.123354788508194,1.1450883675408563,-0.034019654281872924,0.8820239235972316,1.1481353293632495
B136,QEXP,0,D,0.07,0,0.25,0.0,0.0,9,1.1111006218848407,0.1152808427800831,1.100499453025563,-0.173426895186108,1.100499453025563,0.1152808427800831,-0.173426895186108,0.0,1.1402607739981587,1.2043696487149012,-0.1038701956893382,0.8820239235972316,1.1481353293632495
B136,QEXP,0,W,0.07,0,0.25,0.0,0.0,9,1.1111006218848407,0.1152808427800831,1.100499453025563,-0.173426895186108,1.100499453025563,0.1152808427800831,-0.173426895186108,0.0,1.1106006638523498,1.12628742441877,-0.025787971393206988,0.8820239235972316,1.1481353293632495
B136,QROLL,0,D,0.17,252,0.5,0.21829240820004506,0.10914620410002251,36,1.1841720293130464,0.11204842562353257,1.3255043404022977,-0.11392861727151171,1.100499453025563,0.1152808427800831,-0.173426895186108,0.22500488737673474,1.2317852321194809,1.4104190510942665,-0.08491471069196876,0.8820239235972316,1.1481353293632495
B136,QROLL,0,W,0.17,504,0.5,0.19216039648569497,0.09608019824284753,36,1.1801431998397578,0.10619598771411143,1.2118918554462945,-0.1293668187459397,1.100499453025563,0.1152808427800831,-0.173426895186108,0.11139240242073156,1.219672877516134,1.3784778016026522,-0.1665859461563577,0.8820239235972316,1.1481353293632495
B136,ABS,10,D,0.4,0,0.25,0.10903356611849516,0.027258391529623838,9,1.0254197891561774,0.10247665506261017,1.039187316154782,-0.17384666002523785,1.0185476662771331,0.10583657394304091,-0.17687931105226462,0.02063964987764888,1.057069983479468,1.1051855161996285,-0.06599820004484647,0.8820239235972316,1.1185082795688426
B136,ABS,10,W,0.3,0,0.25,0.061725613876999326,0.015431403469249871,9,1.0264879525408164,0.10464130763593893,1.0278435411142866,-0.17467262030427,1.0185476662771331,0.10583657394304091,-0.17687931105226462,0.00929587483715344,1.0383174252028797,1.0589370328365255,-0.031093491722238964,0.8820239235972316,1.1185082795688426
B136,QEXP,10,D,0.07,0,0.25,0.0,0.0,9,1.0349765743906882,0.10583657394304091,1.0185476662771331,-0.17687931105226462,1.0185476662771331,0.10583657394304091,-0.17687931105226462,0.0,1.0509071597136577,1.1122205606720925,-0.0936728943949594,0.8820239235972316,1.1185082795688426
B136,QEXP,10,W,0.07,0,0.25,0.0,0.0,9,1.0349765743906882,0.10583657394304091,1.0185476662771331,-0.17687931105226462,1.0185476662771331,0.10583657394304091,-0.17687931105226462,0.0,1.026418014393891,1.0394608660162616,-0.02091319973912853,0.8820239235972316,1.1185082795688426
B136,QROLL,10,D,0.17,252,0.5,0.21829240820004506,0.10914620410002251,36,1.0770541724563034,0.10061197624925411,1.2007058232095642,-0.11572884200584221,1.0185476662771331,0.10583657394304091,-0.17687931105226462,0.1821581569324311,1.1210568851216336,1.2467361501043315,-0.04603032689476727,0.8820239235972316,1.1185082795688426
