statistic,D,period,floor_pooled,floor_max,floor_min,floor_U56,floor_B136,floor_SMALL439,parent_ratio
PREM_SHARPE,3,FULL,0.09073820006998662,0.13928845047925587,0.0435304027749861,0.0435304027749861,0.0893957469557179,0.13928845047925587,3.1997969602820966
PREM_SHARPE,3,IS,0.13246683431037842,0.15954960488434622,0.09139002602199246,0.09139002602199246,0.15954960488434622,0.1464608720247966,1.7458098200557637
PREM_SHARPE,3,OOS,0.09356093955165129,0.21794816666049266,0.012224937922379388,0.012224937922379388,0.0505097140720818,0.21794816666049266,17.82816142252218
PREM_SHARPE,6,FULL,0.08127055841608405,0.09951093735009703,0.05022388388893717,0.05022388388893717,0.09951093735009703,0.09407685400921795,1.9813469139533497
PREM_SHARPE,6,IS,0.12758185594764063,0.1747572128084414,0.0951980977588313,0.0951980977588313,0.1747572128084414,0.11279025727564922,1.8357216890106356
PREM_SHARPE,6,OOS,0.08632668762291373,0.15219409736002193,0.05006810727501184,0.05671785823370746,0.05006810727501184,0.15219409736002193,3.039741377161654
PREM_SHARPE,12,FULL,0.08110130686830282,0.12018166734736159,0.0398887543927805,0.0398887543927805,0.08323349886476637,0.12018166734736159,3.012921039447483
PREM_SHARPE,12,IS,0.12684115222492065,0.16821528619336035,0.07392836402671521,0.07392836402671521,0.13837980645468637,0.16821528619336035,2.2753822353295012
PREM_SHARPE,12,OOS,0.09326487736677425,0.15020393996690193,0.05526449988317551,0.05526449988317551,0.07432619225024527,0.15020393996690193,2.71791005590244
PREM_SHARPE,24,FULL,0.08094068193265912,0.12426450699468043,0.04670922554628726,0.04670922554628726,0.07184831325700967,0.12426450699468043,2.6603846572351864
PREM_SHARPE,24,IS,0.11270514252089081,0.1496706857774684,0.07286219389298124,0.07286219389298124,0.11558254789222283,0.1496706857774684,2.0541611195142186
PREM_SHARPE,24,OOS,0.09455895024487974,0.15509109548493935,0.060120295222075106,0.060120295222075106,0.06846546002762473,0.15509109548493935,2.5796795393644816
PREM_CAGR,3,FULL,0.01338554221923261,0.027057618923991538,0.005276951361357069,0.005276951361357069,0.007822056372349222,0.027057618923991538,5.1275096303016054
PREM_CAGR,3,IS,0.01607523266135204,0.023453265201007465,0.00997023538720074,0.00997023538720074,0.014802197395847918,0.023453265201007465,2.3523281337084105
PREM_CAGR,3,OOS,0.017757396532399442,0.04670635421111303,0.0013914482916970222,0.0013914482916970222,0.005174387094388279,0.04670635421111303,33.56671928796546
PREM_CAGR,6,FULL,0.013267647366894722,0.018167346081119338,0.006633607061025008,0.006633607061025008,0.015001988958539823,0.018167346081119338,2.738682878559311
PREM_CAGR,6,IS,0.018256398233099824,0.025673427859561507,0.010759204200888828,0.010759204200888828,0.025673427859561507,0.018336562638849137,2.3861827864035337
PREM_CAGR,6,OOS,0.01563870225057315,0.03244589267733279,0.007148125379307928,0.007148125379307928,0.007322088695078731,0.03244589267733279,4.539077164378748
PREM_CAGR,12,FULL,0.013045613263610973,0.023204436962469082,0.0052240976094137205,0.0052240976094137205,0.010708305218950115,0.023204436962469082,4.441807695295576
PREM_CAGR,12,IS,0.01865090404651257,0.027444503323947055,0.009082109188628347,0.009082109188628347,0.019426099626962318,0.027444503323947055,3.0218204553530525
PREM_CAGR,12,OOS,0.015744811248617378,0.031561385680617,0.006195812859310745,0.006195812859310745,0.009477235205924387,0.031561385680617,5.093986277069067
PREM_CAGR,24,FULL,0.01281224962618962,0.02410203341244675,0.005353730718024907,0.005353730718024907,0.008980984748097203,0.02410203341244675,4.501913652717006
PREM_CAGR,24,IS,0.01616707085250749,0.025188150090282014,0.008258315769989059,0.008258315769989059,0.015054746697251405,0.025188150090282014,3.0500347518578095
PREM_CAGR,24,OOS,0.016045192092047463,0.03249980503370191,0.00679521527930764,0.00679521527930764,0.008840555963132843,0.03249980503370191,4.782748404258546
SHARPE,3,FULL,0.10195205622710475,0.12528822273811152,0.08236252516732515,0.09820542077587761,0.08236252516732515,0.12528822273811152,1.5211799599827696
SHARPE,3,IS,0.20231921812694376,0.23615504768596618,0.17732573243894253,0.19347687425592255,0.17732573243894253,0.23615504768596618,1.3317584788055505
SHARPE,3,OOS,0.10462710617010777,0.23371339909996094,0.03107914966028616,0.03107914966028616,0.04908876975007618,0.23371339909996094,7.519941879188758
SHARPE,6,FULL,0.10742074372298464,0.1140264606223305,0.1025557563019323,0.1140264606223305,0.10568001424469109,0.1025557563019323,1.11184846891117
SHARPE,6,IS,0.19897910810932976,0.22357093184488144,0.17770383444178864,0.17770383444178864,0.19566255804131918,0.22357093184488144,1.2581097788191944
SHARPE,6,OOS,0.10330456113086589,0.16450314752225093,0.05985149224690045,0.08555904362344628,0.05985149224690045,0.16450314752225093,2.748522072660103
SHARPE,12,FULL,0.11098155520039725,0.14165291976793998,0.09186501222220056,0.09186501222220056,0.0994267336110512,0.14165291976793998,1.5419681154051752
SHARPE,12,IS,0.1842036259141443,0.26236309213923004,0.13584593861773875,0.13584593861773875,0.15440184698546414,0.26236309213923004,1.9313282002305712
SHARPE,12,OOS,0.11102866617442948,0.16178978585579828,0.08371466264547439,0.08371466264547439,0.08758155002201579,0.16178978585579828,1.9326337912985023
SHARPE,24,FULL,0.1061610883034535,0.13245613958029936,0.08993602419169323,0.08993602419169323,0.0960911011383679,0.13245613958029936,1.4727817998489354
SHARPE,24,IS,0.16209926670595523,0.22042692900462615,0.1194572161152665,0.1194572161152665,0.1464136549979731,0.22042692900462615,1.8452374513058474
SHARPE,24,OOS,0.11618533873472603,0.16924677006120484,0.08759439230928355,0.09171485383368971,0.08759439230928355,0.16924677006120484,1.9321644411164833
CAGR,3,FULL,0.013239328526548522,0.024182093934081203,0.0068540512099633496,0.008681840435601012,0.0068540512099633496,0.024182093934081203,3.5281460837247685
CAGR,3,IS,0.024962850962857566,0.03893527844397923,0.01768829142940476,0.01768829142940476,0.018264983015188706,0.03893527844397923,2.201189334728723
CAGR,3,OOS,0.01952680987252965,0.049678435218377504,0.002365489033520826,0.002365489033520826,0.006536505365690614,0.049678435218377504,21.00133820719323
CAGR,6,FULL,0.018784490939618172,0.019821159411527345,0.017014678116619008,0.017014678116619008,0.019821159411527345,0.01951763529070816,1.1649447186524862
CAGR,6,IS,0.029143056854499805,0.03551908846919491,0.02044157987215785,0.02044157987215785,0.03146850222214665,0.03551908846919491,1.7375901809611671
CAGR,6,OOS,0.021743094094089158,0.03528089997707153,0.013527667909946618,0.01642071439524932,0.013527667909946618,0.03528089997707153,2.6080548555697622
CAGR,12,FULL,0.019217926083375466,0.026466712939759652,0.015432717743163757,0.015432717743163757,0.01575434756720298,0.026466712939759652,1.7149742112975295
CAGR,12,IS,0.028486638196040692,0.043937940959445664,0.01829468406311623,0.01829468406311623,0.023227289565560177,0.043937940959445664,2.4016780397989272
CAGR,12,OOS,0.021084156754837546,0.03341986279127938,0.014854208375405522,0.014854208375405522,0.014978399097827742,0.03341986279127938,2.2498582184031743
CAGR,24,FULL,0.018216958702626945,0.02533119909886432,0.014502323557941359,0.014817353451075157,0.014502323557941359,0.02533119909886432,1.7466993477050894
CAGR,24,IS,0.024446816962723262,0.036632101333168486,0.016161715686166072,0.016161715686166072,0.020546633868835224,0.036632101333168486,2.2665973120987664
CAGR,24,OOS,0.021889005182418143,0.035485682965613004,0.014652588666699237,0.015528743914942189,0.014652588666699237,0.035485682965613004,2.4218029846330764
MAXDD,3,FULL,0.02952941002016694,0.05263175019132483,0.0159029731900887,0.02005350667908728,0.0159029731900887,0.05263175019132483,3.3095541042681766
MAXDD,3,IS,0.03677205460657842,0.05412401831169928,0.011323629491221976,0.011323629491221976,0.044868516016814,0.05412401831169928,4.779741191077998
MAXDD,3,OOS,0.03031370020075075,0.05081776930330551,0.02005350667908727,0.02005350667908727,0.02006982461985947,0.05081776930330551,2.5341088776408687
MAXDD,6,FULL,0.03082685085327114,0.04965330258577866,0.018990632420360157,0.018990632420360157,0.02383661755367461,0.04965330258577866,2.6146208028619715
MAXDD,6,IS,0.030714404537016574,0.051484953755480345,0.009983826565962098,0.009983826565962098,0.030674433289607284,0.051484953755480345,5.156835749832456
MAXDD,6,OOS,0.030536508403300147,0.04895506415029255,0.018990632420360018,0.018990632420360018,0.023663828639247878,0.04895506415029255,2.5778532840121433
MAXDD,12,FULL,0.03918428924609051,0.0686508451030365,0.017317231254345557,0.017317231254345557,0.031584791380889495,0.0686508451030365,3.964308387104859
MAXDD,12,IS,0.03363081207969117,0.05687090457033505,0.01205835883699499,0.01205835883699499,0.031963172831743464,0.05687090457033505,4.716305538682044
MAXDD,12,OOS,0.039211294368204634,0.0682903710775481,0.017317231254345436,0.017317231254345436,0.03202628077272038,0.0682903710775481,3.943492471431419
MAXDD,24,FULL,0.04148635264755254,0.07068082824623986,0.02158646751255885,0.02158646751255885,0.0321917621838589,0.07068082824623986,3.2743119366389273
MAXDD,24,IS,0.032871469588347496,0.05550024778479764,0.01621917736608771,0.01621917736608771,0.026894983614157136,0.05550024778479764,3.421890428354386
MAXDD,24,OOS,0.04324299153804543,0.07580547602064742,0.021586467512558865,0.021586467512558865,0.032337031080929994,0.07580547602064742,3.5117128810697857
