obj,panel,est,frac,L,years,se_COMP,se_PAIRED,se_BOOKONLY
SPY,U56,BLOCK21,0.125,556,2.2063492063492065,0.6358627719182703,,
SPY,U56,BLOCK5,0.125,556,2.2063492063492065,0.6739167545077783,,
SPY,U56,IID,0.125,556,2.2063492063492065,0.6609983115771209,,
SPY,U56,BLOCK21,0.25,1111,4.408730158730159,0.44190509663846167,,
SPY,U56,BLOCK5,0.25,1111,4.408730158730159,0.4500976820960012,,
SPY,U56,IID,0.25,1111,4.408730158730159,0.49742170377682,,
SPY,U56,BLOCK21,0.375,1667,6.615079365079365,0.36749464594424336,,
SPY,U56,BLOCK5,0.375,1667,6.615079365079365,0.3792695367868481,,
SPY,U56,IID,0.375,1667,6.615079365079365,0.3984070030876893,,
SPY,U56,BLOCK21,0.5,2222,8.817460317460318,0.31765511593705315,,
SPY,U56,BLOCK5,0.5,2222,8.817460317460318,0.3207848796682695,,
SPY,U56,IID,0.5,2222,8.817460317460318,0.3514514792980425,,
SPY,U56,BLOCK21,0.75,3334,13.23015873015873,0.2526808580186124,,
SPY,U56,BLOCK5,0.75,3334,13.23015873015873,0.27025867668984604,,
SPY,U56,IID,0.75,3334,13.23015873015873,0.26959500830702104,,
SPY,U56,BLOCK21,1.0,4445,17.63888888888889,0.21886266611937302,,
SPY,U56,BLOCK5,1.0,4445,17.63888888888889,0.23392482365613568,,
SPY,U56,IID,1.0,4445,17.63888888888889,0.2388768271497019,,
SPY,B136,BLOCK21,0.125,555,2.2023809523809526,0.6415444582640731,,
SPY,B136,BLOCK5,0.125,555,2.2023809523809526,0.639383817400558,,
SPY,B136,IID,0.125,555,2.2023809523809526,0.6933046956912658,,
SPY,B136,BLOCK21,0.25,1111,4.408730158730159,0.432245090743395,,
SPY,B136,BLOCK5,0.25,1111,4.408730158730159,0.4593967219644487,,
SPY,B136,IID,0.25,1111,4.408730158730159,0.4702245031618976,,
SPY,B136,BLOCK21,0.375,1666,6.611111111111111,0.367214556763907,,
SPY,B136,BLOCK5,0.375,1666,6.611111111111111,0.3797986763699206,,
SPY,B136,IID,0.375,1666,6.611111111111111,0.39850580302754707,,
SPY,B136,BLOCK21,0.5,2222,8.817460317460318,0.29903388791576513,,
SPY,B136,BLOCK5,0.5,2222,8.817460317460318,0.316886437973178,,
SPY,B136,IID,0.5,2222,8.817460317460318,0.3286053561604923,,
SPY,B136,BLOCK21,0.75,3332,13.222222222222221,0.253275048956078,,
SPY,B136,BLOCK5,0.75,3332,13.222222222222221,0.264477785407239,,
SPY,B136,IID,0.75,3332,13.222222222222221,0.2859418871261836,,
SPY,B136,BLOCK21,1.0,4443,17.63095238095238,0.22228793610806552,,
SPY,B136,BLOCK5,1.0,4443,17.63095238095238,0.2280260768492014,,
SPY,B136,IID,1.0,4443,17.63095238095238,0.24118880946515459,,
u56-v2band-gross100,U56,BLOCK21,0.125,556,2.2063492063492065,0.6358627719182703,0.35922494110863673,0.6469364177302516
u56-v2band-gross100,U56,BLOCK5,0.125,556,2.2063492063492065,0.6739167545077783,0.4080931200365363,0.6664629787998445
u56-v2band-gross100,U56,IID,0.125,556,2.2063492063492065,0.6609983115771209,0.4419299608497898,0.6811510426256057
u56-v2band-gross100,U56,BLOCK21,0.25,1111,4.408730158730159,0.44190509663846167,0.2578644622192509,0.4615451790979437
u56-v2band-gross100,U56,BLOCK5,0.25,1111,4.408730158730159,0.4500976820960012,0.2869115300530587,0.47747014550104455
u56-v2band-gross100,U56,IID,0.25,1111,4.408730158730159,0.49742170377682,0.3126925729743488,0.498232184116394
u56-v2band-gross100,U56,BLOCK21,0.375,1667,6.615079365079365,0.36749464594424336,0.2082130483033719,0.37767027700434386
u56-v2band-gross100,U56,BLOCK5,0.375,1667,6.615079365079365,0.3792695367868481,0.2381804853755669,0.3924344458479294
u56-v2band-gross100,U56,IID,0.375,1667,6.615079365079365,0.3984070030876893,0.2564919210099902,0.4013156463055292
u56-v2band-gross100,U56,BLOCK21,0.5,2222,8.817460317460318,0.31765511593705315,0.17609125469682396,0.31347650290909257
u56-v2band-gross100,U56,BLOCK5,0.5,2222,8.817460317460318,0.3207848796682695,0.19723503317085556,0.32884754801330696
u56-v2band-gross100,U56,IID,0.5,2222,8.817460317460318,0.3514514792980425,0.2239628553470045,0.3486293005224899
u56-v2band-gross100,U56,BLOCK21,0.75,3334,13.23015873015873,0.2526808580186124,0.15006631559774597,0.2596447852745775
u56-v2band-gross100,U56,BLOCK5,0.75,3334,13.23015873015873,0.27025867668984604,0.16374579544777432,0.286056721968518
u56-v2band-gross100,U56,IID,0.75,3334,13.23015873015873,0.26959500830702104,0.18118942783547767,0.27706102417712164
u56-v2band-gross100,U56,BLOCK21,1.0,4445,17.63888888888889,0.21886266611937302,0.12406987787841953,0.22345331807632637
u56-v2band-gross100,U56,BLOCK5,1.0,4445,17.63888888888889,0.23392482365613568,0.1373531300338672,0.23993426848307603
u56-v2band-gross100,U56,IID,1.0,4445,17.63888888888889,0.2388768271497019,0.1582201723376576,0.24207887621830346
