panel,fold,chooser,ladder_set,ladder,rung,widest,narrowest,MULTIPLE,INFLATION,SURVIVES,moved,OOS_Sharpe,OOS_CAGR,OOS_MaxDD
U56,2013,CH_RAW/ALL4,ALL4,N,40,N,GROSS,308.9292503500752,0.8235284751771321,True,True,2.704749985343767,0.2430801996607761,-0.041469469357626076
U56,2013,CH_MATCHED/ALL4,ALL4,N,40,N,GROSS,308.9292503500752,0.8235284751771321,True,True,2.704749985343767,0.2430801996607761,-0.041469469357626076
U56,2013,CH_D2/ALL4,ALL4,N,40,N,GROSS,308.9292503500752,0.8235284751771321,True,True,2.704749985343767,0.2430801996607761,-0.041469469357626076
U56,2013,CH_ANCHOR/ALL4,ALL4,CADENCE,W,N,GROSS,308.9292503500752,0.8235284751771321,True,False,2.5568857038167834,0.28451848252154854,-0.04356963494483568
U56,2013,CH_RAW/NG,NG,N,40,N,CADENCE,3.478047061606369,2.2460653734250635,True,True,2.704749985343767,0.2430801996607761,-0.041469469357626076
U56,2013,CH_MATCHED/NG,NG,N,40,N,CADENCE,3.478047061606369,2.2460653734250635,True,True,2.704749985343767,0.2430801996607761,-0.041469469357626076
U56,2013,CH_D2/NG,NG,N,40,N,CADENCE,3.478047061606369,2.2460653734250635,True,True,2.704749985343767,0.2430801996607761,-0.041469469357626076
U56,2013,CH_ANCHOR/NG,NG,CADENCE,W,N,CADENCE,3.478047061606369,2.2460653734250635,True,False,2.5568857038167834,0.28451848252154854,-0.04356963494483568
U56,2014,CH_RAW/ALL4,ALL4,N,5,N,GROSS,911.5159293513528,0.8235284751771321,True,True,0.8885729905166772,0.13891628282910418,-0.12355354011261654
U56,2014,CH_MATCHED/ALL4,ALL4,N,5,N,GROSS,911.5159293513528,0.8235284751771321,True,True,0.8885729905166772,0.13891628282910418,-0.12355354011261654
U56,2014,CH_D2/ALL4,ALL4,N,5,N,GROSS,911.5159293513528,0.8235284751771321,True,True,0.8885729905166772,0.13891628282910418,-0.12355354011261654
U56,2014,CH_ANCHOR/ALL4,ALL4,CADENCE,W,N,GROSS,911.5159293513528,0.8235284751771321,True,False,0.8921107325943569,0.10373475298415302,-0.07826813890585593
U56,2014,CH_RAW/NG,NG,N,5,N,CADENCE,3.4793359086595093,2.2460653734250635,True,True,0.8885729905166772,0.13891628282910418,-0.12355354011261654
U56,2014,CH_MATCHED/NG,NG,N,5,N,CADENCE,3.4793359086595093,2.2460653734250635,True,True,0.8885729905166772,0.13891628282910418,-0.12355354011261654
U56,2014,CH_D2/NG,NG,N,5,N,CADENCE,3.4793359086595093,2.2460653734250635,True,True,0.8885729905166772,0.13891628282910418,-0.12355354011261654
U56,2014,CH_ANCHOR/NG,NG,CADENCE,W,N,CADENCE,3.4793359086595093,2.2460653734250635,True,False,0.8921107325943569,0.10373475298415302,-0.07826813890585593
U56,2015,CH_RAW/ALL4,ALL4,N,5,N,GROSS,87.20582023509948,0.8235284751771321,True,True,0.7610259833597219,0.12206687750809797,-0.14280901515986433
U56,2015,CH_MATCHED/ALL4,ALL4,N,5,N,GROSS,87.20582023509948,0.8235284751771321,True,True,0.7610259833597219,0.12206687750809797,-0.14280901515986433
U56,2015,CH_D2/ALL4,ALL4,N,5,N,GROSS,87.20582023509948,0.8235284751771321,True,True,0.7610259833597219,0.12206687750809797,-0.14280901515986433
U56,2015,CH_ANCHOR/ALL4,ALL4,CADENCE,W,N,GROSS,87.20582023509948,0.8235284751771321,True,False,1.1970392197168795,0.15798350958717,-0.08881947972487758
U56,2015,CH_RAW/NG,NG,N,5,N,CADENCE,2.500221301276333,2.2460653734250635,True,True,0.7610259833597219,0.12206687750809797,-0.14280901515986433
U56,2015,CH_MATCHED/NG,NG,N,5,N,CADENCE,2.500221301276333,2.2460653734250635,True,True,0.7610259833597219,0.12206687750809797,-0.14280901515986433
U56,2015,CH_D2/NG,NG,N,5,N,CADENCE,2.500221301276333,2.2460653734250635,True,True,0.7610259833597219,0.12206687750809797,-0.14280901515986433
U56,2015,CH_ANCHOR/NG,NG,CADENCE,W,N,CADENCE,2.500221301276333,2.2460653734250635,True,False,1.1970392197168795,0.15798350958717,-0.08881947972487758
U56,2016,CH_RAW/ALL4,ALL4,H,252,H,GROSS,36.17122077621694,0.6689675565108749,True,True,0.826622835623928,0.08053107692211636,-0.08491962203199499
U56,2016,CH_MATCHED/ALL4,ALL4,H,252,H,GROSS,36.17122077621694,0.6689675565108749,True,True,0.826622835623928,0.08053107692211636,-0.08491962203199499
U56,2016,CH_D2/ALL4,ALL4,H,252,H,GROSS,36.17122077621694,0.6689675565108749,True,True,0.826622835623928,0.08053107692211636,-0.08491962203199499
U56,2016,CH_ANCHOR/ALL4,ALL4,CADENCE,W,H,GROSS,36.17122077621694,0.6689675565108749,True,False,1.064881337722707,0.11184319115481611,-0.09767817796404488
U56,2016,CH_RAW/NG,NG,H,252,H,CADENCE,4.212177492960687,1.8245208391861245,True,True,0.826622835623928,0.08053107692211636,-0.08491962203199499
U56,2016,CH_MATCHED/NG,NG,H,252,H,CADENCE,4.212177492960687,1.8245208391861245,True,True,0.826622835623928,0.08053107692211636,-0.08491962203199499
U56,2016,CH_D2/NG,NG,H,252,H,CADENCE,4.212177492960687,1.8245208391861245,True,True,0.826622835623928,0.08053107692211636,-0.08491962203199499
U56,2016,CH_ANCHOR/NG,NG,CADENCE,W,H,CADENCE,4.212177492960687,1.8245208391861245,True,False,1.064881337722707,0.11184319115481611,-0.09767817796404488
U56,2017,CH_RAW/ALL4,ALL4,N,40,N,GROSS,41.193217915680904,0.8235284751771321,True,True,2.86613974445938,0.19178119801782612,-0.018702207561756
U56,2017,CH_MATCHED/ALL4,ALL4,N,40,N,GROSS,41.193217915680904,0.8235284751771321,True,True,2.86613974445938,0.19178119801782612,-0.018702207561756
U56,2017,CH_D2/ALL4,ALL4,N,40,N,GROSS,41.193217915680904,0.8235284751771321,True,True,2.86613974445938,0.19178119801782612,-0.018702207561756
U56,2017,CH_ANCHOR/ALL4,ALL4,CADENCE,W,N,GROSS,41.193217915680904,0.8235284751771321,True,False,2.2713449074391034,0.21556499666933648,-0.03043560622693453
U56,2017,CH_RAW/NG,NG,N,40,N,CADENCE,2.893555394909077,2.2460653734250635,True,True,2.86613974445938,0.19178119801782612,-0.018702207561756
U56,2017,CH_MATCHED/NG,NG,N,40,N,CADENCE,2.893555394909077,2.2460653734250635,True,True,2.86613974445938,0.19178119801782612,-0.018702207561756
U56,2017,CH_D2/NG,NG,N,40,N,CADENCE,2.893555394909077,2.2460653734250635,True,True,2.86613974445938,0.19178119801782612,-0.018702207561756
