gap,mc_vs_exact_max,mc_vs_exact_median
-0.2,0.0,0.0
-0.1,0.014333333333333337,0.001111111111111101
-0.088,0.05555555555555555,0.005611111111111115
-0.05,0.01733333333333334,0.007277777777777786
-0.02,0.04716666666666669,0.006000000000000005
-0.01,0.03933333333333333,0.006000000000000005
0.0,0.15211111111111114,0.012555555555555598
0.01,0.14861111111111114,0.008972222222222215
0.018,0.03561111111111115,0.004138888888888914
0.02,0.05611111111111111,0.008277777777777828
0.042,0.016722222222222194,0.006055555555555592
0.05,0.05761111111111117,0.006944444444444475
0.1,0.011611111111111128,0.0037777777777778243
0.2,0.0,0.0
