dial,n,clears,clear_rate,cuts,cut_rate,cut_lo,cut_hi,dd_pass,dd_pass_rate,clear_given_dd,pass4a,pass4b,med_dd_margin
band,126,27,0.21428571428571427,21,0.7777777777777778,0.5924270453692919,0.8939290451059105,39,0.30952380952380953,0.15384615384615385,6,0,-0.006692066751526449
cadence,36,3,0.08333333333333333,3,1.0,0.43849391955098227,1.0,18,0.5,0.0,0,0,-0.020650683296206562
gross,90,0,0.0,0,,,,54,0.6,0.0,0,12,
lookback,63,11,0.1746031746031746,11,1.0,0.7411599827511859,1.0,0,0.0,,0,7,-0.19161208049514178
ma,72,4,0.05555555555555555,1,0.25,0.045586062644636216,0.6993639475573634,42,0.5833333333333334,0.07142857142857142,3,0,0.008208471966145436
n,108,5,0.046296296296296294,5,1.0,0.5655085052479191,1.0,0,0.0,,0,18,-0.17441021269091372
nns,63,7,0.1111111111111111,7,1.0,0.6456611570247934,1.0,0,0.0,,0,5,-0.20410732070668836
quantile,99,3,0.030303030303030304,3,1.0,0.43849391955098227,1.0,2,0.020202020202020204,0.0,0,14,-0.18437341948070807
volcap,90,0,0.0,0,,,,0,0.0,,0,20,
