share,cells,raw,fe_dial,fe_dial_corpus_rung,eq_dial,dials_present
0.2,26,0.004145444138028146,-0.003181768732457753,-0.00031094948811006943,-0.0004243878443406096,3
0.225,34,0.0017797084172016323,-0.004754206961169436,-0.0026153890491526976,0.00014299319144568264,3
0.25,47,0.0050080954038091,-0.000827880621140426,0.00040432228240032533,0.002512320632274359,4
0.275,69,0.002778559999663007,-0.0019302379819260555,-0.0008462198206188316,0.0007683042063075956,4
0.3,89,-0.0016139065801719992,-0.005893358560987839,-0.004577802012920205,-0.0024847976416912283,4
0.325,105,-0.0030268104036322895,-0.006713749550417887,-0.006418232644327792,-0.003088590587396335,5
0.35,119,-0.0014707313925697099,-0.004871219772685316,-0.004894597713734709,-0.0018644133338891159,5
0.375,124,-0.0010936327901917575,-0.00446986274106816,-0.004639745793906267,-0.0009622065909750853,5
0.4,125,-0.0005115856847023682,-0.0039937126640234525,-0.003749697390772241,0.000562903456269909,5
0.425,122,0.0004019493254227787,-0.0030097728158847417,-0.002845888234140469,0.0008767091649466418,6
0.45,111,0.005078649315661443,0.00197619236427152,0.001888950650886117,0.004446265811256151,6
0.475,92,0.00781492417126993,0.005086609082690036,0.0048252409931957415,0.006588705552474867,6
0.5,77,0.007738113657653388,0.0050991149926486335,0.00533765178751213,0.00782098694769962,6
0.525,71,0.011106485557948622,0.008421585894569253,0.008891609533032715,0.02471412023969654,7
0.55,72,0.01264642293085406,0.008586887159162945,0.008550150698851995,0.016309160689105873,7
0.575,70,0.01647385013565617,0.011194492685175797,0.01070895330251718,0.017047823471873474,7
0.6,54,0.01835924972923048,0.012191002903894214,0.011590234440970067,0.015410442870724678,7
0.625,63,0.02187147613466871,0.014846594084803388,0.013494682092156225,0.0175653597541018,7
0.65,59,0.024542076938238566,0.016834308438625507,0.015088517938636746,0.022936818133258135,6
0.675,74,0.020335919254419074,0.01231484431901522,0.011140742744212388,0.02082524914491504,6
0.7,72,0.019450285743004895,0.011566267753532903,0.010312783946007835,0.020582023552897295,6
0.725,53,0.017008414133332088,0.009752352478587894,0.008469238077557732,0.02374013288622581,5
0.75,80,0.01252278055044547,0.006071002791205836,0.00503906672306113,0.01668126777111329,6
0.775,75,0.008879525386371647,0.0019004179566940664,0.0017716560993802533,0.006426622940325849,6
0.8,101,0.008930715744477537,0.00033017451790656635,0.0002081007700909246,0.004949567989359151,6
0.825,108,0.00880177083639231,0.00022796123124212695,0.0001951526617451489,0.0047624505990414906,6
0.85,92,0.008184540763719014,-0.00035983381938118036,-0.0007264843225312823,0.004333437802111818,6
0.875,132,0.005759692433854531,-0.001969829079061536,-0.0021552695740894366,0.0032170299319196644,6
0.9,123,0.005695048995848658,-0.002395775995592843,-0.002512979366814143,0.0044254724204520635,5
0.925,209,0.0026215281243152006,-0.003975705604076625,-0.0039166500013304234,0.0017509339672908877,6
0.95,200,0.0017720830984214652,-0.0041012414082286204,-0.00405084642282301,0.0012828756733850107,6
0.975,169,0.0009190654097060864,-0.0045184484658923885,-0.004364763782152184,0.0007385781047921852,6
1.0,163,0.0009592011498884526,-0.0046296501871668175,-0.004447079608090177,0.0007872922286721685,6
