panel,family,axis,N,chooser,pick,margin,CAGR,Sharpe,MaxDD,H1,H2,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,pass_4b_full,pass_4b_oos,pass_4a
B136,A,H,5,C_ISSHARPE,63,0.13832901452845126,0.2365986271857763,1.107985062534156,-0.28623535174686976,1.4481458124281585,0.866394398415701,0.20461088515896764,0.9156496419388593,-0.28623535174686987,False,False,False
B136,A,H,5,C_ISDD,63,0.006554165708158588,0.2365986271857763,1.107985062534156,-0.28623535174686976,1.4481458124281585,0.866394398415701,0.20461088515896764,0.9156496419388593,-0.28623535174686987,False,False,False
B136,A,H,5,C_ISCAGR,63,0.03865303153278732,0.2365986271857763,1.107985062534156,-0.28623535174686976,1.4481458124281585,0.866394398415701,0.20461088515896764,0.9156496419388593,-0.28623535174686987,False,False,False
B136,A,H,8,C_ISSHARPE,63,0.005183792914746688,0.21619939454418247,1.1373224059572187,-0.2749952689464622,1.37195287353493,0.9793749708422647,0.21471413918472693,1.0453377617009663,-0.2749952689464623,False,False,False
B136,A,H,8,C_ISDD,63,0.027063007568361108,0.21619939454418247,1.1373224059572187,-0.2749952689464622,1.37195287353493,0.9793749708422647,0.21471413918472693,1.0453377617009663,-0.2749952689464623,False,False,False
B136,A,H,8,C_ISCAGR,126,0.0011138617793731154,0.1782211925038646,0.9883520420625724,-0.24535256443898135,1.369320557424036,0.7066621559053999,0.1455591690419591,0.7866466863657643,-0.24535256443898168,False,False,False
B136,A,H,10,C_ISSHARPE,63,0.00912856932018924,0.20763352445123595,1.1465914539764797,-0.28158901836830386,1.4072119431446526,0.9652961693629724,0.20738331575143798,1.061642071659765,-0.2815890183683043,False,False,False
B136,A,H,10,C_ISDD,21,0.006889845867194211,0.1726139474531767,0.9997294279900567,-0.2560668997321145,1.3165295390957468,0.7592589755479201,0.15234348885646853,0.8461153385191585,-0.2560668997321143,False,False,False
B136,A,H,10,C_ISCAGR,63,0.0011309646014332486,0.20763352445123595,1.1465914539764797,-0.28158901836830386,1.4072119431446526,0.9652961693629724,0.20738331575143798,1.061642071659765,-0.2815890183683043,False,False,False
B136,A,H,12,C_ISSHARPE,63,0.05588777649946697,0.19064404044219407,1.097279057261327,-0.29728824400723597,1.396598834152776,0.8838321289023751,0.18346798359993954,0.9861514599107609,-0.2972882440072363,False,False,False
B136,A,H,12,C_ISDD,63,0.02572796272526412,0.19064404044219407,1.097279057261327,-0.29728824400723597,1.396598834152776,0.8838321289023751,0.18346798359993954,0.9861514599107609,-0.2972882440072363,False,False,False
B136,A,H,12,C_ISCAGR,63,0.010005088332034173,0.19064404044219407,1.097279057261327,-0.29728824400723597,1.396598834152776,0.8838321289023751,0.18346798359993954,0.9861514599107609,-0.2972882440072363,False,False,False
B136,A,H,15,C_ISSHARPE,63,0.1023713488498954,0.17829445264090293,1.0849607305414637,-0.27671859963533196,1.3794194177078043,0.862001388162497,0.16945471291365455,0.9756115404829696,-0.27671859963533174,False,False,False
B136,A,H,15,C_ISDD,21,0.01276750180346864,0.15702250685385022,0.9828674190469102,-0.28147616208204806,1.2691496182414643,0.7614467203881338,0.145675317322691,0.8704819131843498,-0.28147616208204806,False,False,False
B136,A,H,15,C_ISCAGR,63,0.018167245906794083,0.17829445264090293,1.0849607305414637,-0.27671859963533196,1.3794194177078043,0.862001388162497,0.16945471291365455,0.9756115404829696,-0.27671859963533174,False,False,False
B136,A,H,20,C_ISSHARPE,63,0.0046360134424350274,0.1695140686096932,1.082336942583977,-0.2869481836289933,1.3387285180940438,0.8873528433714876,0.16487229134834314,0.9960363388880005,-0.28694818362899355,False,False,False
B136,A,H,20,C_ISDD,21,0.003247419789500161,0.16273672121545713,1.0848266176335637,-0.2569070436953068,1.304650328807595,0.9060332245349892,0.15547309710536084,0.9966114494768078,-0.2569070436953067,False,False,False
B136,A,H,20,C_ISCAGR,63,0.0035585605592283187,0.1695140686096932,1.082336942583977,-0.2869481836289933,1.3387285180940438,0.8873528433714876,0.16487229134834314,0.9960363388880005,-0.28694818362899355,False,False,False
B136,A,H,25,C_ISSHARPE,63,0.04539876127380893,0.15733676375944428,1.0516661359576087,-0.2923708565092382,1.3425866250464606,0.8267485639041183,0.14873990394829684,0.9470000173959598,-0.29237085650923833,False,False,False
B136,A,H,25,C_ISDD,21,0.000143054470407189,0.14907214694880433,1.0478361862949956,-0.24358626021339003,1.2747491357415373,0.8611599640382607,0.142359608997072,0.9656074436990946,-0.24358626021339014,False,False,False
B136,A,H,25,C_ISCAGR,63,0.008560522472429222,0.15733676375944428,1.0516661359576087,-0.2923708565092382,1.3425866250464606,0.8267485639041183,0.14873990394829684,0.9470000173959598,-0.29237085650923833,False,False,False
B136,A,H,30,C_ISSHARPE,126,0.009815418820703359,0.1601345108161336,1.0981338933042264,-0.24354358049436975,1.2732684511921244,0.9689318299894406,0.1661079493963833,1.0695530808226905,-0.24354358049436964,False,False,False
B136,A,H,30,C_ISDD,126,5.4654171189882916e-05,0.1601345108161336,1.0981338933042264,-0.24354358049436975,1.2732684511921244,0.9689318299894406,0.1661079493963833,1.0695530808226905,-0.24354358049436964,False,False,False
