panel,scheme,kind,d,mean_admitted,cells,BOTH_LEVEL,P4b_FULL,P4b_OOS,P4b_BOTH,P4a,L_H1,L_H2,L_DD,L_CAGR
U56,NONE,NONE,0.0,55.0,8,0.875,0.875,0.75,0.75,0.0,1.0,1.0,0.875,1.0
U56,SHRINK,RANDOM,0.05,39.88403776978417,40,0.7,0.7,0.725,0.7,0.05,1.0,1.0,0.75,0.95
U56,SHRINK,RANDOM,0.1,27.13794964028777,40,0.475,0.475,0.5,0.475,0.0,0.9,0.8,0.575,0.875
U56,SHRINK,RANDOM,0.2,15.321582733812951,40,0.1,0.1,0.1,0.1,0.0,0.8,0.6,0.2,0.7
U56,SHRINK,WINNERCUT,0.05,39.85287769784172,40,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.65,0.0
U56,SHRINK,WINNERCUT,0.1,27.16083633093525,40,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.5,0.0
U56,SHRINK,WINNERCUT,0.2,15.30238309352518,40,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.0,0.025
U56,SHRINK,LOSERCUT,0.05,39.94761690647482,40,0.375,0.375,0.375,0.375,0.0,1.0,1.0,0.375,1.0
U56,SHRINK,LOSERCUT,0.1,27.196987410071937,40,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
U56,SHRINK,LOSERCUT,0.2,15.437814748201438,40,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
U56,ROTATE,RANDOM,0.05,52.952023381294964,40,0.875,0.875,0.75,0.75,0.0,1.0,1.0,0.875,1.0
U56,ROTATE,RANDOM,0.1,50.18637589928058,40,0.8,0.8,0.8,0.8,0.0,1.0,1.0,0.875,0.925
U56,ROTATE,RANDOM,0.2,44.70247302158273,40,0.625,0.625,0.625,0.625,0.0,1.0,0.95,0.7,0.875
U56,ROTATE,WINNERCUT,0.05,53.378911870503586,40,0.75,0.75,0.75,0.75,0.0,1.0,1.0,0.875,0.875
U56,ROTATE,WINNERCUT,0.1,50.892805755395685,40,0.7,0.65,0.775,0.65,0.0,1.0,0.9,1.0,0.7
U56,ROTATE,WINNERCUT,0.2,45.93304856115108,40,0.4,0.375,0.375,0.375,0.0,1.0,0.75,0.95,0.45
U56,ROTATE,LOSERCUT,0.05,53.442895683453244,40,0.825,0.825,0.75,0.75,0.0,1.0,1.0,0.875,0.95
U56,ROTATE,LOSERCUT,0.1,50.85872302158273,40,0.75,0.75,0.75,0.75,0.0,1.0,1.0,0.75,1.0
U56,ROTATE,LOSERCUT,0.2,46.2419964028777,40,0.375,0.375,0.375,0.375,0.0,1.0,1.0,0.375,1.0
B136,NONE,NONE,0.0,135.0,8,0.25,0.25,0.125,0.125,0.0,1.0,1.0,0.375,0.875
B136,SHRINK,RANDOM,0.05,92.11101618705035,40,0.175,0.175,0.175,0.175,0.0,1.0,0.75,0.35,0.8
B136,SHRINK,RANDOM,0.1,63.034937050359716,40,0.1,0.1,0.1,0.1,0.0,0.95,0.275,0.25,0.625
B136,SHRINK,RANDOM,0.2,34.81533273381295,40,0.0,0.0,0.0,0.0,0.0,0.95,0.55,0.0,0.775
B136,SHRINK,WINNERCUT,0.05,91.94874100719424,40,0.2,0.0,0.075,0.0,0.0,0.85,0.0,0.7,0.5
B136,SHRINK,WINNERCUT,0.1,63.085026978417275,40,0.4,0.1,0.1,0.05,0.0,0.6,0.3,1.0,0.4
B136,SHRINK,WINNERCUT,0.2,34.663354316546766,40,0.0,0.0,0.0,0.0,0.0,0.25,0.95,0.0,0.475
B136,SHRINK,LOSERCUT,0.05,92.04905575539567,40,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.0,1.0
B136,SHRINK,LOSERCUT,0.1,62.94721223021584,40,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
B136,SHRINK,LOSERCUT,0.2,34.91996402877698,40,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
B136,ROTATE,RANDOM,0.05,129.16587230215828,40,0.225,0.225,0.1,0.1,0.0,1.0,1.0,0.4,0.825
B136,ROTATE,RANDOM,0.1,122.42090827338129,40,0.25,0.25,0.175,0.175,0.0,1.0,1.0,0.35,0.9
B136,ROTATE,RANDOM,0.2,109.65359712230216,40,0.275,0.25,0.175,0.175,0.0,1.0,0.85,0.35,0.925
B136,ROTATE,WINNERCUT,0.05,130.05,40,0.0,0.0,0.0,0.0,0.0,1.0,0.725,0.375,0.625
B136,ROTATE,WINNERCUT,0.1,124.35458633093526,40,0.0,0.0,0.0,0.0,0.0,1.0,0.6,0.375,0.5
B136,ROTATE,WINNERCUT,0.2,113.01888489208632,40,0.0,0.0,0.0,0.0,0.0,1.0,0.4,0.375,0.5
B136,ROTATE,LOSERCUT,0.05,130.13313848920865,40,0.15,0.15,0.025,0.025,0.0,1.0,0.85,0.275,0.875
B136,ROTATE,LOSERCUT,0.1,124.34842625899282,40,0.05,0.05,0.025,0.025,0.0,1.0,0.8,0.05,0.9
B136,ROTATE,LOSERCUT,0.2,112.92023381294965,40,0.0,0.0,0.0,0.0,0.0,1.0,0.6,0.0,1.0
