basis,legal,floor,n_changed,n_emptied,to_EXT,to_CORE,dSharpe,dMaxDD
S_IS4B,True,0.1,14,6,0,8,0.0958,0.0796
S_IS4B,True,0.25,14,6,0,8,0.1326,0.084
S_IS4B,True,0.4,16,6,2,5,0.1896,0.1085
S_IS4B,True,0.5,16,6,2,5,0.1896,0.1085
S_IS4B,True,0.75,17,12,1,2,0.0552,0.1039
S_IS4B,True,0.9,18,18,0,0,,
S_ISLEG4,True,0.1,2,0,0,0,0.0056,0.003
S_ISLEG4,True,0.25,2,0,0,0,0.0056,0.003
S_ISLEG4,True,0.4,2,0,0,0,0.0056,0.003
S_ISLEG4,True,0.5,4,0,0,3,0.0055,0.0146
S_ISLEG4,True,0.75,6,0,2,4,0.0003,0.0328
S_ISLEG4,True,0.9,11,9,1,0,-0.0033,0.0092
S_FULL4B,False,0.1,16,6,2,4,0.0849,0.0806
S_FULL4B,False,0.25,17,9,2,2,0.2203,0.1184
S_FULL4B,False,0.4,17,12,1,2,0.3142,0.1143
S_FULL4B,False,0.5,18,15,0,2,0.2941,0.138
S_FULL4B,False,0.75,18,15,0,2,0.2941,0.138
S_FULL4B,False,0.9,18,18,0,0,,
