panel,fold,wider,narrower,k_wider,k_narrower,MULTIPLE,INFLATION,SURVIVES,BAR_BELOW_ONE
U56,2013,N,H,6,4,1.9613907614191823,1.2310439679203555,True,False
U56,2013,N,GROSS,6,10,308.9292503500752,0.8235284751771321,True,True
U56,2013,N,CADENCE,6,2,3.478047061606369,2.2460653734250635,True,False
U56,2013,H,GROSS,4,10,157.50520315826645,0.6689675565108749,True,True
U56,2013,H,CADENCE,4,2,1.7732555541812567,1.8245208391861245,False,False
U56,2013,CADENCE,GROSS,2,10,88.82261938324473,0.36665383159409975,True,True
U56,2014,N,H,6,4,2.268957904774471,1.2310439679203555,True,False
U56,2014,N,GROSS,6,10,911.5159293513528,0.8235284751771321,True,True
U56,2014,N,CADENCE,6,2,3.4793359086595093,2.2460653734250635,True,False
U56,2014,H,GROSS,4,10,401.7332923776545,0.6689675565108749,True,True
U56,2014,H,CADENCE,4,2,1.5334510619778763,1.8245208391861245,False,False
U56,2014,CADENCE,GROSS,2,10,261.9798585939161,0.36665383159409975,True,True
U56,2015,N,H,6,4,1.9444138077789972,1.2310439679203555,True,False
U56,2015,N,GROSS,6,10,87.20582023509948,0.8235284751771321,True,True
U56,2015,N,CADENCE,6,2,2.500221301276333,2.2460653734250635,True,False
U56,2015,H,GROSS,4,10,44.84941419682169,0.6689675565108749,True,True
U56,2015,H,CADENCE,4,2,1.2858483576251734,1.8245208391861245,False,False
U56,2015,CADENCE,GROSS,2,10,34.87924056585789,0.36665383159409975,True,True
U56,2016,N,GROSS,6,10,28.91037786943444,0.8235284751771321,True,True
U56,2016,N,CADENCE,6,2,3.366644541195292,2.2460653734250635,True,False
U56,2016,H,N,4,6,1.251150052053074,0.8123186710295441,True,True
U56,2016,H,GROSS,4,10,36.17122077621694,0.6689675565108749,True,True
U56,2016,H,CADENCE,4,2,4.212177492960687,1.8245208391861245,True,False
U56,2016,CADENCE,GROSS,2,10,8.58729738636741,0.36665383159409975,True,True
U56,2017,N,H,6,4,2.8382324169759205,1.2310439679203555,True,False
U56,2017,N,GROSS,6,10,41.193217915680904,0.8235284751771321,True,True
U56,2017,N,CADENCE,6,2,2.893555394909077,2.2460653734250635,True,False
U56,2017,H,GROSS,4,10,14.513687346144629,0.6689675565108749,True,True
U56,2017,H,CADENCE,4,2,1.0194920534351806,1.8245208391861245,False,False
U56,2017,CADENCE,GROSS,2,10,14.236194678752746,0.36665383159409975,True,True
U56,2018,N,H,6,4,1.824946631134049,1.2310439679203555,True,False
U56,2018,N,GROSS,6,10,57.92837436439461,0.8235284751771321,True,True
U56,2018,N,CADENCE,6,2,16.438221203054113,2.2460653734250635,True,False
U56,2018,H,GROSS,4,10,31.742503247011147,0.6689675565108749,True,True
U56,2018,H,CADENCE,4,2,9.007507903307372,1.8245208391861245,True,False
U56,2018,CADENCE,GROSS,2,10,3.524005039768652,0.36665383159409975,True,True
U56,2019,N,GROSS,6,10,37.09405352320423,0.8235284751771321,True,True
U56,2019,N,CADENCE,6,2,3.585538608226813,2.2460653734250635,True,False
U56,2019,H,N,4,6,1.0372052983866975,0.8123186710295441,True,True
U56,2019,H,GROSS,4,10,38.47414885290718,0.6689675565108749,True,True
U56,2019,H,CADENCE,4,2,3.718939642022916,1.8245208391861245,True,False
U56,2019,CADENCE,GROSS,2,10,10.34546202852036,0.36665383159409975,True,True
U56,2020,N,H,6,4,2.366846946568683,1.2310439679203555,True,False
U56,2020,N,GROSS,6,10,71.60196560399494,0.8235284751771321,True,True
U56,2020,N,CADENCE,6,2,2.4892806198975728,2.2460653734250635,True,False
U56,2020,H,GROSS,4,10,30.252047225867013,0.6689675565108749,True,True
U56,2020,H,CADENCE,4,2,1.0517285976207236,1.8245208391861245,False,False
U56,2020,CADENCE,GROSS,2,10,28.764119654352655,0.36665383159409975,True,True
U56,2021,N,H,6,4,1.7268010264740012,1.2310439679203555,True,False
U56,2021,N,GROSS,6,10,152.87880880901773,0.8235284751771321,True,True
U56,2021,N,CADENCE,6,2,4.997258101635573,2.2460653734250635,True,False
U56,2021,H,GROSS,4,10,88.53296150812746,0.6689675565108749,True,True
U56,2021,H,CADENCE,4,2,2.893939733079497,1.8245208391861245,True,False
U56,2021,CADENCE,GROSS,2,10,30.592538087832885,0.36665383159409975,True,True
U56,2022,N,H,6,4,3.7672314935629267,1.2310439679203555,True,False
U56,2022,N,GROSS,6,10,178.79160436076023,0.8235284751771321,True,True
U56,2022,N,CADENCE,6,2,14.968838613801514,2.2460653734250635,True,False
U56,2022,H,GROSS,4,10,47.45968084686637,0.6689675565108749,True,True
U56,2022,H,CADENCE,4,2,3.9734321183550274,1.8245208391861245,True,False
U56,2022,CADENCE,GROSS,2,10,11.944253590650076,0.36665383159409975,True,True
U56,2023,N,H,6,4,2.2643356208894545,1.2310439679203555,True,False
U56,2023,N,GROSS,6,10,106.30850956252941,0.8235284751771321,True,True
U56,2023,N,CADENCE,6,2,4.2292355689600045,2.2460653734250635,True,False
U56,2023,H,GROSS,4,10,46.9490956118821,0.6689675565108749,True,True
U56,2023,H,CADENCE,4,2,1.867760030776143,1.8245208391861245,True,False
U56,2023,CADENCE,GROSS,2,10,25.13657795341756,0.36665383159409975,True,True
U56,2024,N,H,6,4,3.7681041648698335,1.2310439679203555,True,False
U56,2024,N,GROSS,6,10,128.42817887014274,0.8235284751771321,True,True
U56,2024,N,CADENCE,6,2,3.138625027730626,2.2460653734250635,True,False
U56,2024,H,GROSS,4,10,34.08296937953126,0.6689675565108749,True,True
U56,2024,CADENCE,H,2,4,1.2005588853646372,0.5480891083963044,True,True
U56,2024,CADENCE,GROSS,2,10,40.9186117282071,0.36665383159409975,True,True
U56,2025,N,H,6,4,1.1207504205490344,1.2310439679203555,False,False
U56,2025,N,GROSS,6,10,81.78407894073328,0.8235284751771321,True,True
U56,2025,N,CADENCE,6,2,1.4938630227842815,2.2460653734250635,False,False
