panel,signal,fill,best_dur,dur_MaxDD,spy_MaxDD,dur_CAGR,spy_CAGR,dur_Sharpe,spy_Sharpe,dur_beats_spy_DD
U56,COMPOSITE3,0.25,IEF,-0.18928015360791672,-0.20881947763165631,0.15940184413217318,0.16761882871339195,1.1676207365278124,1.1434215243806574,True
U56,COMPOSITE3,0.5,IEF,-0.18751475930870665,-0.2282354354853091,0.1609729420254904,0.177375704324922,1.1820590755734328,1.134298139622903,True
U56,COMPOSITE3,0.75,IEF,-0.18638480762953846,-0.24829094840044796,0.1625276686697923,0.18708080146891493,1.1954457605275146,1.1251589342978887,True
U56,COMPOSITE3,1.0,IEF,-0.18532599076534673,-0.2679735629859298,0.1640659197193841,0.19672883281874487,1.207719603225667,1.1161978200845946,True
U56,M12_1,0.25,TLT,-0.20306088275654655,-0.21855017318890002,0.16953453077183211,0.17775217191627424,1.2167283025824218,1.1824579550593355,True
U56,M12_1,0.5,TLT,-0.20031035119784035,-0.23878224407221738,0.17108808245274298,0.18756152052284114,1.2340303980345062,1.170851773817876,True
U56,M12_1,0.75,TLT,-0.19854074375132813,-0.2586392627817008,0.1725541039869931,0.19731779997704146,1.2455220914740683,1.1595373838778407,True
U56,M12_1,1.0,IEF,-0.1988385605929286,-0.278126783642655,0.17419211371857113,0.20701580014566612,1.2493663184956945,1.1486537321004875,True
B135,COMPOSITE3,0.25,TLT,-0.20047166537762262,-0.2277949235953114,0.16346500085556004,0.17164015355947737,1.0920997930740648,1.0717445531165302,True
B135,COMPOSITE3,0.5,TLT,-0.19354342301655492,-0.2478108664909877,0.16499508643900263,0.18138257989769602,1.1087999260099146,1.0704682757741986,True
B135,COMPOSITE3,0.75,TLT,-0.19115869051221202,-0.26745620717557794,0.16643809126832965,0.19107133381427732,1.1212283064597448,1.06815648839329,True
B135,COMPOSITE3,1.0,IEF,-0.19480804352217218,-0.2867350936695957,0.16814454352797115,0.20070197558671876,1.1241503422752241,1.0651355661322177,True
B135,M12_1,0.25,TLT,-0.21253025349360288,-0.2375865601400634,0.16224474890095908,0.17039597581264898,1.0598656068210504,1.0431986422390698,True
B135,M12_1,0.5,TLT,-0.20979124684495953,-0.25748001908507323,0.16376079769812324,0.18009995017754887,1.0748812811198496,1.0435969491871215,True
B135,M12_1,0.75,TLT,-0.20705364879692056,-0.2770020259247151,0.16519013907834013,0.18974991365065108,1.085943926497217,1.0428588246823316,True
B135,M12_1,1.0,TLT,-0.20431739671349136,-0.29615963264481204,0.1665322780463614,0.19934120594781124,1.0928465548736968,1.0413023585112853,True
SMALL663,COMPOSITE3,0.25,IEF,-0.35668363191401786,-0.3720717532444435,0.08029495550282073,0.08696094679442634,0.5165073704783161,0.5334169109226221,True
SMALL663,COMPOSITE3,0.5,IEF,-0.35523096336337556,-0.38581207399907,0.08183175495389206,0.09512502205086415,0.5255402891003803,0.556756472307656,True
SMALL663,COMPOSITE3,0.75,IEF,-0.3537826113850695,-0.399361805501251,0.08335445776351191,0.10323334283139829,0.5343787775046793,0.5776484849950777,True
SMALL663,COMPOSITE3,1.0,IEF,-0.35233853192152886,-0.41272149732072927,0.08486289160150662,0.11128298405689252,0.5430046481320436,0.5963884104446917,True
SMALL663,M12_1,0.25,IEF,-0.3500821464634404,-0.3657845356114303,0.08405397215735055,0.0907044780714581,0.5268410326162343,0.542950050443892,True
SMALL663,M12_1,0.5,IEF,-0.3492720523337479,-0.3804380948746492,0.08561388274904513,0.0988758271498138,0.5358322892077041,0.5655726997406492,True
SMALL663,M12_1,0.75,IEF,-0.34846784999065883,-0.3948609632057888,0.08715973790779419,0.10699085333350844,0.5446406899771508,0.5858585415903436,True
SMALL663,M12_1,1.0,IEF,-0.3476695603109251,-0.40905494953150456,0.08869139902563505,0.11504636085764597,0.5532489572667847,0.6040820573516885,True
