phi,p4b_total,p4b_published,p4b_hidden,p4a_v2_published,p4a_v2_hidden
0.0,50,50,0,0,0
0.05,50,50,0,0,0
0.1,50,50,0,0,0
0.25,50,50,0,0,0
0.5,50,50,0,0,0
