episode,a_H1,a_H2,a_DD,b_H1,b_H2,b_OOS,b_DD,b_CAGR
NONE,15,18,15,6,10,9,8,9
drop2020,16,17,15,6,11,11,14,10
drop2022,16,18,15,6,12,12,7,12
dropBOTH,16,15,15,6,13,13,13,12
