book,CAGR,Sharpe,MaxDD,Vol,H1,H2,IS_CAGR,IS_Sharpe,IS_MaxDD,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,OOS_H1,OOS_H2,Ebar,turnover_yr,panel,target,lookback,sbar,s_at_cap,s_min,a_h1,a_h2,a_dd,pass4a,b_h1,b_h2,b_oos,b_dd,b_cagr,pass4b,o_h1,o_h2,o_sharpe,o_dd,o_cagr,pass4b_oos
vt t=0.05 L=21,0.061242081603662735,1.1104687378964726,-0.07190405811492961,0.054891766360346206,1.1426916173136172,1.078759472203367,0.05244794943149378,0.9678665402646102,-0.06176060346456258,0.06854568577916642,1.2258252197915378,-0.07190405811492961,1.4225749901401592,1.0140654769594473,0.44612859829846435,3.6367837664955793,U56,0.05,21,0.6477982747141567,0.1371004052228726,0.18860223008730698,False,False,True,False,True,True,True,True,False,False,True,True,True,True,False,False
vt t=0.05 L=42,0.0646732734687765,1.1886264485184694,-0.07625142708171884,0.053955766166039996,1.2279821057349702,1.150141222473451,0.05663563915488301,1.0567295876311662,-0.055094499131902674,0.07134407740220627,1.2955350240271728,-0.07625142708171873,1.4484623999170272,1.1287340863374806,0.4316765849107035,2.4680596556120964,U56,0.05,42,0.6245600319548227,0.08869878433138226,0.2374195969323044,False,False,True,False,True,True,True,True,False,False,True,True,True,True,False,False
vt t=0.05 L=63,0.062432819451972765,1.154517605285367,-0.08608335288900126,0.05371347929993307,1.2197441036752943,1.0914334079737853,0.05586943004470779,1.0505429180285342,-0.05802831152617982,0.0678732227613692,1.2383595570855577,-0.08608335288900104,1.3690820479001704,1.0952154205634477,0.42470885425750526,2.075956088205958,U56,0.05,63,0.6120598848943044,0.06663665015758667,0.2767032763117387,False,False,True,False,True,True,True,True,False,False,True,True,True,True,False,False
vt t=0.05 L=126,0.06024748582529682,1.1150230281313331,-0.09649011191812029,0.053771925965745905,1.2631366666085961,0.97270158817744,0.05912062553246811,1.106961193903433,-0.05380051688538534,0.06117717915361642,1.1214128835827544,-0.09649011191811996,1.1776461679499908,1.0618348190448732,0.4116574959613895,1.6594120736108329,U56,0.05,126,0.5884891662146771,0.02814047726249437,0.3270736615970908,True,False,True,False,True,True,True,True,False,False,True,True,True,True,False,False
vt t=0.05 L=252,0.06398520573222477,1.183335459766472,-0.09430841727452288,0.053635970798385516,1.2735707354543158,1.0965652066512108,0.0602574593719718,1.1203896700455982,-0.056696450622362726,0.06706757725763102,1.2347619186832552,-0.09430841727452244,1.324180855844221,1.1397911505491503,0.4067249465306136,1.4414874430205733,U56,0.05,252,0.5739634801751682,0.0,0.3476369889042844,True,False,True,False,True,True,True,True,False,False,True,True,True,True,False,False
vt t=0.06 L=21,0.07162057437292879,1.1183490098992177,-0.07974170788278323,0.06367617429071616,1.1372803886616853,1.1001205998728816,0.06066232866900645,0.9688542331550679,-0.07274468585705374,0.08073775201524258,1.2386305294499982,-0.07974170788278301,1.4163732379300042,1.0485319081333622,0.5150574367473923,3.7672066732935106,U56,0.06,21,0.7408756900599225,0.2440342188203512,0.22632267610476833,False,False,True,False,True,True,True,True,False,False,True,True,True,True,False,False
vt t=0.06 L=42,0.07505325240060112,1.1761154369361622,-0.09116425711868148,0.06324532136634399,1.2230400208320655,1.1304856058275052,0.06617868434549079,1.0536581255430206,-0.06698818134984386,0.08242344487619158,1.2753282574308287,-0.09116425711868115,1.418731084951537,1.1200949575629737,0.5038299319653261,2.6712957888374165,U56,0.06,42,0.722520604134451,0.18370103556956327,0.28490351631876526,False,False,True,False,True,True,True,True,False,False,True,True,True,True,False,False
vt t=0.06 L=63,0.07383912178033247,1.1606527808361624,-0.10286483492419429,0.06310646329937349,1.2251242429268243,1.0979729462785366,0.06585208947663568,1.0513620690263605,-0.06912990108306916,0.08046724933624527,1.2491142695183697,-0.10286483492419407,1.3893349819568075,1.0961401012293304,0.499100298755847,2.285248062638211,U56,0.06,63,0.7141637229773307,0.14227825303917155,0.3320439315740864,False,False,True,False,True,True,True,True,False,False,True,True,True,True,False,False
vt t=0.06 L=126,0.07243567907503201,1.128055343956285,-0.1152332054029721,0.06381034214367844,1.27509602501467,0.9872049818119969,0.070734206630235,1.1171281754740159,-0.06438541452613489,0.07384011615076402,1.1367683068702175,-0.11523320540297233,1.187381665264028,1.0835684122679499,0.4900072966565456,1.9243218379025144,U56,0.06,126,0.6957589887762673,0.06461053579468708,0.3924883939165089,True,False,True,False,True,True,True,True,False,False,True,True,True,True,False,False
vt t=0.06 L=252,0.0757009687328214,1.1828198578072766,-0.11263864217708786,0.06340475228835928,1.2724614640876961,1.0999824638787805,0.06956380170574183,1.1133872840813877,-0.06797653010879123,0.08078587136488569,1.2381492944072485,-0.11263864217708786,1.3227775247149083,1.14818875472828,0.48428090799105,1.7006395481097303,U56,0.06,252,0.68194316638925,0.009004952723998198,0.4171643866851412,True,False,True,False,True,True,True,True,False,False,True,True,True,True,False,False
