level,n,D1,D4,BOTH,gap_pp,gap_rows,share_of_gap,share_of_members,lift,factor
broad,237,0.12236286919831224,0.5949367088607594,0.12236286919831224,47.25738396624472,112,0.45161290322580644,0.4463276836158192,1.0118415679869335,panel
u56,294,0.12244897959183673,0.5850340136054422,0.12244897959183673,46.25850340136054,136,0.5483870967741935,0.5536723163841808,0.9904542462146148,panel
SLV50,157,0.03821656050955414,0.5987261146496815,0.03821656050955414,56.05095541401274,88,0.3548387096774194,0.295668549905838,1.2001232792274503,book
TOP20,35,0.11428571428571428,0.5714285714285714,0.11428571428571428,45.714285714285715,16,0.06451612903225806,0.06591337099811675,0.9788018433179724,book
EWall,96,0.11458333333333333,0.5625,0.11458333333333333,44.79166666666667,43,0.17338709677419356,0.1807909604519774,0.9590473790322581,book
SLV25,168,0.17261904761904762,0.5952380952380952,0.17261904761904762,42.26190476190476,71,0.2862903225806452,0.3163841807909605,0.9048819124423964,book
TOP40,64,0.234375,0.65625,0.234375,42.1875,27,0.10887096774193548,0.12052730696798493,0.903288810483871,book
TOP10,11,0.0,0.2727272727272727,0.0,27.27272727272727,3,0.012096774193548387,0.02071563088512241,0.5839442815249266,book
gate,323,0.17956656346749225,0.7894736842105263,0.17956656346749225,60.99071207430341,197,0.7943548387096774,0.608286252354049,1.3058898432038348,kind
bud,57,0.03508771929824561,0.5087719298245614,0.03508771929824561,47.36842105263158,27,0.10887096774193548,0.10734463276836158,1.0142190152801358,kind
dd,63,0.07936507936507936,0.4603174603174603,0.07936507936507936,38.095238095238095,24,0.0967741935483871,0.11864406779661017,0.8156682027649769,kind
ctl,29,0.0,0.0,0.0,0.0,0,0.0,0.054613935969868174,0.0,kind
stop,59,0.0,0.0,0.0,0.0,0,0.0,0.1111111111111111,0.0,kind
10.0,286,0.16433566433566432,0.6713286713286714,0.16433566433566432,50.69930069930071,145,0.5846774193548387,0.5386064030131826,1.0855374464245433,cost
25.0,245,0.07346938775510205,0.49387755102040815,0.07346938775510205,42.04081632653061,103,0.4153225806451613,0.4613935969868173,0.9001481237656354,cost
native,139,0.11510791366906475,0.6546762589928058,0.11510791366906475,53.956834532374096,75,0.3024193548387097,0.2617702448210923,1.1552854490601068,gross_mode
m75,114,0.10526315789473684,0.5964912280701754,0.10526315789473684,49.122807017543856,56,0.22580645161290322,0.21468926553672316,1.0517826825127334,gross_mode
m53,278,0.13309352517985612,0.5539568345323741,0.13309352517985612,42.086330935251794,117,0.4717741935483871,0.5235404896421846,0.9011226502668833,gross_mode
