panel,cadence,chooser,book,gross,IS_legs,IS_pass4b,CAGR,Sharpe,MaxDD,H1,H2,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,OOS_4b,OOS_4a,fail_legs,spy_OOS_CAGR,spy_OOS_Sharpe,spy_OOS_MaxDD,v2_Sharpe,v2_MaxDD
U56,D,C_IS4B,BAND03,EXT,4,False,0.1119641775824034,1.1897339006577492,-0.14765297031002367,1.1991681074307976,1.1836863530453239,0.12450934699106453,1.2870779875554383,-0.14765297031002378,True,False,-,0.15210156343930548,0.8713084695230762,-0.3371725677562022,1.2008675709231258,-0.12054949323437114
U56,D,C_ISSHARPE,BAND03,EXT,4,False,0.1119641775824034,1.1897339006577492,-0.14765297031002367,1.1991681074307976,1.1836863530453239,0.12450934699106453,1.2870779875554383,-0.14765297031002378,True,False,-,0.15210156343930548,0.8713084695230762,-0.3371725677562022,1.2008675709231258,-0.12054949323437114
U56,D,C_ISCAGR,TOP05,EXT,2,False,0.18376865654173402,0.842608796452535,-0.28256071197844657,0.8338155699210346,0.8547762850505949,0.20123686555105413,0.8710525393416507,-0.2825607119784478,False,False,"L1_H1,L3_OOS,L4_DD",0.15210156343930548,0.8713084695230762,-0.3371725677562022,1.2008675709231258,-0.12054949323437114
U56,W,C_IS4B,BAND03,EXT,4,False,0.1153026775142354,1.2006926629715056,-0.1591099751297821,1.233007285685984,1.1754772685169144,0.1266852163572325,1.2757903286013161,-0.15910997512978242,True,False,-,0.15210156343930548,0.8713084695230762,-0.3371725677562022,1.2008675709231258,-0.12054949323437114
U56,W,C_ISSHARPE,BAND03,EXT,4,False,0.1153026775142354,1.2006926629715056,-0.1591099751297821,1.233007285685984,1.1754772685169144,0.1266852163572325,1.2757903286013161,-0.15910997512978242,True,False,-,0.15210156343930548,0.8713084695230762,-0.3371725677562022,1.2008675709231258,-0.12054949323437114
U56,W,C_ISCAGR,TOP05,EXT,2,False,0.21888696666384577,0.9554279175406963,-0.2797834791980003,0.9042905082387476,1.0048576951601396,0.24537132633670033,1.001228139504517,-0.2797834791980012,False,False,"L1_H1,L4_DD",0.15210156343930548,0.8713084695230762,-0.3371725677562022,1.2008675709231258,-0.12054949323437114
U56,M,C_IS4B,TOP10,CORE,5,True,0.16731565106538437,1.1263154694923254,-0.2321515892447944,1.2166817432304564,1.059429909858486,0.17309225688498553,1.1008702570185247,-0.23215158924479462,False,False,L4_DD,0.15210156343930548,0.8713084695230762,-0.3371725677562022,1.2008675709231258,-0.12054949323437114
U56,M,C_ISSHARPE,TOP05,EXT,4,False,0.24768046290471402,1.0131785855767808,-0.34606700062524387,1.2614854943992686,0.8198790385340495,0.2045409844219146,0.8312069606126392,-0.34606700062524387,False,False,"L2_H2,L3_OOS,L4_DD",0.15210156343930548,0.8713084695230762,-0.3371725677562022,1.2008675709231258,-0.12054949323437114
U56,M,C_ISCAGR,TOP05,EXT,4,False,0.24768046290471402,1.0131785855767808,-0.34606700062524387,1.2614854943992686,0.8198790385340495,0.2045409844219146,0.8312069606126392,-0.34606700062524387,False,False,"L2_H2,L3_OOS,L4_DD",0.15210156343930548,0.8713084695230762,-0.3371725677562022,1.2008675709231258,-0.12054949323437114
U56,Q,C_IS4B,EWELIG,CORE,5,True,0.11552919982149779,1.075076621870595,-0.2220595606403195,1.2280142683217072,0.9517901628377754,0.1151706555831351,1.032801696452597,-0.2220595606403195,False,False,L4_DD,0.15210156343930548,0.8713084695230762,-0.3371725677562022,1.2008675709231258,-0.12054949323437114
U56,Q,C_ISSHARPE,TOP05,EXT,4,False,0.2039066640063043,0.854552873227956,-0.38478757259184615,1.2960631620913203,0.4978284983953678,0.11806444743968791,0.5453874629409337,-0.38478757259184626,False,False,"L2_H2,L3_OOS,L4_DD",0.15210156343930548,0.8713084695230762,-0.3371725677562022,1.2008675709231258,-0.12054949323437114
U56,Q,C_ISCAGR,TOP05,EXT,4,False,0.2039066640063043,0.854552873227956,-0.38478757259184615,1.2960631620913203,0.4978284983953678,0.11806444743968791,0.5453874629409337,-0.38478757259184626,False,False,"L2_H2,L3_OOS,L4_DD",0.15210156343930548,0.8713084695230762,-0.3371725677562022,1.2008675709231258,-0.12054949323437114
B136,D,C_IS4B,BAND03,EXT,4,False,0.10433614035061223,1.0983200897011896,-0.14721667648478265,1.2057327554970843,0.9906295330522379,0.10506829540942109,1.1331464338458126,-0.14721667648478254,False,False,L5_CAGR,0.15331427255204866,0.8769078511614361,-0.3371595330739301,1.0993768630350007,-0.12240985403190008
B136,D,C_ISSHARPE,BAND03,EXT,4,False,0.10433614035061223,1.0983200897011896,-0.14721667648478265,1.2057327554970843,0.9906295330522379,0.10506829540942109,1.1331464338458126,-0.14721667648478254,False,False,L5_CAGR,0.15331427255204866,0.8769078511614361,-0.3371595330739301,1.0993768630350007,-0.12240985403190008
B136,D,C_ISCAGR,TOP20,EXT,1,False,0.12820643916269647,0.7572539776687649,-0.2554435128369219,0.9513520250536412,0.5827024073175745,0.11437455859719936,0.6767623009524348,-0.2554435128369221,False,False,"L1_H1,L2_H2,L3_OOS,L4_DD",0.15331427255204866,0.8769078511614361,-0.3371595330739301,1.0993768630350007,-0.12240985403190008
B136,W,C_IS4B,BAND03,EXT,5,True,0.10652976854836904,1.0992831039585964,-0.16157983013208965,1.2361554045148244,0.9649683988586512,0.1052418687479828,1.1050297780592215,-0.16157983013208965,False,False,L5_CAGR,0.15331427255204866,0.8769078511614361,-0.3371595330739301,1.0993768630350007,-0.12240985403190008
B136,W,C_ISSHARPE,BAND03,EXT,5,True,0.10652976854836904,1.0992831039585964,-0.16157983013208965,1.2361554045148244,0.9649683988586512,0.1052418687479828,1.1050297780592215,-0.16157983013208965,False,False,L5_CAGR,0.15331427255204866,0.8769078511614361,-0.3371595330739301,1.0993768630350007,-0.12240985403190008
B136,W,C_ISCAGR,TOP05,EXT,4,False,0.21623843257057884,0.8772173974899538,-0.3010259159920581,1.041425188535463,0.7475610497746679,0.20173547230438293,0.7964859930453104,-0.3010259159920581,False,False,"L2_H2,L3_OOS,L4_DD",0.15331427255204866,0.8769078511614361,-0.3371595330739301,1.0993768630350007,-0.12240985403190008
B136,M,C_IS4B,TOP20,CORE,5,True,0.1621715423361758,1.0943470913211977,-0.2610525610883291,1.3329997625185506,0.9069393888851682,0.15548074428192016,1.000411926222563,-0.2610525610883291,False,False,L4_DD,0.15331427255204866,0.8769078511614361,-0.3371595330739301,1.0993768630350007,-0.12240985403190008
B136,M,C_ISSHARPE,TOP20,EXT,4,False,0.21790885109126057,1.098868309749659,-0.33675172386421537,1.3379769460189916,0.9122633916978986,0.20808598369273268,1.0051190817446478,-0.33675172386421537,False,False,L4_DD,0.15331427255204866,0.8769078511614361,-0.3371595330739301,1.0993768630350007,-0.12240985403190008
B136,M,C_ISCAGR,TOP05,EXT,3,False,0.32795217410775557,1.1621359756332963,-0.3969539109926936,1.2335656471809682,1.119520330993135,0.3516680118950768,1.1522413137330996,-0.3969539109926935,False,False,L4_DD,0.15331427255204866,0.8769078511614361,-0.3371595330739301,1.0993768630350007,-0.12240985403190008
B136,Q,C_IS4B,EWELIG,CORE,5,True,0.11391287714896614,1.0324715311001078,-0.24436024823827196,1.2307224778190744,0.8664691887990602,0.10969651952700232,0.9694689654665202,-0.24436024823827207,False,False,L4_DD,0.15331427255204866,0.8769078511614361,-0.3371595330739301,1.0993768630350007,-0.12240985403190008
