panel,gate,value,expect,ok
U56,G1_D_MaxDD_monotone_deeper_in_gross,-0.006556348581978844,<=0,True
U56,G2_D_Sharpe_range_over_the_whole_ladder,0.0018782977557243452,report,True
U56,G1_W_MaxDD_monotone_deeper_in_gross,-0.007322302578195439,<=0,True
U56,G2_W_Sharpe_range_over_the_whole_ladder,0.0010458413700669134,report,True
U56,G1_M_MaxDD_monotone_deeper_in_gross,-0.00804149846627622,<=0,True
U56,G2_M_Sharpe_range_over_the_whole_ladder,0.007204211441185215,report,True
U56,G3_W_g0.75_reproduces_live_RULESv2,0.0,~0,True
B136,G1_D_MaxDD_monotone_deeper_in_gross,-0.006537608172897835,<=0,True
B136,G2_D_Sharpe_range_over_the_whole_ladder,0.0021190667127981566,report,True
B136,G1_W_MaxDD_monotone_deeper_in_gross,-0.0074405286127863235,<=0,True
B136,G2_W_Sharpe_range_over_the_whole_ladder,0.0007464212927503766,report,True
B136,G1_M_MaxDD_monotone_deeper_in_gross,-0.0087165825685952,<=0,True
B136,G2_M_Sharpe_range_over_the_whole_ladder,0.007970682569792942,report,True
B136,G3_W_g0.75_reproduces_live_RULESv2,0.0,~0,True
SMALL,G0_small_blowups_dropped,54.0,54,True
SMALL,G1_D_MaxDD_monotone_deeper_in_gross,-0.007348630640866993,<=0,True
SMALL,G2_D_Sharpe_range_over_the_whole_ladder,0.001436335644682707,report,True
SMALL,G1_W_MaxDD_monotone_deeper_in_gross,-0.007933734993687658,<=0,True
SMALL,G2_W_Sharpe_range_over_the_whole_ladder,0.0009220179197925171,report,True
SMALL,G1_M_MaxDD_monotone_deeper_in_gross,-0.009330300807350533,<=0,True
SMALL,G2_M_Sharpe_range_over_the_whole_ladder,0.009680008989667144,report,True
SMALL,G3_W_g0.75_reproduces_live_RULESv2,0.0,~0,True
