panel,carrier,rho_is_oos
U56,skew,0.7437704597390958
U56,kurt,0.128254563282443
U56,w5,0.9613545224630863
U56,gate_share,-0.2372299839640461
U56,mean_gross,0.9998590598601546
U56,n_held,0.9994244919209402
U56,eff_breadth,0.9994248185998709
B136,skew,0.7230344153123349
B136,kurt,0.03497201978832575
B136,w5,0.9199359693848623
B136,gate_share,-0.2224254644069719
B136,mean_gross,0.9998528310858444
B136,n_held,0.9999956649908909
B136,eff_breadth,0.9999957664189983
SMALL,skew,0.5648474237186519
SMALL,kurt,0.31155494528205385
SMALL,w5,0.8702292153905878
SMALL,gate_share,0.41402449554753307
SMALL,mean_gross,0.9999164327235316
SMALL,n_held,0.9999132676806983
SMALL,eff_breadth,0.9999129776421083
