panel,mech,freq,hold,rule,tax_hard_pp,tax_soft_pp,tax_recovered,rebate_kept,CAGR_soft,CAGR_hard,CAGR_H0,Sharpe_soft,Sharpe_hard,Sharpe_H0,MaxDD_soft,MaxDD_hard,MaxDD_H0,turn_soft,turn_hard,turn_H0,pass4b_soft,pass4b_hard,pass4a_soft
U56,CAND20,D,5,R_GATE,-1.1763380517961775,0.4109287253611149,1.3493287705295756,0.7617716128865589,0.1215104557105644,0.12894678380602342,0.1130695366733796,1.0342275452998122,1.0667345895665878,0.9702146811938596,-0.1874814501219182,-0.17160878235034527,-0.18337216286830704,17.70375898530802,15.166940097620998,25.815624406091022,True,True,False
U56,CAND20,W,5,R_GATE,0.17412933583523804,0.17412933583521584,1.2756462552943049e-13,0.8073557906960912,0.12963689378806476,0.13108216647617232,0.1272724603341857,1.0779351058446758,1.0863036293633248,1.0606524904455705,-0.18482481238038828,-0.1848248123803885,-0.18308351902203612,10.033565873257233,9.852592281960149,10.792011078668367,True,True,False
U56,CAND20,M,5,R_GATE,0.0,0.0,,,0.152627171790098,0.152627171790098,0.152627171790098,1.2121060493482891,1.2121060493482891,1.2121060493482891,-0.1950686665734842,-0.1950686665734842,-0.1950686665734842,4.771229027457567,4.771229027457567,4.771229027457567,True,True,False
U56,CAND20,Q,5,R_GATE,0.0,0.0,,,0.14296023614426545,0.14296023614426545,0.14296023614426545,1.0543557918897755,1.0543557918897755,1.0543557918897755,-0.2712234865349642,-0.2712234865349642,-0.2712234865349642,2.7021204302825117,2.7021204302825117,2.7021204302825117,False,False,False
U56,R3_84,D,5,R_GATE,-0.13964888009319054,-0.19234926689458698,-0.37737779756077106,0.7171507363830754,0.12212247836557122,0.13186744322544652,0.11276377450129704,1.0373564052918156,1.086217493163141,0.9647459283009512,-0.19023249298637213,-0.1907594968543861,-0.192155985655318,17.52037612665298,14.693154907790843,24.688659872906005,True,True,False
U56,R3_84,W,5,R_GATE,0.023863738450902172,0.023863738450913274,-4.651834473179406e-13,0.7454934842259577,0.1280692070196061,0.1298452458686199,0.12881974659888407,1.0636057373919563,1.074173782336923,1.0690360993862291,-0.19037867601831393,-0.19037867601831382,-0.1901400386338048,9.635168244545834,9.442079760545004,10.200757719785384,True,True,False
U56,R3_84,M,5,R_GATE,0.0,0.0,,,0.15062129210649466,0.15062129210649466,0.15062129210649466,1.1960530533355502,1.1960530533355502,1.1960530533355502,-0.19672577084410736,-0.19672577084410736,-0.19672577084410736,4.589530608781145,4.589530608781145,4.589530608781145,True,True,False
U56,R3_84,Q,5,R_GATE,0.0,0.0,,,0.14379136439485185,0.14379136439485185,0.14379136439485185,1.0590851353293107,1.0590851353293107,1.0590851353293107,-0.2803719054663285,-0.2803719054663285,-0.2803719054663285,2.6838729810884145,2.6838729810884145,2.6838729810884145,False,False,False
U56,MOMONLY,D,5,R_GATE,-1.8621969048686404,-0.23121594972181914,0.8758370024580568,0.5421709445001085,0.11808160142095403,0.12703030992270747,0.11012485585409038,1.0103080407183451,1.0458949458229845,0.9440116503306321,-0.18545049046854167,-0.16914068091707346,-0.18776264996575986,19.276452104082733,14.781353972132813,24.59964330512816,True,True,False
U56,MOMONLY,W,5,R_GATE,-1.1102230246251565e-14,0.0,,0.6630883732482316,0.12106281652813888,0.12363400244033262,0.12218637907486674,1.0159929127412761,1.0329476181816326,1.0238597222124468,-0.18766716005880546,-0.18766716005880535,-0.18766716005880546,9.855602066040856,9.576298763156895,10.40530934250905,True,True,False
U56,MOMONLY,M,5,R_GATE,0.0,0.0,,,0.14232035626329376,0.14232035626329376,0.14232035626329376,1.1415291566072223,1.1415291566072223,1.1415291566072223,-0.197655350298788,-0.197655350298788,-0.197655350298788,4.449012367714048,4.449012367714048,4.449012367714048,True,True,False
U56,MOMONLY,Q,5,R_GATE,0.0,0.0,,,0.12934073852101236,0.12934073852101236,0.12934073852101236,0.9803441474794823,0.9803441474794823,0.9803441474794823,-0.2534462567990923,-0.2534462567990923,-0.2534462567990923,2.3477746142791722,2.3477746142791722,2.3477746142791722,False,False,False
B136,CAND20,D,5,R_GATE,-2.343240877294439,-0.8059702198684793,0.6560446569201748,0.9299917260779169,0.12626084132654425,0.12918433387862427,0.09937084554359554,0.9308093754040573,0.9323780748993893,0.7580311530806473,-0.21517181165003663,-0.19979910507577703,-0.22323151384872142,20.495302272217522,19.56296908766444,32.88044047098603,False,False,False
B136,CAND20,W,5,R_GATE,-0.21560195873813193,-0.21560195873813193,0.0,0.9513156825962114,0.13465766366493237,0.13361450922978557,0.12935240946833715,0.972439798205909,0.9646169266303473,0.9398556175281811,-0.1983679143730679,-0.1983679143730679,-0.2005239339604492,12.875150240694406,12.81148924093792,14.119117716623027,False,False,False
B136,CAND20,M,5,R_GATE,0.0,0.0,,,0.16636544185546076,0.16636544185546076,0.16636544185546076,1.111419512800059,1.111419512800059,1.111419512800059,-0.2610525610883293,-0.2610525610883293,-0.2610525610883293,6.479493694172848,6.479493694172848,6.479493694172848,False,False,False
B136,CAND20,Q,5,R_GATE,0.0,0.0,,,0.14017419819061105,0.14017419819061105,0.14017419819061105,0.9257056101091898,0.9257056101091898,0.9257056101091898,-0.27066003473973976,-0.27066003473973976,-0.27066003473973976,3.6179317982559622,3.6179317982559622,3.6179317982559622,False,False,False
B136,R3_84,D,5,R_GATE,-0.9888239133151844,-0.34941496387292936,0.6466358072778986,0.917273849000919,0.1341396382053417,0.13931901891912046,0.11334882543335101,0.9713405265963547,0.9879489795102112,0.8434431518827351,-0.21883187591514375,-0.2124377864207212,-0.22232602555387304,18.937117530638687,17.940200157371073,29.991013125554357,False,False,False
B136,R3_84,W,5,R_GATE,-0.1252164206108075,-0.1252164206108075,0.0,0.93833484768178,0.14066804004789324,0.13978611965190124,0.13905799476326908,1.0032264426173323,0.9969495701192981,0.9921253692706656,-0.20956674593247693,-0.20956674593247693,-0.210818910138585,11.721216257857773,11.65776457512361,12.686736050077954,False,False,False
B136,R3_84,M,5,R_GATE,0.0,0.0,,,0.16721149842876248,0.16721149842876248,0.16721149842876248,1.1113378540713412,1.1113378540713412,1.1113378540713412,-0.2682657790690216,-0.2682657790690216,-0.2682657790690216,5.969106943491462,5.969106943491462,5.969106943491462,False,False,False
