arm,n,rows_differ,max_ad,mean_ad,stateful
abs12-dg,42,23,0.19999999999999998,0.04404761904761905,False
abs12-rw,42,29,0.35000000000000003,0.06904761904761905,False
band3-dg,42,17,0.25,0.03988095238095238,False
band3-rw,42,19,0.22499999999999998,0.04107142857142857,False
ddctl-8/.5/high,42,0,0.0,0.0,True
ddctl-8/.5/recover,42,1,0.050000000000000044,0.0011904761904761915,True
ebud-0.10,42,24,0.575,0.08452380952380951,True
ebud-0.20,42,33,0.5,0.13452380952380952,True
g200-dg,42,17,0.25,0.04821428571428571,False
g200-rw,42,19,0.22500000000000003,0.04047619047619048,False
stop15,42,20,0.22500000000000003,0.030357142857142853,True
stop25,42,10,0.25,0.019047619047619046,True
v1gate-dg,42,11,0.20000000000000007,0.014880952380952378,False
v1gate-rw,42,10,0.17499999999999993,0.01607142857142857,False
vol60-dg,42,11,0.125,0.016071428571428573,False
vol60-rw,42,11,0.25,0.0244047619047619,False
