n,U56,ETF36,ETF24,STK20,B136,BSTK100,SMALL
2,0.04205128205128205,0.043076923076923075,0.09128205128205129,0.06769230769230769,0.04205128205128205,0.052307692307692305,0.05057471264367816
3,0.04205128205128205,0.046153846153846156,0.1158974358974359,0.0758974358974359,0.04205128205128205,0.057435897435897436,0.05172413793103448
4,0.043076923076923075,0.048205128205128206,0.1282051282051282,0.09128205128205129,0.043076923076923075,0.06051282051282051,0.05172413793103448
5,0.05333333333333334,0.06256410256410257,0.14974358974358976,0.09641025641025641,0.0441025641025641,0.06461538461538462,0.05172413793103448
6,0.059487179487179485,0.07794871794871795,0.16307692307692306,0.12,0.04923076923076923,0.06974358974358974,0.05172413793103448
8,0.06974358974358974,0.11076923076923077,0.18666666666666668,0.16,0.05641025641025641,0.07076923076923076,0.05172413793103448
10,0.08923076923076922,0.13948717948717948,0.21333333333333335,0.2246153846153846,0.06358974358974359,0.07179487179487179,0.054022988505747126
12,0.09435897435897436,0.1641025641025641,0.23384615384615384,0.30974358974358973,0.06769230769230769,0.07384615384615385,0.054022988505747126
15,0.11794871794871795,0.2041025641025641,0.27692307692307694,0.5774358974358974,0.07179487179487179,0.07794871794871795,0.054022988505747126
20,0.15487179487179487,0.25846153846153846,0.5087179487179487,0.9938461538461538,0.07794871794871795,0.0841025641025641,0.05632183908045977
25,0.20307692307692307,0.41435897435897434,1.0,1.0,0.08102564102564103,0.10256410256410256,0.05862068965517241
30,0.24307692307692308,0.7117948717948718,1.0,1.0,0.09128205128205129,0.11692307692307692,0.06206896551724138
40,0.4635897435897436,1.0,1.0,1.0,0.12102564102564102,0.1517948717948718,0.07586206896551724
50,0.9384615384615385,1.0,1.0,1.0,0.1558974358974359,0.20923076923076922,0.09540229885057472
60,1.0,1.0,1.0,1.0,0.17846153846153845,0.2953846153846154,0.11379310344827587
80,1.0,1.0,1.0,1.0,0.2841025641025641,0.6984615384615385,0.167816091954023
100,1.0,1.0,1.0,1.0,0.5384615384615384,1.0,0.22758620689655173
120,1.0,1.0,1.0,1.0,0.9558974358974359,1.0,0.32068965517241377
150,1.0,1.0,1.0,1.0,1.0,1.0,0.5333333333333333
200,1.0,1.0,1.0,1.0,1.0,1.0,0.9310344827586207
