selector,tau,n,abstain,a,gain,c_choice,identity_err,t_vs_S0,wins,losses,p_null,null_lo,null_hi,null_side,mean_OOS_Sharpe,mean_OOS_CAGR,mean_OOS_MaxDD,pass4a,pass4b,full4b
IS_SHARPE,-inf,54,0,0.0,0.00994748041054589,0.00994748041054589,0.0,0.7898178133181063,30,24,,,,,0.7294623091701253,0.10458373151544745,-0.26361774347342853,17,11,11
IS_SHARPE,0.0,54,0,0.0,0.00994748041054589,0.00994748041054589,0.0,0.7898178133181063,30,24,,,,,0.7294623091701253,0.10458373151544745,-0.26361774347342853,17,11,11
IS_SHARPE,0.05,54,12,0.2222222222222222,0.00860619325087682,0.011065105608270197,0.0,0.7006422750363857,23,19,0.856,-0.0018934055561113908,0.017649441509638743,inside,0.7281210220104564,0.10492743997458354,-0.26471208008742564,17,12,10
IS_SHARPE,0.1,54,32,0.5925925925925926,0.008775801133915887,0.021540602783248087,1.734723475976807e-18,0.8777810152417294,14,8,0.441,-0.008938674261501942,0.015719914258256883,inside,0.7282906298934955,0.10537286224843515,-0.2650791700124021,16,13,9
IS_SHARPE,0.2,54,43,0.7962962962962963,-0.010420438582434655,-0.05115488031377013,1.734723475976807e-18,-1.4736136845715915,4,7,0.02,-0.008372943269606296,0.011573133594452901,below,0.7090943901771448,0.10019319050322638,-0.2599893387223426,17,13,8
IS_CALMAR,-inf,54,0,0.0,-0.012565710985709163,-0.012565710985709163,0.0,-0.948069510553968,24,30,,,,,0.7069491177738704,0.09989520801794997,-0.2614389039827341,18,9,9
IS_CALMAR,0.0,54,4,0.07407407407407407,-0.007120312555922755,-0.007689937560396574,1.734723475976807e-18,-0.5556652372292203,24,26,0.201,-0.018455405970404182,-0.004835274311669549,inside,0.7123945162036568,0.10097071215712158,-0.26188809461943424,18,10,10
IS_CALMAR,0.05,54,14,0.25925925925925924,-0.0010439624383801291,-0.0014093492918131757,8.673617379884035e-19,-0.0854735541514658,20,20,0.172,-0.02069389259276376,0.002513347266692599,inside,0.7184708663211994,0.1025910255916133,-0.26308658585528855,18,13,11
IS_CALMAR,0.1,54,33,0.6111111111111112,0.004958167128848628,0.012749572617039332,0.0,0.493066908347772,13,8,0.123,-0.017868966217650026,0.007809660310807899,inside,0.7244729958884281,0.10461289263222388,-0.2637833416521493,16,15,10
IS_CALMAR,0.2,54,43,0.7962962962962963,-0.011927382871013557,-0.058552606821339274,0.0,-1.5912909519744078,4,7,0.07,-0.012713047983574562,0.007936012756204253,inside,0.7075874458885659,0.10018282467602904,-0.25972841668782176,17,13,8
