leg,pin,IS,OOS,vintage,decile,arm,IS_Sharpe,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,keep4a,keep4b,IS_best_vintage,OOS_best_vintage,same,OOS_of_IS_pick,OOS_of_OOS_best
W1,LIVE,0.57257405021842,0.20379982095308025,,,,,,,,,,,,,,
W1,PINFIRST,0.35055348838572137,0.22294286502016275,,,,,,,,,,,,,,
W1,PININT,0.3044408868477776,0.24627429297987952,,,,,,,,,,,,,,
W1,KEYONLY,0.03989259938996868,0.04121387253172826,,,,,,,,,,,,,,
W1,COMMITKEY,0.0,0.0,,,,,,,,,,,,,,
W2,LIVE,,,2026-09-10,2.0,EWall,1.262332754780629,0.0643723962503644,0.44928578563162763,-0.3705502081941745,False,False,,,,,
W2,PINFIRST,,,2026-09-04,2.0,EWall,0.9679766593839573,0.06562713728017489,0.4321214565661263,-0.42693418962686625,False,False,,,,,
W2,PININT,,,2026-09-12,2.0,EWall,0.9813243346185839,0.05857551954087681,0.3920574895875057,-0.45645090585414416,False,False,,,,,
W2,KEYONLY,,,2026-09-04,2.0,EWall,0.9679766593839573,0.06562713728017489,0.4321214565661263,-0.42693418962686625,False,False,,,,,
W2,COMMITKEY,,,2026-09-04,2.0,EWall,0.9679766593839573,0.06562713728017489,0.4321214565661263,-0.42693418962686625,False,False,,,,,
W2ref,SPY,,,,,,,0.15331699963496637,0.876714419369064,-0.33717235283398306,,,,,,,
W2ref,RULES v2 (live),,,,,,,0.037524053136749336,0.5600309411718113,-0.13891550797734986,,,,,,,
W2ref,RULES v1,,,,,,,0.07832475207568135,0.7058793554829915,-0.29116510980728316,,,,,,,
W2b,LIVE,,,,,,,,,,,,2026-09-10,2026-09-04,False,0.6810164098293866,0.7562617407246669
W2b,PINFIRST,,,,,,,,,,,,2026-09-04,2026-09-04,True,0.7562617407246669,0.7562617407246669
W2b,PININT,,,,,,,,,,,,2026-09-12,2026-09-05,False,0.6987923968634949,0.7414665760777638
W2b,KEYONLY,,,,,,,,,,,,2026-09-04,2026-09-04,True,0.7562617407246669,0.7562617407246669
W2b,COMMITKEY,,,,,,,,,,,,2026-09-04,2026-09-04,True,0.7562617407246669,0.7562617407246669
