panel,cost,cadence,n4b,n4a,denom
U56,0.0,D,3,0,9
U56,0.0,W,3,0,9
U56,0.0,M,2,0,9
U56,0.0,Q,0,0,9
U56,1.0,D,3,0,9
U56,1.0,W,3,0,9
U56,1.0,M,2,0,9
U56,1.0,Q,0,0,9
U56,2.0,D,3,0,9
U56,2.0,W,3,0,9
U56,2.0,M,2,0,9
U56,2.0,Q,0,0,9
U56,3.0,D,3,0,9
U56,3.0,W,3,0,9
U56,3.0,M,2,0,9
U56,3.0,Q,0,0,9
U56,4.0,D,3,0,9
U56,4.0,W,3,0,9
U56,4.0,M,2,0,9
U56,4.0,Q,0,0,9
U56,5.0,D,3,0,9
U56,5.0,W,3,0,9
U56,5.0,M,2,0,9
U56,5.0,Q,0,0,9
U56,6.0,D,3,0,9
U56,6.0,W,3,0,9
U56,6.0,M,2,0,9
U56,6.0,Q,0,0,9
U56,7.5,D,3,0,9
U56,7.5,W,3,0,9
U56,7.5,M,2,0,9
U56,7.5,Q,0,0,9
U56,9.0,D,3,0,9
U56,9.0,W,3,0,9
U56,9.0,M,2,0,9
U56,9.0,Q,0,0,9
U56,10.0,D,3,0,9
U56,10.0,W,3,0,9
U56,10.0,M,2,0,9
U56,10.0,Q,0,0,9
U56,11.0,D,3,0,9
U56,11.0,W,3,0,9
U56,11.0,M,2,0,9
U56,11.0,Q,0,0,9
U56,12.5,D,2,0,9
U56,12.5,W,3,0,9
U56,12.5,M,2,0,9
U56,12.5,Q,0,0,9
U56,15.0,D,2,0,9
U56,15.0,W,3,0,9
U56,15.0,M,2,0,9
U56,15.0,Q,0,0,9
U56,17.5,D,2,0,9
U56,17.5,W,3,0,9
U56,17.5,M,2,0,9
U56,17.5,Q,0,0,9
U56,20.0,D,2,0,9
U56,20.0,W,3,0,9
U56,20.0,M,2,0,9
U56,20.0,Q,0,0,9
U56,25.0,D,2,0,9
U56,25.0,W,3,0,9
U56,25.0,M,2,0,9
U56,25.0,Q,0,0,9
U56,30.0,D,1,0,9
U56,30.0,W,2,0,9
U56,30.0,M,2,0,9
U56,30.0,Q,0,0,9
U56,35.0,D,0,0,9
U56,35.0,W,2,0,9
U56,35.0,M,2,0,9
U56,35.0,Q,0,0,9
U56,40.0,D,0,0,9
U56,40.0,W,2,0,9
U56,40.0,M,2,1,9
U56,40.0,Q,0,0,9
U56,50.0,D,0,0,9
U56,50.0,W,1,0,9
U56,50.0,M,2,1,9
U56,50.0,Q,0,0,9
B136,0.0,D,3,1,9
B136,0.0,W,3,0,9
B136,0.0,M,1,0,9
B136,0.0,Q,0,0,9
B136,1.0,D,3,1,9
B136,1.0,W,3,0,9
B136,1.0,M,1,0,9
B136,1.0,Q,0,0,9
B136,2.0,D,3,1,9
B136,2.0,W,3,0,9
B136,2.0,M,1,0,9
B136,2.0,Q,0,0,9
B136,3.0,D,2,1,9
B136,3.0,W,3,0,9
B136,3.0,M,1,0,9
B136,3.0,Q,0,0,9
B136,4.0,D,2,1,9
B136,4.0,W,3,0,9
B136,4.0,M,1,0,9
B136,4.0,Q,0,0,9
B136,5.0,D,2,1,9
B136,5.0,W,3,0,9
B136,5.0,M,1,0,9
B136,5.0,Q,0,0,9
B136,6.0,D,1,1,9
B136,6.0,W,3,0,9
B136,6.0,M,1,0,9
B136,6.0,Q,0,0,9
B136,7.5,D,1,1,9
B136,7.5,W,2,0,9
B136,7.5,M,1,0,9
B136,7.5,Q,0,0,9
B136,9.0,D,1,1,9
B136,9.0,W,2,0,9
B136,9.0,M,1,0,9
B136,9.0,Q,0,0,9
B136,10.0,D,1,1,9
B136,10.0,W,2,0,9
B136,10.0,M,1,0,9
B136,10.0,Q,0,0,9
B136,11.0,D,1,1,9
B136,11.0,W,2,0,9
B136,11.0,M,1,0,9
B136,11.0,Q,0,0,9
B136,12.5,D,1,1,9
B136,12.5,W,1,1,9
B136,12.5,M,1,0,9
B136,12.5,Q,0,0,9
B136,15.0,D,1,1,9
B136,15.0,W,1,1,9
B136,15.0,M,1,0,9
B136,15.0,Q,0,0,9
B136,17.5,D,1,1,9
B136,17.5,W,1,1,9
B136,17.5,M,1,0,9
B136,17.5,Q,0,0,9
B136,20.0,D,1,1,9
B136,20.0,W,1,1,9
B136,20.0,M,1,1,9
B136,20.0,Q,0,0,9
B136,25.0,D,1,1,9
B136,25.0,W,1,1,9
B136,25.0,M,1,1,9
B136,25.0,Q,0,0,9
B136,30.0,D,0,1,9
B136,30.0,W,1,1,9
B136,30.0,M,1,1,9
B136,30.0,Q,0,0,9
B136,35.0,D,0,1,9
B136,35.0,W,1,1,9
B136,35.0,M,1,2,9
B136,35.0,Q,0,0,9
B136,40.0,D,0,1,9
B136,40.0,W,1,1,9
B136,40.0,M,0,2,9
B136,40.0,Q,0,0,9
B136,50.0,D,0,1,9
B136,50.0,W,1,1,9
B136,50.0,M,0,2,9
B136,50.0,Q,0,0,9
SMALL,0.0,D,0,2,9
SMALL,0.0,W,0,1,9
SMALL,0.0,M,0,1,9
SMALL,0.0,Q,0,0,9
SMALL,1.0,D,0,2,9
SMALL,1.0,W,0,1,9
SMALL,1.0,M,0,1,9
SMALL,1.0,Q,0,0,9
SMALL,2.0,D,0,2,9
SMALL,2.0,W,0,1,9
SMALL,2.0,M,0,1,9
SMALL,2.0,Q,0,0,9
SMALL,3.0,D,0,2,9
SMALL,3.0,W,0,1,9
SMALL,3.0,M,0,1,9
SMALL,3.0,Q,0,0,9
SMALL,4.0,D,0,2,9
SMALL,4.0,W,0,1,9
SMALL,4.0,M,0,1,9
SMALL,4.0,Q,0,0,9
SMALL,5.0,D,0,2,9
SMALL,5.0,W,0,1,9
SMALL,5.0,M,0,1,9
SMALL,5.0,Q,0,0,9
SMALL,6.0,D,0,2,9
SMALL,6.0,W,0,1,9
SMALL,6.0,M,0,1,9
SMALL,6.0,Q,0,0,9
SMALL,7.5,D,0,2,9
SMALL,7.5,W,0,1,9
SMALL,7.5,M,0,1,9
SMALL,7.5,Q,0,0,9
SMALL,9.0,D,0,2,9
SMALL,9.0,W,0,1,9
SMALL,9.0,M,0,2,9
SMALL,9.0,Q,0,0,9
SMALL,10.0,D,0,2,9
SMALL,10.0,W,0,1,9
SMALL,10.0,M,0,2,9
SMALL,10.0,Q,0,0,9
SMALL,11.0,D,0,2,9
SMALL,11.0,W,0,1,9
SMALL,11.0,M,0,3,9
SMALL,11.0,Q,0,0,9
SMALL,12.5,D,0,2,9
SMALL,12.5,W,0,1,9
SMALL,12.5,M,0,3,9
SMALL,12.5,Q,0,0,9
SMALL,15.0,D,0,2,9
SMALL,15.0,W,0,1,9
SMALL,15.0,M,0,3,9
SMALL,15.0,Q,0,0,9
SMALL,17.5,D,0,2,9
SMALL,17.5,W,0,1,9
SMALL,17.5,M,0,3,9
SMALL,17.5,Q,0,0,9
SMALL,20.0,D,0,2,9
SMALL,20.0,W,0,1,9
SMALL,20.0,M,0,3,9
SMALL,20.0,Q,0,0,9
SMALL,25.0,D,0,2,9
SMALL,25.0,W,0,1,9
SMALL,25.0,M,0,3,9
SMALL,25.0,Q,0,0,9
SMALL,30.0,D,0,2,9
SMALL,30.0,W,0,1,9
SMALL,30.0,M,0,3,9
SMALL,30.0,Q,0,0,9
SMALL,35.0,D,0,2,9
SMALL,35.0,W,0,1,9
SMALL,35.0,M,0,3,9
SMALL,35.0,Q,0,0,9
SMALL,40.0,D,0,2,9
SMALL,40.0,W,0,1,9
SMALL,40.0,M,0,3,9
SMALL,40.0,Q,0,0,9
SMALL,50.0,D,0,2,9
SMALL,50.0,W,0,2,9
SMALL,50.0,M,0,3,9
SMALL,50.0,Q,0,0,9
