source,rule,stat,files,endpoint_blind_reranks,mean_rel_resid,max_rel_resid,n,TP,FP,FN,TN,errors,accuracy,precision,recall,rerank_rate
ARCHIVE,STRICT,Sharpe,78,0,4.076602925701904e-05,0.010297094554440696,6102,1222,1,2,4877,3,0.9995083579154376,0.9991823385118561,0.9983660130718954,0.20058997050147492
ARCHIVE,STRICT,CAGR,78,0,0.0005658096051403803,0.2945768649887365,6123,465,0,0,5658,0,1.0,1.0,1.0,0.07594316511513964
ARCHIVE,STRICT,MaxDD,76,11,0.0030299478827814728,0.377656560503664,6084,717,22,26,5319,48,0.9921104536489151,0.9702300405953992,0.9650067294751009,0.12212360289283367
ARCHIVE,STRICT,OOS_Sharpe,83,0,3.465635325944481e-05,0.009876554526478655,7169,1096,0,3,6070,3,0.9995815315943646,1.0,0.997270245677889,0.1532989259310922
ARCHIVE,STRICT,M4B,16,2,0.0009651569636972783,0.7662553543549236,5126,501,1,2,4622,3,0.999414748341787,0.99800796812749,0.9960238568588469,0.09812719469371829
ARCHIVE,LOOSE,Sharpe,83,0,4.850392300033592e-05,0.010297094554440696,6313,1282,1,2,5028,3,0.9995247901156344,0.9992205767731879,0.9984423676012462,0.2033898305084746
ARCHIVE,LOOSE,CAGR,83,1,0.000656300349573022,0.2945768649887365,6334,532,0,1,5801,1,0.9998421218819071,1.0,0.99812382739212,0.08414903694347964
ARCHIVE,LOOSE,MaxDD,81,13,0.0034154100572236215,0.377656560503664,6295,798,23,28,5446,51,0.9918983320095314,0.9719853836784409,0.9661016949152542,0.1312152501985703
ARCHIVE,LOOSE,OOS_Sharpe,92,1,3.801232083548286e-05,0.009876554526478655,8462,1203,0,4,7255,4,0.9995272985109903,1.0,0.9966859983429992,0.14263767430867408
ARCHIVE,LOOSE,M4B,17,3,0.0015038368374094132,0.7662553543549236,5574,569,3,5,4997,8,0.9985647649802655,0.9947552447552448,0.9912891986062717,0.10297811266594904
LIVE_FULL,n/a,Sharpe,0,0,0.0002995388141652409,0.0017412797427836502,12,2,0,0,10,0,1.0,1.0,1.0,0.16666666666666666
LIVE_FULL,n/a,CAGR,0,0,0.004845530431867929,0.018172348052486145,12,3,0,0,9,0,1.0,1.0,1.0,0.25
LIVE_FULL,n/a,MaxDD,0,0,0.03225049362912829,0.1045142409989861,12,7,0,0,5,0,1.0,1.0,1.0,0.5833333333333334
LIVE_FULL,n/a,OOS_Sharpe,0,0,0.0003802176645685183,0.0024490702775593273,12,4,0,0,8,0,1.0,1.0,1.0,0.3333333333333333
LIVE_FULL,n/a,M4B,0,0,0.006710483104804719,0.011556903530410726,12,3,0,0,9,0,1.0,1.0,1.0,0.25
