panel,q,m,narrow_days,k_narrow,k_broad,ann_eff_on_narrow_pp,ann_eff_narrow_ex22_pp,off_state_pp_yr,book_pp_yr,book_pp_yr_ex22,pos_years,pos_episodes,pos_episodes_ex22,dSharpe,dMaxDD_pp,dOOS_Sharpe
U56,0.1,1.5,283,11.703180212014134,19.67540904716073,0.0,0.0,0.0,0.0,0.0,0/7,0/11,0/7,0.0,0.0,0.0
U56,0.1,2.0,283,11.703180212014134,19.67540904716073,0.0,0.0,0.0,0.0,0.0,0/7,0/11,0/7,0.0,0.0,0.0
U56,0.1,3.0,283,11.703180212014134,19.67540904716073,0.0,0.0,0.0,0.0,0.0,0/7,0/11,0/7,0.0,0.0,0.0
U56,0.1,5.0,283,11.703180212014134,19.67540904716073,0.0,0.0,0.0,0.0,0.0,0/7,0/11,0/7,0.0,0.0,0.0
U56,0.2,1.5,623,16.8876404494382,19.800314465408807,-0.3040537089945551,0.8324107974977945,-0.012851436957827964,-0.053720780386276056,0.06690083082053214,4/11,7/19,7/17,0.0029527835136842207,0.31393917224737944,0.0050176009232902885
U56,0.2,2.0,623,16.8876404494382,19.800314465408807,-0.3040537089945551,0.8324107974977945,-0.012851436957827964,-0.053720780386276056,0.06690083082053214,4/11,7/19,7/17,0.0029527835136842207,0.31393917224737944,0.0050176009232902885
U56,0.2,3.0,623,16.8876404494382,19.800314465408807,-0.3040537089945551,0.8324107974977945,-0.012851436957827964,-0.053720780386276056,0.06690083082053214,4/11,7/19,7/17,0.0029527835136842207,0.31393917224737944,0.0050176009232902885
U56,0.2,5.0,623,16.8876404494382,19.800314465408807,-0.3040537089945551,0.8324107974977945,-0.012851436957827964,-0.053720780386276056,0.06690083082053214,4/11,7/19,7/17,0.0029527835136842207,0.31393917224737944,0.0050176009232902885
U56,0.3,1.5,977,20.36028659160696,20.078567302137493,-0.5414584829940051,0.02043370342933008,-0.08000224313549242,-0.18156627700387878,-0.06071139930666361,3/13,13/32,13/30,5.980575879127592e-05,0.31393917224736834,0.008949692233559237
U56,0.3,2.0,977,20.926305015353122,20.203928365106876,-0.5919876377643027,0.005937882055222221,-0.09735719951059388,-0.20622269583271,-0.07678816473749582,4/13,14/32,14/30,0.0005027555953871499,0.31393917224737944,0.007607052025282002
U56,0.3,3.0,977,20.926305015353122,20.203928365106876,-0.5919876377643027,0.005937882055222221,-0.09735719951059388,-0.20622269583271,-0.07678816473749582,4/13,14/32,14/30,0.0005027555953871499,0.31393917224737944,0.007607052025282002
U56,0.3,5.0,977,20.926305015353122,20.203928365106876,-0.5919876377643027,0.005937882055222221,-0.09735719951059388,-0.20622269583271,-0.07678816473749582,4/13,14/32,14/30,0.0005027555953871499,0.31393917224737944,0.007607052025282002
U56,0.4,1.5,1469,22.96936691626957,20.231986531986532,-1.1107845513920964,-0.980780448938124,-0.10888028481866512,-0.44044085422537177,-0.3636267753015189,6/16,12/39,12/38,-0.015528754786941157,0.31393917224736834,0.0003636566657854168
U56,0.4,2.0,1469,24.849557522123895,20.534343434343434,-1.458301259631305,-1.4669875201034737,-0.15365333659256364,-0.5854009822208384,-0.537362976782823,5/16,14/39,14/38,-0.021647652277259066,0.31393917224740164,-0.0001284431603985059
U56,0.4,3.0,1469,24.849557522123895,20.534343434343434,-1.458301259631305,-1.4669875201034737,-0.15365333659256364,-0.5854009822208384,-0.537362976782823,5/16,14/39,14/38,-0.021647652277259066,0.31393917224740164,-0.0001284431603985059
U56,0.4,5.0,1469,24.849557522123895,20.534343434343434,-1.458301259631305,-1.4669875201034737,-0.15365333659256364,-0.5854009822208384,-0.537362976782823,5/16,14/39,14/38,-0.021647652277259066,0.31393917224740164,-0.0001284431603985059
B136,0.1,1.5,204,23.112745098039216,19.93081463990555,-3.2104109761964525,-6.905850612566685,-0.021125181674606256,-0.16769294515342056,-0.16909065952759134,2/7,4/11,2/7,-0.009428967197945282,-0.15662686038556695,-0.01727208024756899
B136,0.1,2.0,204,24.769607843137255,19.977095631641085,-2.7890267341033415,-5.058068907429529,-0.030219347630635312,-0.15700391776815098,-0.13453415607668914,3/7,7/11,5/7,-0.007035095088030019,0.4305294420374528,-0.007920973202623527
B136,0.1,3.0,204,24.887254901960784,19.985123966942147,-2.9861299059460342,-5.402870021841117,-0.031174190974715993,-0.16697301184746863,-0.14267357871844386,3/7,7/11,5/7,-0.007352043948527842,0.27082500128424725,-0.008548103388271389
B136,0.1,5.0,204,24.887254901960784,19.985123966942147,-2.9861299059460342,-5.402870021841117,-0.031174190974715993,-0.16697301184746863,-0.14267357871844386,3/7,7/11,5/7,-0.007352043948527842,0.27082500128424725,-0.008548103388271389
B136,0.2,1.5,588,26.29591836734694,20.0376525577772,-1.8907044200015533,-2.51749999811675,-0.03816791586298068,-0.2835590995605433,-0.2641528997059136,5/11,7/19,7/18,-0.011719890768126628,-0.44536560401062797,-0.016112234139825765
B136,0.2,2.0,588,31.78061224489796,20.209036613866527,-0.9219309993919178,-0.4895929408463636,-0.06503962738122285,-0.1785454004702719,-0.10138235785895078,4/11,7/19,7/18,0.0014021612341610368,0.21821366625535132,0.012145458872409365
B136,0.2,3.0,588,38.015306122448976,20.520124642949884,-2.126338481522816,-1.252672866093074,-0.09087345353288365,-0.36049576406635525,-0.1943229871235469,5/11,7/19,7/18,-0.0055537064478951015,-1.328143032059237,0.003924510272395709
B136,0.2,5.0,588,39.185374149659864,20.633082316281484,-2.421298745401496,-1.1799544516910048,-0.09546182000099171,-0.4035474501283844,-0.19187454589582223,3/11,7/19,7/18,-0.006468398509537732,-1.9502011944305786,0.001994044307547238
B136,0.3,1.5,1043,27.725790987535955,20.19110718492344,-1.2315557530517942,-1.4837719686717221,-0.0774771804674946,-0.3486427473080948,-0.3494718975036023,5/14,15/33,14/31,-0.008381196834196136,-0.44536560401060576,-0.013485901450760007
B136,0.3,2.0,1043,34.880153403643334,20.553297997644286,-1.7257231438992986,-1.836561393778384,-0.13616179990842564,-0.5096496309024514,-0.46395659972479875,3/14,12/33,11/31,-0.011172480238651139,0.21821366625531802,-0.00938839906088329
B136,0.3,3.0,1043,45.92425695110259,21.252355712603062,-3.346054542941442,-3.066741395436738,-0.19728176700679087,-0.9371263277862099,-0.7501281549747587,4/14,11/33,10/31,-0.03165667883695866,-1.3281430320592924,-0.043526283242507846
B136,0.3,5.0,1043,53.25023969319271,21.997349823321557,-4.00566137746964,-3.6017176976416168,-0.22890040335541142,-1.1162988480504192,-0.8785411345109944,4/14,9/33,9/31,-0.03927915658835546,-1.950201194430523,-0.06235431525342783
B136,0.4,1.5,1566,28.031928480204343,20.469544030630004,-0.9252661366916839,-0.9581846906913976,-0.14000297766467737,-0.41702980961698477,-0.4001088846130576,7/17,23/52,23/51,-0.004771486767553457,-0.44536560401061687,-0.007193749940328287
B136,0.4,2.0,1566,35.652618135376756,21.141315697876784,-1.5143306910057772,-1.555994503053368,-0.24834778584130623,-0.6949639672982925,-0.6641403732760264,7/17,21/52,21/51,-0.009592360967258351,0.21821366625534022,0.002860555943563492
B136,0.4,3.0,1566,48.41443167305236,22.462582666202575,-3.0787542567703357,-2.8938157510854836,-0.3611157092434882,-1.3198501010945909,-1.1660378619506089,5/17,15/52,15/51,-0.03796723115732892,-1.3281430320592036,-0.035590782163502865
B136,0.4,5.0,1566,60.21647509578544,24.353985381134702,-4.310102882973229,-4.140632314928034,-0.42980711586328124,-1.7987062308202941,-1.6088195297073935,4/17,16/52,16/51,-0.06289336703716675,-1.9502011944305675,-0.07135063822670562
SMALL439,0.1,1.5,318,25.462264150943398,20.11449115044248,-4.486168759133689,-7.514575680398404,-0.024187238750866882,-0.38486596866488254,-0.468540360811809,2/8,5/14,3/10,-0.020228483475669856,-0.17672771398143938,-0.014596395891481428
SMALL439,0.1,2.0,318,31.745283018867923,20.228152654867255,-5.841721901704238,-11.41122316561559,-0.041542695993182215,-0.5103929724080566,-0.7154018891548218,2/8,3/14,1/10,-0.026430764970780007,-0.907261258785308,-0.026481314945688172
SMALL439,0.1,3.0,318,39.08490566037736,20.43362831858407,-8.130563586249847,-13.42162805296917,-0.0587328183539644,-0.7112092251132146,-0.8485458694930377,2/8,4/14,2/10,-0.03686226897819145,-0.0910398850479277,-0.033105111350114014
SMALL439,0.1,5.0,318,40.44654088050314,20.503318584070797,-8.765958470455702,-14.718296124938462,-0.06077735891606644,-0.7644498534431646,-0.9274920773703226,2/8,3/14,1/10,-0.03996488106360768,-0.18095621879307133,-0.03333123799353793
SMALL439,0.2,1.5,671,27.536512667660208,20.215752375114924,-4.250896110298999,-3.5263516566595308,-0.04192683410982526,-0.7598267792859656,-0.5180311721113663,4/13,8/20,8/18,-0.03944678785906419,0.37126361439835387,-0.021368893523228905
SMALL439,0.2,2.0,671,35.44858420268256,20.43273061599755,-7.1798479493368745,-7.567435516535795,-0.07599860236095005,-1.2876617726255268,-1.100550499401834,3/13,5/20,5/18,-0.06829510626207408,-0.6406526213269981,-0.05710780350499939
SMALL439,0.2,3.0,671,48.63189269746647,20.821023597916028,-10.266579059746544,-9.625965732679056,-0.11216621465657657,-1.844146646546604,-1.4113712834504677,2/13,5/20,5/18,-0.09917887723501212,-0.2601260414582973,-0.10150093172102975
SMALL439,0.2,5.0,671,60.83904619970194,21.421084891204412,-12.640496578301534,-11.701992938147265,-0.13408643039260668,-2.267233662026285,-1.715155174409775,3/13,4/20,4/18,-0.12373634204992712,-1.6329295227746177,-0.12475883682885552
SMALL439,0.3,1.5,985,28.068020304568527,20.432010851135978,-1.7662066632074491,-0.7720020031621302,-0.05971273311116064,-0.4869868869354728,-0.21215181433450755,6/15,14/28,14/26,-0.021172277765837355,1.890668930518924,0.005965406180748478
SMALL439,0.3,2.0,985,36.390862944162436,20.865717192268566,-3.3624110663193427,-2.786948070272593,-0.10793949566502276,-0.9227982900459344,-0.6834083029281117,3/15,12/28,12/26,-0.04312185687774478,1.5682354556276867,-0.014343719970759339
SMALL439,0.3,3.0,985,51.082233502538074,21.699559172600882,-4.524886532596035,-3.4488189544294166,-0.16465515889088264,-1.256375520634547,-0.8696326265456635,4/15,12/28,12/26,-0.05929438741695109,-0.012229363133098303,-0.04111788347651979
SMALL439,0.3,5.0,985,69.1746192893401,23.22210918955578,-5.764266389451435,-4.6206736163218025,-0.2078130091528015,-1.5990449815966639,-1.1551276303929137,4/15,12/28,12/26,-0.07825436885286507,-1.1495251674517037,-0.05620278218509467
SMALL439,0.4,1.5,1417,28.452364149611856,20.533969010727056,-0.5948160781534063,0.030905011135748638,-0.09416343256072411,-0.27449510485478384,-0.04914276635002411,7/15,21/37,19/34,-0.004801902418386628,1.4395001675111652,0.01867680939870303
SMALL439,0.4,2.0,1417,37.081863091037405,21.069924513309495,-0.7462316837798243,-0.4238169028605552,-0.1691109988155011,-0.3769859379599969,-0.24321402428875774,6/15,21/37,19/34,-0.004985312961766131,1.490410862198266,0.004492099886885037
SMALL439,0.4,3.0,1417,52.97529992942837,22.10647596344855,-1.4370043320515498,-1.0041255975018764,-0.25060736093000235,-0.6779394677117088,-0.48243828853786397,5/15,20/37,18/34,-0.017323178562926367,0.7234610870105573,-0.017336972483864843
