panel,q,w,depth,gross,rung,leg,start,days,live_share,CAGR,Sharpe,MaxDD,H1,H2,UNGATED_CAGR,UNGATED_Sharpe,UNGATED_MaxDD,V2_Sharpe,V2_CAGR,V2_MaxDD,SPY_CAGR,SPY_Sharpe,SPY_MaxDD,SPY_H1,SPY_H2,pass4a,pass4b,fail4b
U56,0.07,252,0.5,1.0,0.0,RAW,2009-01-13,4443,0.9997749268512266,0.14905365708693585,1.2322182390825225,-0.15517522560262076,1.1344464536943462,1.3267969041185192,0.1506609069434668,1.128599914407742,-0.20748563439191448,1.226867660750899,0.08821007359904964,-0.12029813984958915,0.15163101010956526,0.8860543931081106,-0.33717235283398306,0.9595432326093216,0.8259249406598581,False,True,-
U56,0.07,252,0.5,1.0,0.0,LIVE,2009-01-14,4442,1.0,0.14905865098199156,1.232129615646611,-0.15517522560262098,1.1319798678720316,1.3290382840617916,0.15066626990857523,1.1285230984397572,-0.2074856343919148,1.226972279674918,0.08822815125115313,-0.1202981398495887,0.15154751007506606,0.8855659761343815,-0.33717235283398306,0.9577934088940799,0.8265304320725277,False,True,-
U56,0.07,252,0.5,1.0,0.0,OOS,2017-01-03,2436,1.0,0.1720125895330984,1.412853384054395,-0.15517522560262054,1.5873720277968835,1.2347095048085281,0.16324002497052392,1.1886075896434396,-0.2074856343919146,1.3027736471519475,0.09670513420063886,-0.12029813984958881,0.15331699963496637,0.876714419369064,-0.33717235283398306,0.9802103709739877,0.7649700312498386,False,True,-
U56,0.07,252,0.5,1.0,10.0,RAW,2009-01-13,4443,0.9997749268512266,0.13744037883153415,1.14646154490494,-0.15593601046149685,1.050648366807365,1.2391179941496275,0.13823901504957914,1.046219320763306,-0.20880282084818413,1.201840627126638,0.08628162162824915,-0.12054943679771146,0.15163101010956526,0.8860543931081106,-0.33717235283398306,0.9595432326093216,0.8259249406598581,False,True,-
U56,0.07,252,0.5,1.0,10.0,LIVE,2009-01-14,4442,1.0,0.1374427210768201,1.1463632508650907,-0.15593601046149674,1.0481845888343884,1.2413359535717703,0.13824153879495982,1.046133263395304,-0.2088028208481839,1.2019423890619532,0.08629923348168123,-0.12054943679771146,0.15154751007506606,0.8855659761343815,-0.33717235283398306,0.9577934088940799,0.8265304320725277,False,True,-
U56,0.07,252,0.5,1.0,10.0,OOS,2017-01-03,2436,1.0,0.16027878941449436,1.3268652871457003,-0.15593601046149685,1.5156920865229186,1.1342078801512525,0.15044855171922333,1.1064861009700002,-0.2088028208481839,1.2782424661570655,0.09474682024310699,-0.12054943679771168,0.15331699963496637,0.876714419369064,-0.33717235283398306,0.9802103709739877,0.7649700312498386,False,True,-
U56,0.07,252,0.5,1.0,25.0,RAW,2009-01-13,4443,0.9997749268512266,0.12023270086414839,1.0173955093061604,-0.1606460051839832,0.9245241790184912,1.107166073240107,0.11984788631833698,0.9223261899150016,-0.21077670739710552,1.1642615600830166,0.08339513295117529,-0.12092632430399441,0.15163101010956526,0.8860543931081106,-0.33717235283398306,0.9595432326093216,0.8259249406598581,False,False,H1
U56,0.07,252,0.5,1.0,25.0,LIVE,2009-01-14,4442,1.0,0.12023116326705074,1.0172827732266398,-0.16064600518398442,0.9220654091467712,1.1093482821453868,0.11984626263350728,0.9222263348226858,-0.21077670739710586,1.1643590367933088,0.08341204904248767,-0.12092632430399441,0.15154751007506606,0.8855659761343815,-0.33717235283398306,0.9577934088940799,0.8265304320725277,False,False,H1
U56,0.07,252,0.5,1.0,25.0,OOS,2017-01-03,2436,1.0,0.1428906251208144,1.1974213157525528,-0.15707660771110465,1.4077427147691608,0.9830088084176624,0.13151476216103286,0.9829285925025385,-0.21077670739710586,1.241406438552039,0.09181569023107472,-0.12092632430399464,0.15331699963496637,0.876714419369064,-0.33717235283398306,0.9802103709739877,0.7649700312498386,False,True,-
U56,0.07,252,1.0,1.0,0.0,RAW,2009-01-13,4443,0.9997749268512266,0.1463406938212224,1.2587912319985917,-0.1464207662576965,1.0582562265974207,1.459188866783293,0.1506609069434668,1.128599914407742,-0.20748563439191448,1.226867660750899,0.08821007359904964,-0.12029813984958915,0.15163101010956526,0.8860543931081106,-0.33717235283398306,0.9595432326093216,0.8259249406598581,False,True,-
