cad,n,cov_m1,cov_m2
D,27,0.48148148148148145,0.9259259259259259
W,27,0.48148148148148145,0.9259259259259259
M,27,0.5555555555555556,1.0
Q,27,0.5185185185185185,0.8888888888888888
A,27,0.07407407407407407,0.8518518518518519
