panel,n,D,arm,k,draw,OOS_CAGR,OOS_Sharpe,OOS_MaxDD
B136,5,50,S0 do-nothing (whole panel),,,0.16050924299153935,0.8138426077132946,-0.23360448342667006
B136,5,50,S1 IS-Sharpe argmax,20.0,39.0,0.15279189008150418,0.9076977445288522,-0.21006408810281685
B136,5,50,S2 max IS sd,20.0,39.0,0.15279189008150418,0.9076977445288522,-0.21006408810281685
B136,5,50,S3 sd-model OOF pred,20.0,16.0,0.10149244035976568,0.7787259209018463,-0.26909773955845373
B136,5,50,S4 M-model OOF pred,80.0,34.0,0.12391803839255489,0.7203711927918965,-0.23486148413509356
B136,5,50,S5 M+sd OOF pred,20.0,19.0,0.15200261128659842,0.9819026402149195,-0.2046680532876448
B136,5,50,S6 random draw,40.0,32.0,0.11582816796791029,0.7768295915373128,-0.2335378064623943
B136,5,50,SPY,,,0.1545044425578177,0.8820239235972316,-0.3371595330739301
B136,5,50,RULES v2 (live book),,,0.07983337481604336,1.1185082795688426,-0.12240793860208021
B136,5,100,S0 do-nothing (whole panel),,,0.16050924299153935,0.8138426077132946,-0.23360448342667006
B136,5,100,S1 IS-Sharpe argmax,20.0,39.0,0.15279189008150418,0.9076977445288522,-0.21006408810281685
B136,5,100,S2 max IS sd,20.0,39.0,0.15279189008150418,0.9076977445288522,-0.21006408810281685
B136,5,100,S3 sd-model OOF pred,20.0,80.0,0.21686829598728985,1.0873268854392106,-0.23607430259327833
B136,5,100,S4 M-model OOF pred,40.0,44.0,0.11519559571742666,0.7712454144415303,-0.23968963187852765
B136,5,100,S5 M+sd OOF pred,20.0,19.0,0.15200261128659842,0.9819026402149195,-0.2046680532876448
B136,5,100,S6 random draw,20.0,64.0,0.13480284381121188,1.0047180635655217,-0.215278662094592
B136,5,100,SPY,,,0.1545044425578177,0.8820239235972316,-0.3371595330739301
B136,5,100,RULES v2 (live book),,,0.07983337481604336,1.1185082795688426,-0.12240793860208021
B136,5,150,S0 do-nothing (whole panel),,,0.16050924299153935,0.8138426077132946,-0.23360448342667006
B136,5,150,S1 IS-Sharpe argmax,20.0,39.0,0.15279189008150418,0.9076977445288522,-0.21006408810281685
B136,5,150,S2 max IS sd,20.0,103.0,0.18018576374306838,1.020698386535235,-0.242018455529724
B136,5,150,S3 sd-model OOF pred,20.0,103.0,0.18018576374306838,1.020698386535235,-0.242018455529724
B136,5,150,S4 M-model OOF pred,80.0,142.0,0.17098505509228556,0.8937497543584917,-0.23489517226628887
B136,5,150,S5 M+sd OOF pred,20.0,19.0,0.15200261128659842,0.9819026402149195,-0.2046680532876448
B136,5,150,S6 random draw,20.0,99.0,0.10573778330144346,0.7808634927083962,-0.23492874681243692
B136,5,150,SPY,,,0.1545044425578177,0.8820239235972316,-0.3371595330739301
B136,5,150,RULES v2 (live book),,,0.07983337481604336,1.1185082795688426,-0.12240793860208021
B136,5,200,S0 do-nothing (whole panel),,,0.16050924299153935,0.8138426077132946,-0.23360448342667006
B136,5,200,S1 IS-Sharpe argmax,20.0,185.0,0.12912914781821594,0.9688383398081282,-0.22265942882885692
B136,5,200,S2 max IS sd,20.0,103.0,0.18018576374306838,1.020698386535235,-0.242018455529724
B136,5,200,S3 sd-model OOF pred,20.0,103.0,0.18018576374306838,1.020698386535235,-0.242018455529724
B136,5,200,S4 M-model OOF pred,80.0,142.0,0.17098505509228556,0.8937497543584917,-0.23489517226628887
B136,5,200,S5 M+sd OOF pred,20.0,19.0,0.15200261128659842,0.9819026402149195,-0.2046680532876448
B136,5,200,S6 random draw,80.0,77.0,0.1623924833788959,0.8790070458465089,-0.2626200829333817
B136,5,200,SPY,,,0.1545044425578177,0.8820239235972316,-0.3371595330739301
B136,5,200,RULES v2 (live book),,,0.07983337481604336,1.1185082795688426,-0.12240793860208021
